Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
586791,586792,2004275N14139,WP,MM,MA-ON,14.3,138.6,15,1006,2004,10,1,2004/10/01 04:00:00+00
586792,586793,2004275N14139,WP,MM,MA-ON,14.33,138.29,15,1006,2004,10,1,2004/10/01 04:00:00+00
586793,586794,2004275N14139,WP,MM,MA-ON,14.4,138.0,15,1006,2004,10,1,2004/10/01 04:00:00+00
586794,586795,2004275N14139,WP,MM,MA-ON,14.53,137.74,15,1006,2004,10,1,2004/10/01 04:00:00+00
586795,586796,2004275N14139,WP,MM,MA-ON,14.7,137.5,15,1006,2004,10,1,2004/10/01 04:00:00+00
586796,586797,2004275N14139,WP,MM,MA-ON,14.88,137.28,15,1006,2004,10,1,2004/10/01 04:00:00+00
586797,586798,2004275N14139,WP,MM,MA-ON,15.1,137.1,15,1006,2004,10,2,2004/10/02 04:00:00+00
586798,586799,2004275N14139,WP,MM,MA-ON,15.4,137.01,15,1006,2004,10,2,2004/10/02 04:00:00+00
586799,586800,2004275N14139,WP,MM,MA-ON,15.7,136.9,15,1006,2004,10,2,2004/10/02 04:00:00+00
586800,586801,2004275N14139,WP,MM,MA-ON,15.95,136.68,15,1006,2004,10,2,2004/10/02 04:00:00+00
586801,586802,2004275N14139,WP,MM,MA-ON,16.1,136.4,15,1006,2004,10,2,2004/10/02 04:00:00+00
586802,586803,2004275N14139,WP,MM,MA-ON,16.14,136.11,15,1006,2004,10,2,2004/10/02 04:00:00+00
586803,586804,2004275N14139,WP,MM,MA-ON,16.1,135.8,15,1006,2004,10,2,2004/10/02 04:00:00+00
586804,586805,2004275N14139,WP,MM,MA-ON,16.04,135.5,15,1006,2004,10,2,2004/10/02 04:00:00+00
586805,586806,2004275N14139,WP,MM,MA-ON,16.0,135.2,15,1006,2004,10,3,2004/10/03 04:00:00+00
586806,586807,2004275N14139,WP,MM,MA-ON,16.05,134.88,15,1006,2004,10,3,2004/10/03 04:00:00+00
586807,586808,2004275N14139,WP,MM,MA-ON,16.3,134.83,15,1006,2004,10,3,2004/10/03 04:00:00+00
586808,586809,2004275N14139,WP,MM,MA-ON,16.49,134.74,17,1005,2004,10,3,2004/10/03 04:00:00+00
586809,586810,2004275N14139,WP,MM,MA-ON,16.58,134.63,20,1004,2004,10,3,2004/10/03 04:00:00+00
586810,586811,2004275N14139,WP,MM,MA-ON,16.52,134.51,22,1003,2004,10,3,2004/10/03 04:00:00+00
586811,586812,2004275N14139,WP,MM,MA-ON,16.47,134.43,25,1002,2004,10,3,2004/10/03 04:00:00+00
