Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
660903,660904,2017104N08085,NI,BB,MAARUTHA,8.2,85.3,25,1004,2017,4,14,2017/04/14 04:00:00+00
660904,660905,2017104N08085,NI,BB,MAARUTHA,8.8,85.7,25,1004,2017,4,14,2017/04/14 04:00:00+00
660905,660906,2017104N08085,NI,BB,MAARUTHA,9.4,86.1,25,1005,2017,4,14,2017/04/14 04:00:00+00
660906,660907,2017104N08085,NI,BB,MAARUTHA,9.98,86.51,25,1005,2017,4,14,2017/04/14 04:00:00+00
660907,660908,2017104N08085,NI,BB,MAARUTHA,10.5,86.9,25,1005,2017,4,14,2017/04/14 04:00:00+00
660908,660909,2017104N08085,NI,BB,MAARUTHA,10.91,87.25,25,1005,2017,4,14,2017/04/14 04:00:00+00
660909,660910,2017104N08085,NI,BB,MAARUTHA,11.3,87.6,25,1005,2017,4,14,2017/04/14 04:00:00+00
660910,660911,2017104N08085,NI,BB,MAARUTHA,11.78,87.98,27,1002,2017,4,14,2017/04/14 04:00:00+00
660911,660912,2017104N08085,NI,BB,MAARUTHA,12.24,88.32,30,1000,2017,4,15,2017/04/15 04:00:00+00
660912,660913,2017104N08085,NI,BB,MAARUTHA,12.74,88.69,32,998,2017,4,15,2017/04/15 04:00:00+00
660913,660914,2017104N08085,NI,BB,MAARUTHA,13.31,89.23,35,996,2017,4,15,2017/04/15 04:00:00+00
660914,660915,2017104N08085,NI,BB,MAARUTHA,13.77,89.68,37,997,2017,4,15,2017/04/15 04:00:00+00
660915,660916,2017104N08085,NI,BB,MAARUTHA,14.25,90.2,40,999,2017,4,15,2017/04/15 04:00:00+00
660916,660917,2017104N08085,NI,BB,MAARUTHA,14.71,90.67,42,997,2017,4,15,2017/04/15 04:00:00+00
660917,660918,2017104N08085,NI,BB,MAARUTHA,15.1,91.05,45,996,2017,4,15,2017/04/15 04:00:00+00
660918,660919,2017104N08085,NI,BB,MAARUTHA,15.39,91.34,47,990,2017,4,15,2017/04/15 04:00:00+00
660919,660920,2017104N08085,NI,BB,MAARUTHA,16.0,91.95,50,985,2017,4,16,2017/04/16 04:00:00+00
660920,660921,2017104N08085,NI,BB,MAARUTHA,16.65,92.45,50,985,2017,4,16,2017/04/16 04:00:00+00
660921,660922,2017104N08085,NI,BB,MAARUTHA,17.2,92.9,50,985,2017,4,16,2017/04/16 04:00:00+00
660922,660923,2017104N08085,NI,BB,MAARUTHA,17.73,93.24,47,990,2017,4,16,2017/04/16 04:00:00+00
660923,660924,2017104N08085,NI,BB,MAARUTHA,18.1,93.6,45,995,2017,4,16,2017/04/16 04:00:00+00
660924,660925,2017104N08085,NI,BB,MAARUTHA,18.45,93.89,40,998,2017,4,16,2017/04/16 04:00:00+00
660925,660926,2017104N08085,NI,BB,MAARUTHA,18.8,94.25,35,1001,2017,4,16,2017/04/16 04:00:00+00
660926,660927,2017104N08085,NI,BB,MAARUTHA,19.32,94.85,32,1000,2017,4,16,2017/04/16 04:00:00+00
