Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
351146,351147,1971066S10091,SI,WA,MAGGIE-MURIEL:MURIEL,-10.0,91.0,0,0,1971,3,7,1971/03/07 05:00:00+00
351147,351148,1971066S10091,SI,WA,MAGGIE-MURIEL:MURIEL,-10.09,90.68,0,0,1971,3,7,1971/03/07 05:00:00+00
351148,351149,1971066S10091,SI,WA,MAGGIE-MURIEL:MURIEL,-10.2,90.37,0,0,1971,3,7,1971/03/07 05:00:00+00
351149,351150,1971066S10091,SI,WA,MAGGIE-MURIEL:MURIEL,-10.36,90.07,0,0,1971,3,7,1971/03/07 05:00:00+00
351150,351151,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-10.5,89.8,0,0,1971,3,7,1971/03/07 05:00:00+00
351151,351152,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-10.64,89.59,0,0,1971,3,7,1971/03/07 05:00:00+00
351152,351153,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-10.8,89.4,0,0,1971,3,7,1971/03/07 05:00:00+00
351153,351154,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-10.9,89.21,0,0,1971,3,7,1971/03/07 05:00:00+00
351154,351155,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.0,89.0,0,0,1971,3,8,1971/03/08 05:00:00+00
351155,351156,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.17,88.71,0,0,1971,3,8,1971/03/08 05:00:00+00
351156,351157,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.3,88.4,0,0,1971,3,8,1971/03/08 05:00:00+00
351157,351158,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.4,88.1,0,0,1971,3,8,1971/03/08 05:00:00+00
351158,351159,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.5,87.8,0,0,1971,3,8,1971/03/08 05:00:00+00
351159,351160,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.63,87.48,0,0,1971,3,8,1971/03/08 05:00:00+00
351160,351161,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.8,87.2,0,0,1971,3,8,1971/03/08 05:00:00+00
351161,351162,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-11.9,87.08,0,0,1971,3,8,1971/03/08 05:00:00+00
351162,351163,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.0,87.0,0,0,1971,3,9,1971/03/09 05:00:00+00
351163,351164,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.1,86.9,0,0,1971,3,9,1971/03/09 05:00:00+00
351164,351165,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.2,86.8,0,0,1971,3,9,1971/03/09 05:00:00+00
351165,351166,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.33,86.7,0,0,1971,3,9,1971/03/09 05:00:00+00
351166,351167,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.5,86.6,0,0,1971,3,9,1971/03/09 05:00:00+00
351167,351168,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.6,86.51,0,0,1971,3,9,1971/03/09 05:00:00+00
351168,351169,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.7,86.4,0,0,1971,3,9,1971/03/09 05:00:00+00
351169,351170,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.84,86.2,0,0,1971,3,9,1971/03/09 05:00:00+00
351170,351171,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.0,86.0,0,0,1971,3,10,1971/03/10 05:00:00+00
351171,351172,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.02,85.89,0,0,1971,3,10,1971/03/10 05:00:00+00
351172,351173,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.0,85.8,0,0,1971,3,10,1971/03/10 05:00:00+00
351173,351174,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.0,85.7,0,0,1971,3,10,1971/03/10 05:00:00+00
351174,351175,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.0,85.6,0,0,1971,3,10,1971/03/10 05:00:00+00
351175,351176,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.0,85.49,0,0,1971,3,10,1971/03/10 05:00:00+00
351176,351177,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.98,85.72,0,0,1971,3,10,1971/03/10 05:00:00+00
351177,351178,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.95,85.93,0,0,1971,3,10,1971/03/10 05:00:00+00
351178,351179,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.92,86.1,0,0,1971,3,11,1971/03/11 05:00:00+00
351179,351180,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.92,86.2,0,0,1971,3,11,1971/03/11 05:00:00+00
351180,351181,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.94,86.14,0,0,1971,3,11,1971/03/11 05:00:00+00
351181,351182,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-12.98,86.02,0,0,1971,3,11,1971/03/11 05:00:00+00
351182,351183,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.04,85.83,0,0,1971,3,11,1971/03/11 05:00:00+00
351183,351184,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.09,85.56,0,0,1971,3,11,1971/03/11 05:00:00+00
351184,351185,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.16,85.23,0,0,1971,3,11,1971/03/11 05:00:00+00
351185,351186,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.25,85.01,0,0,1971,3,11,1971/03/11 05:00:00+00
351186,351187,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.37,84.77,0,0,1971,3,12,1971/03/12 05:00:00+00
351187,351188,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.6,84.4,0,0,1971,3,12,1971/03/12 05:00:00+00
351188,351189,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-13.85,84.06,0,0,1971,3,12,1971/03/12 05:00:00+00
351189,351190,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.01,83.74,0,0,1971,3,12,1971/03/12 05:00:00+00
351190,351191,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.12,83.42,0,0,1971,3,12,1971/03/12 05:00:00+00
351191,351192,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.19,83.13,0,0,1971,3,12,1971/03/12 05:00:00+00
351192,351193,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.32,82.7,0,0,1971,3,12,1971/03/12 05:00:00+00
351193,351194,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.48,82.27,0,0,1971,3,12,1971/03/12 05:00:00+00
351194,351195,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.65,81.86,0,0,1971,3,13,1971/03/13 05:00:00+00
351195,351196,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.81,81.45,0,0,1971,3,13,1971/03/13 05:00:00+00
351196,351197,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-14.94,81.06,0,0,1971,3,13,1971/03/13 05:00:00+00
351197,351198,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.03,80.66,0,0,1971,3,13,1971/03/13 05:00:00+00
351198,351199,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.11,80.28,0,0,1971,3,13,1971/03/13 05:00:00+00
351199,351200,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.22,79.92,0,0,1971,3,13,1971/03/13 05:00:00+00
351200,351201,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.36,79.56,0,0,1971,3,13,1971/03/13 05:00:00+00
351201,351202,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.52,79.14,0,0,1971,3,13,1971/03/13 05:00:00+00
351202,351203,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.7,78.69,0,0,1971,3,14,1971/03/14 05:00:00+00
351203,351204,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-15.85,78.23,0,0,1971,3,14,1971/03/14 05:00:00+00
351204,351205,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-16.0,77.76,0,0,1971,3,14,1971/03/14 05:00:00+00
351205,351206,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-16.14,77.29,0,0,1971,3,14,1971/03/14 05:00:00+00
351206,351207,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-16.31,76.81,0,0,1971,3,14,1971/03/14 05:00:00+00
351207,351208,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-16.54,76.3,0,0,1971,3,14,1971/03/14 05:00:00+00
351208,351209,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-16.82,75.78,0,0,1971,3,14,1971/03/14 05:00:00+00
351209,351210,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-17.06,75.25,0,0,1971,3,14,1971/03/14 05:00:00+00
351210,351211,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-17.35,74.72,0,0,1971,3,15,1971/03/15 04:00:00+00
351211,351212,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-17.7,74.18,0,0,1971,3,15,1971/03/15 04:00:00+00
351212,351213,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-18.16,73.7,0,0,1971,3,15,1971/03/15 04:00:00+00
351213,351214,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-18.76,73.28,0,0,1971,3,15,1971/03/15 04:00:00+00
351214,351215,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-19.5,72.96,0,0,1971,3,15,1971/03/15 04:00:00+00
351215,351216,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-20.36,72.71,0,0,1971,3,15,1971/03/15 04:00:00+00
351216,351217,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-21.28,72.58,0,0,1971,3,15,1971/03/15 04:00:00+00
351217,351218,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-22.11,72.54,0,0,1971,3,15,1971/03/15 04:00:00+00
351218,351219,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-22.98,72.69,0,0,1971,3,16,1971/03/16 04:00:00+00
351219,351220,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-23.91,72.91,0,0,1971,3,16,1971/03/16 04:00:00+00
351220,351221,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-24.82,73.18,0,0,1971,3,16,1971/03/16 04:00:00+00
351221,351222,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-25.65,73.38,0,0,1971,3,16,1971/03/16 04:00:00+00
351222,351223,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-26.46,73.58,0,0,1971,3,16,1971/03/16 04:00:00+00
351223,351224,1971066S10091,SI,MM,MAGGIE-MURIEL:MURIEL,-27.29,73.82,0,0,1971,3,16,1971/03/16 04:00:00+00
