Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
246831,246832,1954261N11150,WP,MM,MARIE,10.6,150.0,0,0,1954,9,17,1954/09/17 04:00:00+00
246832,246833,1954261N11150,WP,MM,MARIE,10.7,149.19,0,0,1954,9,17,1954/09/17 04:00:00+00
246833,246834,1954261N11150,WP,MM,MARIE,10.8,148.5,0,0,1954,9,18,1954/09/18 04:00:00+00
246834,246835,1954261N11150,WP,MM,MARIE,10.91,147.99,0,0,1954,9,18,1954/09/18 04:00:00+00
246835,246836,1954261N11150,WP,MM,MARIE,11.0,147.55,0,0,1954,9,18,1954/09/18 04:00:00+00
246836,246837,1954261N11150,WP,MM,MARIE,11.05,147.03,0,0,1954,9,18,1954/09/18 04:00:00+00
246837,246838,1954261N11150,WP,MM,MARIE,11.1,146.5,0,0,1954,9,18,1954/09/18 04:00:00+00
246838,246839,1954261N11150,WP,MM,MARIE,11.17,146.04,0,0,1954,9,18,1954/09/18 04:00:00+00
246839,246840,1954261N11150,WP,MM,MARIE,11.25,145.55,0,0,1954,9,18,1954/09/18 04:00:00+00
246840,246841,1954261N11150,WP,MM,MARIE,11.28,144.93,0,0,1954,9,18,1954/09/18 04:00:00+00
246841,246842,1954261N11150,WP,MM,MARIE,11.43,144.33,20,0,1954,9,19,1954/09/19 04:00:00+00
246842,246843,1954261N11150,WP,MM,MARIE,11.69,143.86,22,0,1954,9,19,1954/09/19 04:00:00+00
246843,246844,1954261N11150,WP,MM,MARIE,11.93,143.44,25,0,1954,9,19,1954/09/19 04:00:00+00
246844,246845,1954261N11150,WP,MM,MARIE,12.14,143.06,27,0,1954,9,19,1954/09/19 04:00:00+00
246845,246846,1954261N11150,WP,MM,MARIE,12.37,142.68,30,0,1954,9,19,1954/09/19 04:00:00+00
246846,246847,1954261N11150,WP,MM,MARIE,12.59,142.29,30,0,1954,9,19,1954/09/19 04:00:00+00
246847,246848,1954261N11150,WP,MM,MARIE,12.77,141.9,30,0,1954,9,19,1954/09/19 04:00:00+00
246848,246849,1954261N11150,WP,MM,MARIE,12.92,141.5,30,0,1954,9,19,1954/09/19 04:00:00+00
246849,246850,1954261N11150,WP,MM,MARIE,13.0,141.07,30,0,1954,9,20,1954/09/20 04:00:00+00
246850,246851,1954261N11150,WP,MM,MARIE,12.98,140.58,27,0,1954,9,20,1954/09/20 04:00:00+00
246851,246852,1954261N11150,WP,MM,MARIE,12.91,140.06,25,0,1954,9,20,1954/09/20 04:00:00+00
246852,246853,1954261N11150,WP,MM,MARIE,12.84,139.56,22,0,1954,9,20,1954/09/20 04:00:00+00
246853,246854,1954261N11150,WP,MM,MARIE,12.78,139.03,20,0,1954,9,20,1954/09/20 04:00:00+00
246854,246855,1954261N11150,WP,MM,MARIE,12.73,138.47,20,0,1954,9,20,1954/09/20 04:00:00+00
246855,246856,1954261N11150,WP,MM,MARIE,12.74,137.88,20,0,1954,9,20,1954/09/20 04:00:00+00
246856,246857,1954261N11150,WP,MM,MARIE,12.85,137.31,22,0,1954,9,20,1954/09/20 04:00:00+00
246857,246858,1954261N11150,WP,MM,MARIE,13.03,136.73,25,0,1954,9,21,1954/09/21 04:00:00+00
246858,246859,1954261N11150,WP,MM,MARIE,13.26,136.13,27,0,1954,9,21,1954/09/21 04:00:00+00
246859,246860,1954261N11150,WP,MM,MARIE,13.48,135.53,30,0,1954,9,21,1954/09/21 04:00:00+00
246860,246861,1954261N11150,WP,MM,MARIE,13.63,134.93,27,0,1954,9,21,1954/09/21 04:00:00+00
246861,246862,1954261N11150,WP,MM,MARIE,13.73,134.38,25,0,1954,9,21,1954/09/21 04:00:00+00
246862,246863,1954261N11150,WP,MM,MARIE,13.8,133.9,22,0,1954,9,21,1954/09/21 04:00:00+00
246863,246864,1954261N11150,WP,MM,MARIE,13.87,133.47,20,0,1954,9,21,1954/09/21 04:00:00+00
246864,246865,1954261N11150,WP,MM,MARIE,13.93,133.07,20,0,1954,9,21,1954/09/21 04:00:00+00
246865,246866,1954261N11150,WP,MM,MARIE,14.08,132.63,20,0,1954,9,22,1954/09/22 04:00:00+00
246866,246867,1954261N11150,WP,MM,MARIE,14.4,132.04,22,0,1954,9,22,1954/09/22 04:00:00+00
246867,246868,1954261N11150,WP,MM,MARIE,14.77,131.43,25,0,1954,9,22,1954/09/22 04:00:00+00
246868,246869,1954261N11150,WP,MM,MARIE,15.09,130.95,27,0,1954,9,22,1954/09/22 04:00:00+00
246869,246870,1954261N11150,WP,MM,MARIE,15.4,130.53,30,0,1954,9,22,1954/09/22 04:00:00+00
246870,246871,1954261N11150,WP,MM,MARIE,15.69,130.14,32,0,1954,9,22,1954/09/22 04:00:00+00
246871,246872,1954261N11150,WP,MM,MARIE,16.0,129.76,35,0,1954,9,22,1954/09/22 04:00:00+00
246872,246873,1954261N11150,WP,MM,MARIE,16.33,129.33,37,0,1954,9,22,1954/09/22 04:00:00+00
246873,246874,1954261N11150,WP,MM,MARIE,16.7,128.88,40,0,1954,9,23,1954/09/23 04:00:00+00
246874,246875,1954261N11150,WP,MM,MARIE,17.11,128.42,42,0,1954,9,23,1954/09/23 04:00:00+00
246875,246876,1954261N11150,WP,MM,MARIE,17.52,127.94,45,0,1954,9,23,1954/09/23 04:00:00+00
246876,246877,1954261N11150,WP,MM,MARIE,17.91,127.43,50,0,1954,9,23,1954/09/23 04:00:00+00
246877,246878,1954261N11150,WP,MM,MARIE,18.25,126.9,55,0,1954,9,23,1954/09/23 04:00:00+00
246878,246879,1954261N11150,WP,MM,MARIE,18.53,126.35,57,0,1954,9,23,1954/09/23 04:00:00+00
246879,246880,1954261N11150,WP,MM,MARIE,18.79,125.79,60,0,1954,9,23,1954/09/23 04:00:00+00
246880,246881,1954261N11150,WP,MM,MARIE,19.12,125.26,60,0,1954,9,23,1954/09/23 04:00:00+00
246881,246882,1954261N11150,WP,MM,MARIE,19.47,124.73,60,0,1954,9,24,1954/09/24 04:00:00+00
246882,246883,1954261N11150,WP,MM,MARIE,19.77,124.16,57,0,1954,9,24,1954/09/24 04:00:00+00
246883,246884,1954261N11150,WP,MM,MARIE,20.2,123.65,55,0,1954,9,24,1954/09/24 04:00:00+00
246884,246885,1954261N11150,WP,MM,MARIE,20.92,123.23,52,0,1954,9,24,1954/09/24 04:00:00+00
246885,246886,1954261N11150,WP,MM,MARIE,21.73,123.0,50,0,1954,9,24,1954/09/24 04:00:00+00
246886,246887,1954261N11150,WP,MM,MARIE,22.43,122.96,50,0,1954,9,24,1954/09/24 04:00:00+00
246887,246888,1954261N11150,WP,MM,MARIE,23.13,123.17,50,0,1954,9,24,1954/09/24 04:00:00+00
246888,246889,1954261N11150,WP,MM,MARIE,23.9,123.62,52,0,1954,9,24,1954/09/24 04:00:00+00
246889,246890,1954261N11150,WP,MM,MARIE,24.65,124.27,55,0,1954,9,25,1954/09/25 04:00:00+00
246890,246891,1954261N11150,WP,MM,MARIE,25.17,124.86,60,0,1954,9,25,1954/09/25 04:00:00+00
246891,246892,1954261N11150,WP,MM,MARIE,25.83,125.73,65,0,1954,9,25,1954/09/25 04:00:00+00
