Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
677351,677352,2019260N10253,EP,MM,MARIO,9.9,-107.0,25,1009,2019,9,16,2019/09/16 04:00:00+00
677352,677353,2019260N10253,EP,MM,MARIO,9.94,-107.15,27,1008,2019,9,16,2019/09/16 04:00:00+00
677353,677354,2019260N10253,EP,MM,MARIO,10.0,-107.3,30,1008,2019,9,16,2019/09/16 04:00:00+00
677354,677355,2019260N10253,EP,MM,MARIO,10.12,-107.45,30,1008,2019,9,16,2019/09/16 04:00:00+00
677355,677356,2019260N10253,EP,MM,MARIO,10.3,-107.6,30,1008,2019,9,17,2019/09/17 04:00:00+00
677356,677357,2019260N10253,EP,MM,MARIO,10.52,-107.76,30,1007,2019,9,17,2019/09/17 04:00:00+00
677357,677358,2019260N10253,EP,MM,MARIO,10.8,-107.9,30,1007,2019,9,17,2019/09/17 04:00:00+00
677358,677359,2019260N10253,EP,MM,MARIO,11.13,-108.0,30,1006,2019,9,17,2019/09/17 04:00:00+00
677359,677360,2019260N10253,EP,MM,MARIO,11.5,-108.1,30,1006,2019,9,17,2019/09/17 04:00:00+00
677360,677361,2019260N10253,EP,MM,MARIO,11.85,-108.23,30,1005,2019,9,17,2019/09/17 04:00:00+00
677361,677362,2019260N10253,EP,MM,MARIO,12.2,-108.4,30,1005,2019,9,17,2019/09/17 04:00:00+00
677362,677363,2019260N10253,EP,MM,MARIO,12.56,-108.61,32,1004,2019,9,17,2019/09/17 04:00:00+00
677363,677364,2019260N10253,EP,MM,MARIO,12.9,-108.9,35,1004,2019,9,18,2019/09/18 04:00:00+00
677364,677365,2019260N10253,EP,MM,MARIO,13.21,-109.27,40,1002,2019,9,18,2019/09/18 04:00:00+00
677365,677366,2019260N10253,EP,MM,MARIO,13.5,-109.7,45,1001,2019,9,18,2019/09/18 04:00:00+00
677366,677367,2019260N10253,EP,MM,MARIO,13.77,-110.15,50,999,2019,9,18,2019/09/18 04:00:00+00
677367,677368,2019260N10253,EP,MM,MARIO,14.0,-110.6,55,998,2019,9,18,2019/09/18 04:00:00+00
677368,677369,2019260N10253,EP,MM,MARIO,14.19,-111.04,57,997,2019,9,18,2019/09/18 04:00:00+00
677369,677370,2019260N10253,EP,MM,MARIO,14.4,-111.4,60,996,2019,9,18,2019/09/18 04:00:00+00
677370,677371,2019260N10253,EP,MM,MARIO,14.68,-111.66,60,995,2019,9,18,2019/09/18 04:00:00+00
677371,677372,2019260N10253,EP,MM,MARIO,15.0,-111.8,60,995,2019,9,19,2019/09/19 04:00:00+00
677372,677373,2019260N10253,EP,MM,MARIO,15.36,-111.85,57,995,2019,9,19,2019/09/19 04:00:00+00
677373,677374,2019260N10253,EP,MM,MARIO,15.7,-111.8,55,995,2019,9,19,2019/09/19 04:00:00+00
677374,677375,2019260N10253,EP,MM,MARIO,15.97,-111.68,55,995,2019,9,19,2019/09/19 04:00:00+00
677375,677376,2019260N10253,EP,MM,MARIO,16.2,-111.5,55,995,2019,9,19,2019/09/19 04:00:00+00
677376,677377,2019260N10253,EP,MM,MARIO,16.41,-111.31,55,995,2019,9,19,2019/09/19 04:00:00+00
677377,677378,2019260N10253,EP,MM,MARIO,16.6,-111.1,55,995,2019,9,19,2019/09/19 04:00:00+00
677378,677379,2019260N10253,EP,MM,MARIO,16.81,-110.89,55,994,2019,9,19,2019/09/19 04:00:00+00
677379,677380,2019260N10253,EP,MM,MARIO,17.0,-110.7,55,994,2019,9,20,2019/09/20 04:00:00+00
677380,677381,2019260N10253,EP,MM,MARIO,17.16,-110.54,55,993,2019,9,20,2019/09/20 04:00:00+00
677381,677382,2019260N10253,EP,MM,MARIO,17.3,-110.4,55,993,2019,9,20,2019/09/20 04:00:00+00
677382,677383,2019260N10253,EP,MM,MARIO,17.46,-110.23,55,992,2019,9,20,2019/09/20 04:00:00+00
677383,677384,2019260N10253,EP,MM,MARIO,17.6,-110.1,55,992,2019,9,20,2019/09/20 04:00:00+00
677384,677385,2019260N10253,EP,MM,MARIO,17.7,-110.02,55,991,2019,9,20,2019/09/20 04:00:00+00
677385,677386,2019260N10253,EP,MM,MARIO,17.8,-110.0,55,991,2019,9,20,2019/09/20 04:00:00+00
677386,677387,2019260N10253,EP,MM,MARIO,17.94,-110.03,55,991,2019,9,20,2019/09/20 04:00:00+00
677387,677388,2019260N10253,EP,MM,MARIO,18.1,-110.1,55,991,2019,9,21,2019/09/21 04:00:00+00
677388,677389,2019260N10253,EP,MM,MARIO,18.24,-110.15,52,993,2019,9,21,2019/09/21 04:00:00+00
677389,677390,2019260N10253,EP,MM,MARIO,18.4,-110.2,50,995,2019,9,21,2019/09/21 04:00:00+00
677390,677391,2019260N10253,EP,MM,MARIO,18.59,-110.25,47,996,2019,9,21,2019/09/21 04:00:00+00
677391,677392,2019260N10253,EP,MM,MARIO,18.8,-110.3,45,998,2019,9,21,2019/09/21 04:00:00+00
677392,677393,2019260N10253,EP,MM,MARIO,19.03,-110.34,42,1000,2019,9,21,2019/09/21 04:00:00+00
677393,677394,2019260N10253,EP,MM,MARIO,19.3,-110.4,40,1002,2019,9,21,2019/09/21 04:00:00+00
677394,677395,2019260N10253,EP,MM,MARIO,19.64,-110.48,37,1003,2019,9,21,2019/09/21 04:00:00+00
677395,677396,2019260N10253,EP,MM,MARIO,20.0,-110.6,35,1004,2019,9,22,2019/09/22 04:00:00+00
677396,677397,2019260N10253,EP,MM,MARIO,20.34,-110.78,32,1004,2019,9,22,2019/09/22 04:00:00+00
677397,677398,2019260N10253,EP,MM,MARIO,20.7,-111.0,30,1005,2019,9,22,2019/09/22 04:00:00+00
677398,677399,2019260N10253,EP,MM,MARIO,21.09,-111.23,30,1005,2019,9,22,2019/09/22 04:00:00+00
677399,677400,2019260N10253,EP,MM,MARIO,21.5,-111.5,30,1006,2019,9,22,2019/09/22 04:00:00+00
677400,677401,2019260N10253,EP,MM,MARIO,21.9,-111.79,30,1006,2019,9,22,2019/09/22 04:00:00+00
677401,677402,2019260N10253,EP,MM,MARIO,22.3,-112.1,30,1006,2019,9,22,2019/09/22 04:00:00+00
677402,677403,2019260N10253,EP,MM,MARIO,22.7,-112.4,30,1006,2019,9,22,2019/09/22 04:00:00+00
677403,677404,2019260N10253,EP,MM,MARIO,23.1,-112.7,30,1006,2019,9,23,2019/09/23 04:00:00+00
677404,677405,2019260N10253,EP,MM,MARIO,23.51,-112.99,27,1006,2019,9,23,2019/09/23 04:00:00+00
677405,677406,2019260N10253,EP,MM,MARIO,23.9,-113.3,25,1007,2019,9,23,2019/09/23 04:00:00+00
677406,677407,2019260N10253,EP,MM,MARIO,24.27,-113.66,25,1007,2019,9,23,2019/09/23 04:00:00+00
677407,677408,2019260N10253,EP,MM,MARIO,24.6,-114.0,25,1007,2019,9,23,2019/09/23 04:00:00+00
677408,677409,2019260N10253,EP,MM,MARIO,24.86,-114.3,25,1007,2019,9,23,2019/09/23 04:00:00+00
677409,677410,2019260N10253,EP,MM,MARIO,25.1,-114.5,25,1007,2019,9,23,2019/09/23 04:00:00+00
677410,677411,2019260N10253,EP,MM,MARIO,25.42,-114.6,22,1007,2019,9,23,2019/09/23 04:00:00+00
677411,677412,2019260N10253,EP,MM,MARIO,25.7,-114.6,20,1008,2019,9,24,2019/09/24 04:00:00+00
677412,677413,2019260N10253,EP,MM,MARIO,25.84,-114.53,20,1008,2019,9,24,2019/09/24 04:00:00+00
677413,677414,2019260N10253,EP,MM,MARIO,25.9,-114.4,20,1008,2019,9,24,2019/09/24 04:00:00+00
677414,677415,2019260N10253,EP,MM,MARIO,25.96,-114.25,20,1008,2019,9,24,2019/09/24 04:00:00+00
677415,677416,2019260N10253,EP,MM,MARIO,26.0,-114.1,20,1009,2019,9,24,2019/09/24 04:00:00+00
677416,677417,2019260N10253,EP,MM,MARIO,26.01,-113.99,20,1009,2019,9,24,2019/09/24 04:00:00+00
