Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
237728,237729,1952241N08137,WP,MM,MARY,8.0,137.0,0,0,1952,8,28,1952/08/28 04:00:00+00
237729,237730,1952241N08137,WP,MM,MARY,8.55,136.49,0,0,1952,8,28,1952/08/28 04:00:00+00
237730,237731,1952241N08137,WP,MM,MARY,9.0,136.0,0,0,1952,8,28,1952/08/28 04:00:00+00
237731,237732,1952241N08137,WP,MM,MARY,9.3,135.54,0,0,1952,8,28,1952/08/28 04:00:00+00
237732,237733,1952241N08137,WP,MM,MARY,9.5,135.0,0,0,1952,8,28,1952/08/28 04:00:00+00
237733,237734,1952241N08137,WP,MM,MARY,9.67,134.25,0,0,1952,8,28,1952/08/28 04:00:00+00
237734,237735,1952241N08137,WP,MM,MARY,9.8,133.5,0,0,1952,8,28,1952/08/28 04:00:00+00
237735,237736,1952241N08137,WP,MM,MARY,9.91,132.99,0,0,1952,8,28,1952/08/28 04:00:00+00
237736,237737,1952241N08137,WP,MM,MARY,10.0,132.5,0,0,1952,8,29,1952/08/29 04:00:00+00
237737,237738,1952241N08137,WP,MM,MARY,10.09,131.81,0,0,1952,8,29,1952/08/29 04:00:00+00
237738,237739,1952241N08137,WP,MM,MARY,10.2,131.1,0,0,1952,8,29,1952/08/29 04:00:00+00
237739,237740,1952241N08137,WP,MM,MARY,10.33,130.52,0,0,1952,8,29,1952/08/29 04:00:00+00
237740,237741,1952241N08137,WP,MM,MARY,10.5,130.0,0,0,1952,8,29,1952/08/29 04:00:00+00
237741,237742,1952241N08137,WP,MM,MARY,10.73,129.49,0,0,1952,8,29,1952/08/29 04:00:00+00
237742,237743,1952241N08137,WP,MM,MARY,11.0,129.0,0,0,1952,8,29,1952/08/29 04:00:00+00
237743,237744,1952241N08137,WP,MM,MARY,11.17,128.5,0,0,1952,8,29,1952/08/29 04:00:00+00
237744,237745,1952241N08137,WP,MM,MARY,11.5,128.0,0,0,1952,8,30,1952/08/30 04:00:00+00
237745,237746,1952241N08137,WP,MM,MARY,12.2,127.53,0,0,1952,8,30,1952/08/30 04:00:00+00
237746,237747,1952241N08137,WP,MM,MARY,13.0,127.0,0,0,1952,8,30,1952/08/30 04:00:00+00
237747,237748,1952241N08137,WP,MM,MARY,13.57,126.3,0,0,1952,8,30,1952/08/30 04:00:00+00
237748,237749,1952241N08137,WP,MM,MARY,14.1,125.6,0,0,1952,8,30,1952/08/30 04:00:00+00
237749,237750,1952241N08137,WP,MM,MARY,14.75,125.08,0,0,1952,8,30,1952/08/30 04:00:00+00
237750,237751,1952241N08137,WP,MM,MARY,15.4,124.6,0,0,1952,8,30,1952/08/30 04:00:00+00
237751,237752,1952241N08137,WP,MM,MARY,15.93,124.04,0,0,1952,8,30,1952/08/30 04:00:00+00
237752,237753,1952241N08137,WP,MM,MARY,16.5,123.5,0,0,1952,8,31,1952/08/31 04:00:00+00
237753,237754,1952241N08137,WP,MM,MARY,17.3,123.01,0,0,1952,8,31,1952/08/31 04:00:00+00
237754,237755,1952241N08137,WP,MM,MARY,18.1,122.6,0,0,1952,8,31,1952/08/31 04:00:00+00
237755,237756,1952241N08137,WP,MM,MARY,18.67,122.31,0,0,1952,8,31,1952/08/31 04:00:00+00
237756,237757,1952241N08137,WP,MM,MARY,19.2,122.0,0,0,1952,8,31,1952/08/31 04:00:00+00
237757,237758,1952241N08137,WP,MM,MARY,19.88,121.49,0,0,1952,8,31,1952/08/31 04:00:00+00
237758,237759,1952241N08137,WP,MM,MARY,20.5,121.0,0,0,1952,8,31,1952/08/31 04:00:00+00
237759,237760,1952241N08137,WP,MM,MARY,20.71,120.73,0,0,1952,8,31,1952/08/31 04:00:00+00
237760,237761,1952241N08137,WP,MM,MARY,21.2,120.5,0,0,1952,9,1,1952/09/01 04:00:00+00
237761,237762,1952241N08137,WP,MM,MARY,22.75,120.06,0,0,1952,9,1,1952/09/01 04:00:00+00
237762,237763,1952241N08137,WP,MM,MARY,24.4,119.7,0,0,1952,9,1,1952/09/01 04:00:00+00
237763,237764,1952241N08137,WP,MM,MARY,25.2,119.65,0,0,1952,9,1,1952/09/01 04:00:00+00
237764,237765,1952241N08137,WP,MM,MARY,25.8,119.8,0,0,1952,9,1,1952/09/01 04:00:00+00
237765,237766,1952241N08137,WP,MM,MARY,26.68,120.0,0,0,1952,9,1,1952/09/01 04:00:00+00
237766,237767,1952241N08137,WP,MM,MARY,27.6,120.3,0,0,1952,9,1,1952/09/01 04:00:00+00
237767,237768,1952241N08137,WP,MM,MARY,28.45,120.65,0,0,1952,9,1,1952/09/01 04:00:00+00
237768,237769,1952241N08137,WP,MM,MARY,29.3,121.0,0,0,1952,9,2,1952/09/02 04:00:00+00
237769,237770,1952241N08137,WP,MM,MARY,30.18,121.23,0,0,1952,9,2,1952/09/02 04:00:00+00
237770,237771,1952241N08137,WP,MM,MARY,31.1,121.5,0,0,1952,9,2,1952/09/02 04:00:00+00
237771,237772,1952241N08137,WP,MM,MARY,32.05,121.95,0,0,1952,9,2,1952/09/02 04:00:00+00
237772,237773,1952241N08137,WP,MM,MARY,33.0,122.5,0,0,1952,9,2,1952/09/02 04:00:00+00
237773,237774,1952241N08137,WP,MM,MARY,33.93,123.06,0,0,1952,9,2,1952/09/02 04:00:00+00
237774,237775,1952241N08137,WP,MM,MARY,34.8,123.7,0,0,1952,9,2,1952/09/02 04:00:00+00
