Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
586909,586910,2004283N24265,,GM,MATTHEW,24.0,-95.4,30,1007,2004,10,8,2004/10/08 04:00:00+00
586910,586911,2004283N24265,,GM,MATTHEW,24.02,-94.73,32,1005,2004,10,8,2004/10/08 04:00:00+00
586911,586912,2004283N24265,,GM,MATTHEW,24.1,-94.2,35,1004,2004,10,8,2004/10/08 04:00:00+00
586912,586913,2004283N24265,,GM,MATTHEW,24.3,-93.9,37,1002,2004,10,8,2004/10/08 04:00:00+00
586913,586914,2004283N24265,,GM,MATTHEW,24.6,-93.7,40,1000,2004,10,9,2004/10/09 04:00:00+00
586914,586915,2004283N24265,,GM,MATTHEW,24.91,-93.44,37,1001,2004,10,9,2004/10/09 04:00:00+00
586915,586916,2004283N24265,,GM,MATTHEW,25.3,-93.2,35,1002,2004,10,9,2004/10/09 04:00:00+00
586916,586917,2004283N24265,,GM,MATTHEW,25.81,-93.02,35,1002,2004,10,9,2004/10/09 04:00:00+00
586917,586918,2004283N24265,,GM,MATTHEW,26.3,-92.8,35,1002,2004,10,9,2004/10/09 04:00:00+00
586918,586919,2004283N24265,,GM,MATTHEW,26.59,-92.41,37,999,2004,10,9,2004/10/09 04:00:00+00
586919,586920,2004283N24265,,GM,MATTHEW,26.8,-92.0,40,997,2004,10,9,2004/10/09 04:00:00+00
586920,586921,2004283N24265,,GM,MATTHEW,27.03,-91.65,40,997,2004,10,9,2004/10/09 04:00:00+00
586921,586922,2004283N24265,,GM,MATTHEW,27.3,-91.4,40,998,2004,10,10,2004/10/10 04:00:00+00
586922,586923,2004283N24265,,GM,MATTHEW,27.64,-91.27,40,998,2004,10,10,2004/10/10 04:00:00+00
586923,586924,2004283N24265,,GM,MATTHEW,28.1,-91.2,40,999,2004,10,10,2004/10/10 04:00:00+00
586924,586925,2004283N24265,,GM,MATTHEW,28.75,-91.12,37,999,2004,10,10,2004/10/10 04:00:00+00
586925,586926,2004283N24265,,GM,MATTHEW,29.2,-91.0,35,999,2004,10,10,2004/10/10 04:00:00+00
586926,586927,2004283N24265,,,MATTHEW,29.4,-90.9,30,1000,2004,10,10,2004/10/10 04:00:00+00
586927,586928,2004283N24265,,,MATTHEW,29.89,-90.81,27,1001,2004,10,10,2004/10/10 04:00:00+00
586928,586929,2004283N24265,,,MATTHEW,30.4,-90.9,25,1002,2004,10,10,2004/10/10 04:00:00+00
586929,586930,2004283N24265,,,MATTHEW,31.15,-90.88,25,1002,2004,10,10,2004/10/10 04:00:00+00
586930,586931,2004283N24265,,,MATTHEW,32.0,-91.0,25,1003,2004,10,11,2004/10/11 04:00:00+00
586931,586932,2004283N24265,,,MATTHEW,32.82,-91.37,22,1004,2004,10,11,2004/10/11 04:00:00+00
621607,621608,2010267N14285,,CS,MATTHEW,13.7,-74.8,30,1008,2010,9,23,2010/09/23 04:00:00+00
621608,621609,2010267N14285,,CS,MATTHEW,13.81,-75.49,32,1007,2010,9,23,2010/09/23 04:00:00+00
621609,621610,2010267N14285,,CS,MATTHEW,13.9,-76.2,35,1007,2010,9,23,2010/09/23 04:00:00+00
621610,621611,2010267N14285,,CS,MATTHEW,13.96,-76.94,37,1006,2010,9,23,2010/09/23 04:00:00+00
621611,621612,2010267N14285,,CS,MATTHEW,14.0,-77.7,40,1005,2010,9,24,2010/09/24 04:00:00+00
621612,621613,2010267N14285,,CS,MATTHEW,13.99,-78.48,42,1004,2010,9,24,2010/09/24 04:00:00+00
621613,621614,2010267N14285,,CS,MATTHEW,14.0,-79.3,45,1003,2010,9,24,2010/09/24 04:00:00+00
621614,621615,2010267N14285,,CS,MATTHEW,14.07,-80.18,45,1002,2010,9,24,2010/09/24 04:00:00+00
