Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
424365,424366,1981195N11138,WP,MM,MAURY,11.2,137.6,0,0,1981,7,14,1981/07/14 04:00:00+00
424366,424367,1981195N11138,WP,MM,MAURY,11.41,137.33,0,0,1981,7,14,1981/07/14 04:00:00+00
424367,424368,1981195N11138,WP,MM,MAURY,11.63,137.08,0,0,1981,7,14,1981/07/14 04:00:00+00
424368,424369,1981195N11138,WP,MM,MAURY,11.85,136.86,0,0,1981,7,14,1981/07/14 04:00:00+00
424369,424370,1981195N11138,WP,MM,MAURY,12.1,136.7,0,0,1981,7,14,1981/07/14 04:00:00+00
424370,424371,1981195N11138,WP,MM,MAURY,12.37,136.6,0,0,1981,7,14,1981/07/14 04:00:00+00
424371,424372,1981195N11138,WP,MM,MAURY,12.65,136.53,0,0,1981,7,14,1981/07/14 04:00:00+00
424372,424373,1981195N11138,WP,MM,MAURY,12.93,136.48,0,0,1981,7,14,1981/07/14 04:00:00+00
424373,424374,1981195N11138,WP,MM,MAURY,13.2,136.4,0,0,1981,7,15,1981/07/15 04:00:00+00
424374,424375,1981195N11138,WP,MM,MAURY,13.44,136.25,0,0,1981,7,15,1981/07/15 04:00:00+00
424375,424376,1981195N11138,WP,MM,MAURY,13.66,136.06,0,0,1981,7,15,1981/07/15 04:00:00+00
424376,424377,1981195N11138,WP,MM,MAURY,13.88,135.88,0,0,1981,7,15,1981/07/15 04:00:00+00
424377,424378,1981195N11138,WP,MM,MAURY,14.1,135.7,0,0,1981,7,15,1981/07/15 04:00:00+00
424378,424379,1981195N11138,WP,MM,MAURY,14.3,135.61,0,0,1981,7,15,1981/07/15 04:00:00+00
424379,424380,1981195N11138,WP,MM,MAURY,14.52,135.52,0,0,1981,7,15,1981/07/15 04:00:00+00
424380,424381,1981195N11138,WP,MM,MAURY,14.77,135.4,0,0,1981,7,15,1981/07/15 04:00:00+00
424381,424382,1981195N11138,WP,MM,MAURY,15.1,135.2,0,0,1981,7,16,1981/07/16 04:00:00+00
424382,424383,1981195N11138,WP,MM,MAURY,15.54,134.9,0,0,1981,7,16,1981/07/16 04:00:00+00
424383,424384,1981195N11138,WP,MM,MAURY,16.04,134.51,0,0,1981,7,16,1981/07/16 04:00:00+00
424384,424385,1981195N11138,WP,MM,MAURY,16.57,134.04,0,0,1981,7,16,1981/07/16 04:00:00+00
424385,424386,1981195N11138,WP,MM,MAURY,17.1,133.5,0,0,1981,7,16,1981/07/16 04:00:00+00
424386,424387,1981195N11138,WP,MM,MAURY,17.62,132.88,0,0,1981,7,16,1981/07/16 04:00:00+00
