Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
667115,667116,2018136N11054,NI,AS,MEKUNU:SAGAR,11.3,53.7,20,1007,2018,5,15,2018/05/15 04:00:00+00
667116,667117,2018136N11054,NI,AS,MEKUNU:SAGAR,11.64,53.21,22,1005,2018,5,15,2018/05/15 04:00:00+00
667117,667118,2018136N11054,NI,AS,MEKUNU:SAGAR,12.0,52.7,25,1004,2018,5,16,2018/05/16 04:00:00+00
667118,667119,2018136N11054,NI,AS,MEKUNU:SAGAR,12.37,52.15,25,1004,2018,5,16,2018/05/16 04:00:00+00
667119,667120,2018136N11054,NI,AS,MEKUNU:SAGAR,12.7,51.6,25,1004,2018,5,16,2018/05/16 04:00:00+00
667120,667121,2018136N11054,NI,AS,MEKUNU:SAGAR,12.94,51.08,27,1004,2018,5,16,2018/05/16 04:00:00+00
667121,667122,2018136N11054,NI,AS,MEKUNU:SAGAR,13.08,50.48,30,1005,2018,5,16,2018/05/16 04:00:00+00
667122,667123,2018136N11054,NI,AS,MEKUNU:SAGAR,13.16,50.01,32,1003,2018,5,16,2018/05/16 04:00:00+00
667123,667124,2018136N11054,NI,AS,MEKUNU:SAGAR,13.2,49.66,35,1002,2018,5,16,2018/05/16 04:00:00+00
667124,667125,2018136N11054,NI,AS,MEKUNU:SAGAR,13.21,49.39,37,1002,2018,5,16,2018/05/16 04:00:00+00
667125,667126,2018136N11054,NI,AS,MEKUNU:SAGAR,13.2,49.15,40,1002,2018,5,17,2018/05/17 04:00:00+00
667126,667127,2018136N11054,NI,AS,MEKUNU:SAGAR,13.21,48.91,42,995,2018,5,17,2018/05/17 04:00:00+00
667127,667128,2018136N11054,NI,AS,MEKUNU:SAGAR,13.1,48.65,45,989,2018,5,17,2018/05/17 04:00:00+00
667128,667129,2018136N11054,NI,AS,MEKUNU:SAGAR,13.07,48.43,47,987,2018,5,17,2018/05/17 04:00:00+00
667129,667130,2018136N11054,NI,AS,MEKUNU:SAGAR,13.0,48.1,50,985,2018,5,17,2018/05/17 04:00:00+00
667130,667131,2018136N11054,NI,AS,MEKUNU:SAGAR,12.86,47.67,50,985,2018,5,17,2018/05/17 04:00:00+00
667131,667132,2018136N11054,NI,AS,MEKUNU:SAGAR,12.6,47.25,50,985,2018,5,17,2018/05/17 04:00:00+00
667132,667133,2018136N11054,NI,AS,MEKUNU:SAGAR,12.41,46.93,50,985,2018,5,17,2018/05/17 04:00:00+00
667133,667134,2018136N11054,NI,AS,MEKUNU:SAGAR,12.15,46.5,50,985,2018,5,18,2018/05/18 04:00:00+00
667134,667135,2018136N11054,NI,AS,MEKUNU:SAGAR,11.99,46.22,52,983,2018,5,18,2018/05/18 04:00:00+00
667135,667136,2018136N11054,NI,AS,MEKUNU:SAGAR,11.85,45.95,55,982,2018,5,18,2018/05/18 04:00:00+00
667136,667137,2018136N11054,NI,AS,MEKUNU:SAGAR,11.7,45.65,57,980,2018,5,18,2018/05/18 04:00:00+00
667137,667138,2018136N11054,NI,AS,MEKUNU:SAGAR,11.55,45.5,60,978,2018,5,18,2018/05/18 04:00:00+00
667138,667139,2018136N11054,NI,AS,MEKUNU:SAGAR,11.38,45.3,62,976,2018,5,18,2018/05/18 04:00:00+00
667139,667140,2018136N11054,NI,AS,MEKUNU:SAGAR,11.25,45.1,65,974,2018,5,18,2018/05/18 04:00:00+00
667140,667141,2018136N11054,NI,AS,MEKUNU:SAGAR,11.12,44.95,62,976,2018,5,18,2018/05/18 04:00:00+00
667141,667142,2018136N11054,NI,AS,MEKUNU:SAGAR,11.0,44.75,60,978,2018,5,19,2018/05/19 04:00:00+00
667142,667143,2018136N11054,NI,AS,MEKUNU:SAGAR,10.82,44.45,57,980,2018,5,19,2018/05/19 04:00:00+00
667143,667144,2018136N11054,NI,AS,MEKUNU:SAGAR,10.7,44.2,55,982,2018,5,19,2018/05/19 04:00:00+00
667144,667145,2018136N11054,NI,AS,MEKUNU:SAGAR,10.53,44.0,52,988,2018,5,19,2018/05/19 04:00:00+00
667145,667146,2018136N11054,NI,AS,MEKUNU:SAGAR,10.35,43.75,50,995,2018,5,19,2018/05/19 04:00:00+00
667146,667147,2018136N11054,NI,AS,MEKUNU:SAGAR,10.21,43.57,47,992,2018,5,19,2018/05/19 04:00:00+00
667147,667148,2018136N11054,NI,AS,MEKUNU:SAGAR,10.1,43.4,45,989,2018,5,19,2018/05/19 04:00:00+00
667148,667149,2018136N11054,NI,AS,MEKUNU:SAGAR,10.02,43.12,42,991,2018,5,19,2018/05/19 04:00:00+00
667149,667150,2018136N11054,NI,AS,MEKUNU:SAGAR,9.96,42.86,40,993,2018,5,20,2018/05/20 04:00:00+00
667150,667151,2018136N11054,NI,AS,MEKUNU:SAGAR,9.87,43.0,35,996,2018,5,20,2018/05/20 04:00:00+00
667151,667152,2018136N11054,NI,AS,MEKUNU:SAGAR,9.75,43.77,30,1000,2018,5,20,2018/05/20 04:00:00+00
667152,667153,2018136N11054,NI,AS,MEKUNU:SAGAR,9.59,45.55,0,0,2018,5,20,2018/05/20 04:00:00+00
667153,667154,2018136N11054,NI,AS,MEKUNU:SAGAR,9.42,47.14,0,0,2018,5,20,2018/05/20 04:00:00+00
667154,667155,2018136N11054,NI,AS,MEKUNU:SAGAR,9.25,48.91,0,0,2018,5,20,2018/05/20 04:00:00+00
667155,667156,2018136N11054,NI,AS,MEKUNU:SAGAR,9.08,50.78,0,0,2018,5,20,2018/05/20 04:00:00+00
667156,667157,2018136N11054,NI,AS,MEKUNU:SAGAR,8.91,52.65,0,0,2018,5,20,2018/05/20 04:00:00+00
667157,667158,2018136N11054,NI,AS,MEKUNU:SAGAR,8.75,54.41,0,0,2018,5,21,2018/05/21 04:00:00+00
667158,667159,2018136N11054,NI,AS,MEKUNU:SAGAR,8.62,55.97,0,0,2018,5,21,2018/05/21 04:00:00+00
667159,667160,2018136N11054,NI,AS,MEKUNU:SAGAR,8.4,57.5,25,1004,2018,5,21,2018/05/21 04:00:00+00
667160,667161,2018136N11054,NI,AS,MEKUNU:SAGAR,8.35,58.2,25,1004,2018,5,21,2018/05/21 04:00:00+00
667161,667162,2018136N11054,NI,AS,MEKUNU:SAGAR,8.41,58.37,25,1004,2018,5,21,2018/05/21 04:00:00+00
667162,667163,2018136N11054,NI,AS,MEKUNU:SAGAR,8.54,58.15,27,1003,2018,5,21,2018/05/21 04:00:00+00
667163,667164,2018136N11054,NI,AS,MEKUNU:SAGAR,8.7,57.9,30,1003,2018,5,21,2018/05/21 04:00:00+00
667164,667165,2018136N11054,NI,AS,MEKUNU:SAGAR,8.86,57.7,32,1001,2018,5,21,2018/05/21 04:00:00+00
667165,667166,2018136N11054,NI,AS,MEKUNU:SAGAR,9.05,57.5,35,999,2018,5,22,2018/05/22 04:00:00+00
667166,667167,2018136N11054,NI,AS,MEKUNU:SAGAR,9.27,57.28,35,999,2018,5,22,2018/05/22 04:00:00+00
667167,667168,2018136N11054,NI,AS,MEKUNU:SAGAR,9.55,57.1,35,1000,2018,5,22,2018/05/22 04:00:00+00
