Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
409909,409910,1979083S15184,SP,MM,MELI,-15.0,183.5,25,0,1979,3,24,1979/03/24 04:00:00+00
409910,409911,1979083S15184,SP,MM,MELI,-15.07,183.81,27,0,1979,3,24,1979/03/24 04:00:00+00
409911,409912,1979083S15184,SP,MM,MELI,-15.15,184.12,30,0,1979,3,24,1979/03/24 04:00:00+00
409912,409913,1979083S15184,SP,MM,MELI,-15.23,184.41,32,0,1979,3,24,1979/03/24 04:00:00+00
409913,409914,1979083S15184,SP,MM,MELI,-15.32,184.7,35,0,1979,3,24,1979/03/24 04:00:00+00
409914,409915,1979083S15184,SP,MM,MELI,-15.45,184.97,35,0,1979,3,24,1979/03/24 04:00:00+00
409915,409916,1979083S15184,SP,MM,MELI,-15.59,185.21,35,0,1979,3,24,1979/03/24 04:00:00+00
409916,409917,1979083S15184,SP,MM,MELI,-15.73,185.41,37,0,1979,3,24,1979/03/24 04:00:00+00
409917,409918,1979083S15184,SP,MM,MELI,-15.9,185.54,40,0,1979,3,25,1979/03/25 04:00:00+00
409918,409919,1979083S15184,SP,MM,MELI,-16.13,185.6,45,0,1979,3,25,1979/03/25 04:00:00+00
409919,409920,1979083S15184,SP,MM,MELI,-16.39,185.58,50,0,1979,3,25,1979/03/25 04:00:00+00
409920,409921,1979083S15184,SP,MM,MELI,-16.66,185.49,55,0,1979,3,25,1979/03/25 04:00:00+00
409921,409922,1979083S15184,SP,MM,MELI,-16.9,185.34,60,0,1979,3,25,1979/03/25 04:00:00+00
409922,409923,1979083S15184,SP,MM,MELI,-17.09,185.18,70,0,1979,3,25,1979/03/25 04:00:00+00
409923,409924,1979083S15184,SP,MM,MELI,-17.23,184.97,80,0,1979,3,25,1979/03/25 04:00:00+00
409924,409925,1979083S15184,SP,MM,MELI,-17.34,184.73,87,0,1979,3,25,1979/03/25 04:00:00+00
409925,409926,1979083S15184,SP,MM,MELI,-17.4,184.44,95,0,1979,3,26,1979/03/26 04:00:00+00
409926,409927,1979083S15184,SP,MM,MELI,-17.38,184.13,100,0,1979,3,26,1979/03/26 04:00:00+00
409927,409928,1979083S15184,SP,MM,MELI,-17.33,183.77,105,0,1979,3,26,1979/03/26 04:00:00+00
409928,409929,1979083S15184,SP,MM,MELI,-17.29,183.37,107,0,1979,3,26,1979/03/26 04:00:00+00
409929,409930,1979083S15184,SP,MM,MELI,-17.32,182.92,110,0,1979,3,26,1979/03/26 04:00:00+00
409930,409931,1979083S15184,SP,MM,MELI,-17.47,182.41,112,0,1979,3,26,1979/03/26 04:00:00+00
409931,409932,1979083S15184,SP,MM,MELI,-17.68,181.86,115,0,1979,3,26,1979/03/26 04:00:00+00
409932,409933,1979083S15184,SP,MM,MELI,-17.88,181.31,115,0,1979,3,26,1979/03/26 04:00:00+00
409933,409934,1979083S15184,SP,MM,MELI,-18.06,180.74,115,0,1979,3,27,1979/03/27 04:00:00+00
409934,409935,1979083S15184,SP,MM,MELI,-18.14,180.19,115,0,1979,3,27,1979/03/27 04:00:00+00
409935,409936,1979083S15184,SP,MM,MELI,-18.22,179.64,115,0,1979,3,27,1979/03/27 04:00:00+00
409936,409937,1979083S15184,SP,MM,MELI,-18.35,179.08,112,0,1979,3,27,1979/03/27 04:00:00+00
409937,409938,1979083S15184,SP,MM,MELI,-18.56,178.5,110,0,1979,3,27,1979/03/27 04:00:00+00
409938,409939,1979083S15184,SP,MM,MELI,-18.85,177.89,110,0,1979,3,27,1979/03/27 04:00:00+00
409939,409940,1979083S15184,SP,MM,MELI,-19.2,177.26,110,0,1979,3,27,1979/03/27 04:00:00+00
409940,409941,1979083S15184,SP,MM,MELI,-19.59,176.63,110,0,1979,3,27,1979/03/27 04:00:00+00
409941,409942,1979083S15184,SP,MM,MELI,-20.0,176.06,110,0,1979,3,28,1979/03/28 04:00:00+00
409942,409943,1979083S15184,SP,MM,MELI,-20.36,175.61,105,0,1979,3,28,1979/03/28 04:00:00+00
409943,409944,1979083S15184,SP,MM,MELI,-20.73,175.28,100,0,1979,3,28,1979/03/28 04:00:00+00
409944,409945,1979083S15184,SP,MM,MELI,-21.12,175.02,95,0,1979,3,28,1979/03/28 04:00:00+00
409945,409946,1979083S15184,SP,MM,MELI,-21.54,174.86,90,0,1979,3,28,1979/03/28 04:00:00+00
409946,409947,1979083S15184,SP,MM,MELI,-21.95,174.72,85,0,1979,3,28,1979/03/28 04:00:00+00
409947,409948,1979083S15184,SP,MM,MELI,-22.38,174.67,80,0,1979,3,28,1979/03/28 04:00:00+00
409948,409949,1979083S15184,SP,MM,MELI,-22.84,174.73,75,0,1979,3,28,1979/03/28 04:00:00+00
409949,409950,1979083S15184,SP,MM,MELI,-23.34,174.9,70,0,1979,3,29,1979/03/29 04:00:00+00
409950,409951,1979083S15184,SP,MM,MELI,-23.86,175.13,65,0,1979,3,29,1979/03/29 04:00:00+00
409951,409952,1979083S15184,SP,MM,MELI,-24.42,175.49,60,0,1979,3,29,1979/03/29 04:00:00+00
409952,409953,1979083S15184,SP,MM,MELI,-24.98,175.95,55,0,1979,3,29,1979/03/29 04:00:00+00
409953,409954,1979083S15184,SP,MM,MELI,-25.6,176.58,50,0,1979,3,29,1979/03/29 04:00:00+00
409954,409955,1979083S15184,SP,MM,MELI,-26.31,177.41,50,0,1979,3,29,1979/03/29 04:00:00+00
409955,409956,1979083S15184,SP,MM,MELI,-27.07,178.39,50,0,1979,3,29,1979/03/29 04:00:00+00
409956,409957,1979083S15184,SP,MM,MELI,-27.8,179.42,50,0,1979,3,29,1979/03/29 04:00:00+00
409957,409958,1979083S15184,SP,MM,MELI,-28.5,180.5,50,0,1979,3,30,1979/03/30 04:00:00+00
409958,409959,1979083S15184,SP,MM,MELI,-29.11,181.53,50,0,1979,3,30,1979/03/30 04:00:00+00
409959,409960,1979083S15184,SP,MM,MELI,-29.7,182.6,50,0,1979,3,30,1979/03/30 04:00:00+00
409960,409961,1979083S15184,SP,MM,MELI,-30.3,183.72,50,0,1979,3,30,1979/03/30 04:00:00+00
409961,409962,1979083S15184,SP,MM,MELI,-31.0,185.0,50,0,1979,3,30,1979/03/30 04:00:00+00
409962,409963,1979083S15184,SP,MM,MELI,-31.86,186.55,47,0,1979,3,30,1979/03/30 04:00:00+00
409963,409964,1979083S15184,SP,MM,MELI,-32.85,188.28,45,0,1979,3,30,1979/03/30 04:00:00+00
409964,409965,1979083S15184,SP,MM,MELI,-33.88,190.1,45,0,1979,3,30,1979/03/30 04:00:00+00
409965,409966,1979083S15184,SP,MM,MELI,-35.0,192.0,45,0,1979,3,31,1979/03/31 04:00:00+00
409966,409967,1979083S15184,SP,MM,MELI,-36.19,193.94,0,0,1979,3,31,1979/03/31 04:00:00+00
409967,409968,1979083S15184,SP,MM,MELI,-37.44,195.92,0,0,1979,3,31,1979/03/31 04:00:00+00
409968,409969,1979083S15184,SP,MM,MELI,-38.72,197.93,0,0,1979,3,31,1979/03/31 04:00:00+00
