Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
584271,584272,2004216N16166,WP,MM,MERANTI,15.8,165.8,20,1004,2004,8,2,2004/08/02 04:00:00+00
584272,584273,2004216N16166,WP,MM,MERANTI,16.25,165.94,22,1003,2004,8,2,2004/08/02 04:00:00+00
584273,584274,2004216N16166,WP,MM,MERANTI,16.62,166.1,25,1002,2004,8,3,2004/08/03 04:00:00+00
584274,584275,2004216N16166,WP,MM,MERANTI,17.14,166.25,25,1002,2004,8,3,2004/08/03 04:00:00+00
584275,584276,2004216N16166,WP,MM,MERANTI,17.66,166.34,25,1002,2004,8,3,2004/08/03 04:00:00+00
584276,584277,2004216N16166,WP,MM,MERANTI,18.13,166.35,25,1002,2004,8,3,2004/08/03 04:00:00+00
584277,584278,2004216N16166,WP,MM,MERANTI,18.57,166.3,25,1002,2004,8,3,2004/08/03 04:00:00+00
584278,584279,2004216N16166,WP,MM,MERANTI,19.02,166.21,27,1001,2004,8,3,2004/08/03 04:00:00+00
584279,584280,2004216N16166,WP,MM,MERANTI,19.53,166.07,30,1000,2004,8,3,2004/08/03 04:00:00+00
584280,584281,2004216N16166,WP,MM,MERANTI,20.12,165.9,32,998,2004,8,3,2004/08/03 04:00:00+00
584281,584282,2004216N16166,WP,MM,MERANTI,20.8,165.73,35,997,2004,8,4,2004/08/04 04:00:00+00
584282,584283,2004216N16166,WP,MM,MERANTI,21.57,165.58,35,997,2004,8,4,2004/08/04 04:00:00+00
584283,584284,2004216N16166,WP,MM,MERANTI,22.35,165.46,35,997,2004,8,4,2004/08/04 04:00:00+00
584284,584285,2004216N16166,WP,MM,MERANTI,23.0,165.37,35,997,2004,8,4,2004/08/04 04:00:00+00
584285,584286,2004216N16166,WP,MM,MERANTI,23.55,165.33,35,997,2004,8,4,2004/08/04 04:00:00+00
584286,584287,2004216N16166,WP,MM,MERANTI,24.04,165.36,35,997,2004,8,4,2004/08/04 04:00:00+00
584287,584288,2004216N16166,WP,MM,MERANTI,24.48,165.45,35,997,2004,8,4,2004/08/04 04:00:00+00
584288,584289,2004216N16166,WP,MM,MERANTI,24.9,165.56,40,994,2004,8,4,2004/08/04 04:00:00+00
584289,584290,2004216N16166,WP,MM,MERANTI,25.32,165.72,45,991,2004,8,5,2004/08/05 04:00:00+00
584290,584291,2004216N16166,WP,MM,MERANTI,25.77,165.91,50,987,2004,8,5,2004/08/05 04:00:00+00
584291,584292,2004216N16166,WP,MM,MERANTI,26.23,166.15,55,984,2004,8,5,2004/08/05 04:00:00+00
584292,584293,2004216N16166,WP,MM,MERANTI,26.69,166.45,62,978,2004,8,5,2004/08/05 04:00:00+00
584293,584294,2004216N16166,WP,MM,MERANTI,27.15,166.78,70,972,2004,8,5,2004/08/05 04:00:00+00
584294,584295,2004216N16166,WP,MM,MERANTI,27.58,167.09,80,963,2004,8,5,2004/08/05 04:00:00+00
584295,584296,2004216N16166,WP,MM,MERANTI,27.98,167.4,90,954,2004,8,5,2004/08/05 04:00:00+00
584296,584297,2004216N16166,WP,MM,MERANTI,28.34,167.66,90,954,2004,8,5,2004/08/05 04:00:00+00
584297,584298,2004216N16166,WP,MM,MERANTI,28.7,167.95,90,954,2004,8,6,2004/08/06 04:00:00+00
