Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
396398,396399,1977041S17157,SP,EA,MILES,-16.6,156.5,0,0,1977,2,9,1977/02/09 05:00:00+00
396399,396400,1977041S17157,SP,EA,MILES,-16.6,156.62,0,0,1977,2,9,1977/02/09 05:00:00+00
396400,396401,1977041S17157,SP,EA,MILES,-16.6,156.87,0,0,1977,2,9,1977/02/09 05:00:00+00
396401,396402,1977041S17157,SP,EA,MILES,-16.6,157.04,0,0,1977,2,9,1977/02/09 05:00:00+00
396402,396403,1977041S17157,SP,EA,MILES,-16.6,157.13,0,0,1977,2,10,1977/02/10 05:00:00+00
396403,396404,1977041S17157,SP,EA,MILES,-16.6,157.38,0,0,1977,2,10,1977/02/10 05:00:00+00
396404,396405,1977041S17157,SP,EA,MILES,-16.6,157.53,0,0,1977,2,10,1977/02/10 05:00:00+00
396405,396406,1977041S17157,SP,EA,MILES,-16.6,157.58,0,0,1977,2,10,1977/02/10 05:00:00+00
396406,396407,1977041S17157,SP,EA,MILES,-16.6,157.71,0,0,1977,2,10,1977/02/10 05:00:00+00
396407,396408,1977041S17157,SP,EA,MILES,-16.6,157.78,0,0,1977,2,10,1977/02/10 05:00:00+00
396408,396409,1977041S17157,SP,EA,MILES,-16.6,157.82,0,0,1977,2,10,1977/02/10 05:00:00+00
396409,396410,1977041S17157,SP,EA,MILES,-16.61,157.96,0,0,1977,2,10,1977/02/10 05:00:00+00
396410,396411,1977041S17157,SP,EA,MILES,-16.6,158.04,0,0,1977,2,10,1977/02/10 05:00:00+00
396411,396412,1977041S17157,SP,EA,MILES,-16.6,158.08,0,0,1977,2,10,1977/02/10 05:00:00+00
396412,396413,1977041S17157,SP,EA,MILES,-16.54,158.14,0,0,1977,2,10,1977/02/10 05:00:00+00
396413,396414,1977041S17157,SP,EA,MILES,-16.51,158.16,0,0,1977,2,10,1977/02/10 05:00:00+00
396414,396415,1977041S17157,SP,EA,MILES,-16.5,158.16,0,0,1977,2,11,1977/02/11 05:00:00+00
396415,396416,1977041S17157,SP,EA,MILES,-16.49,158.15,0,0,1977,2,11,1977/02/11 05:00:00+00
396416,396417,1977041S17157,SP,EA,MILES,-16.47,158.2,0,0,1977,2,11,1977/02/11 05:00:00+00
396417,396418,1977041S17157,SP,EA,MILES,-16.43,158.34,45,0,1977,2,11,1977/02/11 05:00:00+00
396418,396419,1977041S17157,SP,EA,MILES,-16.45,158.41,45,0,1977,2,11,1977/02/11 05:00:00+00
396419,396420,1977041S17157,SP,EA,MILES,-16.47,158.47,45,0,1977,2,11,1977/02/11 05:00:00+00
396420,396421,1977041S17157,SP,EA,MILES,-16.49,158.5,45,0,1977,2,11,1977/02/11 05:00:00+00
396421,396422,1977041S17157,SP,EA,MILES,-16.51,158.5,45,0,1977,2,11,1977/02/11 05:00:00+00
396422,396423,1977041S17157,SP,EA,MILES,-16.51,158.51,45,0,1977,2,11,1977/02/11 05:00:00+00
396423,396424,1977041S17157,SP,EA,MILES,-16.5,158.51,45,0,1977,2,11,1977/02/11 05:00:00+00
396424,396425,1977041S17157,SP,EA,MILES,-16.46,158.54,45,0,1977,2,11,1977/02/11 05:00:00+00
396425,396426,1977041S17157,SP,EA,MILES,-16.44,158.59,45,0,1977,2,11,1977/02/11 05:00:00+00
396426,396427,1977041S17157,SP,EA,MILES,-16.43,158.66,45,0,1977,2,12,1977/02/12 05:00:00+00
396427,396428,1977041S17157,SP,EA,MILES,-16.42,158.9,0,0,1977,2,12,1977/02/12 05:00:00+00
396428,396429,1977041S17157,SP,EA,MILES,-16.41,159.19,0,0,1977,2,12,1977/02/12 05:00:00+00
396429,396430,1977041S17157,SP,EA,MILES,-16.4,159.54,0,0,1977,2,12,1977/02/12 05:00:00+00
396430,396431,1977041S17157,SP,EA,MILES,-16.36,159.86,0,0,1977,2,12,1977/02/12 05:00:00+00
396431,396432,1977041S17157,SP,MM,MILES,-16.32,160.03,0,0,1977,2,12,1977/02/12 05:00:00+00
396432,396433,1977041S17157,SP,MM,MILES,-16.29,160.08,0,0,1977,2,12,1977/02/12 05:00:00+00
396433,396434,1977041S17157,SP,MM,MILES,-16.19,160.16,0,0,1977,2,12,1977/02/12 05:00:00+00
396434,396435,1977041S17157,SP,MM,MILES,-16.1,160.17,0,0,1977,2,12,1977/02/12 05:00:00+00
396435,396436,1977041S17157,SP,MM,MILES,-16.05,160.17,0,0,1977,2,12,1977/02/12 05:00:00+00
396436,396437,1977041S17157,SP,MM,MILES,-15.92,160.18,0,0,1977,2,12,1977/02/12 05:00:00+00
396437,396438,1977041S17157,SP,MM,MILES,-15.81,160.17,0,0,1977,2,12,1977/02/12 05:00:00+00
396438,396439,1977041S17157,SP,MM,MILES,-15.74,160.17,0,0,1977,2,13,1977/02/13 05:00:00+00
396439,396440,1977041S17157,SP,MM,MILES,-15.5,160.11,0,0,1977,2,13,1977/02/13 05:00:00+00
396440,396441,1977041S17157,SP,MM,MILES,-15.35,160.05,0,0,1977,2,13,1977/02/13 05:00:00+00
396441,396442,1977041S17157,SP,EA,MILES,-15.28,160.0,0,0,1977,2,13,1977/02/13 05:00:00+00
