Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
579786,579787,2003284N19291,,,MINDY,19.1,-68.8,40,1004,2003,10,10,2003/10/10 04:00:00+00
579787,579788,2003284N19291,,,MINDY,19.62,-69.27,40,1003,2003,10,10,2003/10/10 04:00:00+00
579788,579789,2003284N19291,,,MINDY,20.1,-69.7,40,1002,2003,10,11,2003/10/11 04:00:00+00
579789,579790,2003284N19291,,,MINDY,20.51,-70.05,40,1002,2003,10,11,2003/10/11 04:00:00+00
579790,579791,2003284N19291,,,MINDY,20.9,-70.4,40,1003,2003,10,11,2003/10/11 04:00:00+00
579791,579792,2003284N19291,,,MINDY,21.34,-70.89,37,1005,2003,10,11,2003/10/11 04:00:00+00
579792,579793,2003284N19291,,,MINDY,21.8,-71.3,35,1007,2003,10,11,2003/10/11 04:00:00+00
579793,579794,2003284N19291,,,MINDY,22.25,-71.44,35,1007,2003,10,11,2003/10/11 04:00:00+00
579794,579795,2003284N19291,,,MINDY,22.7,-71.5,35,1007,2003,10,11,2003/10/11 04:00:00+00
579795,579796,2003284N19291,,,MINDY,23.19,-71.68,35,1006,2003,10,11,2003/10/11 04:00:00+00
579796,579797,2003284N19291,,,MINDY,23.6,-71.9,35,1006,2003,10,12,2003/10/12 04:00:00+00
579797,579798,2003284N19291,,,MINDY,23.82,-72.19,32,1006,2003,10,12,2003/10/12 04:00:00+00
579798,579799,2003284N19291,,,MINDY,24.0,-72.4,30,1007,2003,10,12,2003/10/12 04:00:00+00
579799,579800,2003284N19291,,,MINDY,24.32,-72.35,30,1007,2003,10,12,2003/10/12 04:00:00+00
579800,579801,2003284N19291,,,MINDY,24.7,-72.2,30,1008,2003,10,12,2003/10/12 04:00:00+00
579801,579802,2003284N19291,,,MINDY,25.14,-72.16,30,1008,2003,10,12,2003/10/12 04:00:00+00
579802,579803,2003284N19291,,,MINDY,25.5,-72.0,30,1008,2003,10,12,2003/10/12 04:00:00+00
579803,579804,2003284N19291,,,MINDY,25.6,-71.54,30,1008,2003,10,12,2003/10/12 04:00:00+00
579804,579805,2003284N19291,,,MINDY,25.6,-71.0,30,1008,2003,10,13,2003/10/13 04:00:00+00
579805,579806,2003284N19291,,,MINDY,25.65,-70.65,30,1008,2003,10,13,2003/10/13 04:00:00+00
579806,579807,2003284N19291,,,MINDY,25.7,-70.3,30,1008,2003,10,13,2003/10/13 04:00:00+00
579807,579808,2003284N19291,,,MINDY,25.75,-69.82,30,1008,2003,10,13,2003/10/13 04:00:00+00
579808,579809,2003284N19291,,,MINDY,25.8,-69.3,30,1008,2003,10,13,2003/10/13 04:00:00+00
579809,579810,2003284N19291,,,MINDY,25.86,-68.77,30,1007,2003,10,13,2003/10/13 04:00:00+00
579810,579811,2003284N19291,,,MINDY,25.9,-68.3,30,1007,2003,10,13,2003/10/13 04:00:00+00
579811,579812,2003284N19291,,,MINDY,25.91,-67.96,27,1007,2003,10,13,2003/10/13 04:00:00+00
690786,690787,2021252N28273,,GM,MINDY,28.4,-86.8,35,1006,2021,9,8,2021/09/08 04:00:00+00
690787,690788,2021252N28273,,GM,MINDY,28.97,-86.11,40,1003,2021,9,8,2021/09/08 04:00:00+00
690788,690789,2021252N28273,,GM,MINDY,29.5,-85.4,45,1001,2021,9,9,2021/09/09 04:00:00+00
690789,690790,2021252N28273,,GM,MINDY,29.7,-85.1,50,1000,2021,9,9,2021/09/09 04:00:00+00
690790,690791,2021252N28273,,,MINDY,30.0,-84.68,44,1000,2021,9,9,2021/09/09 04:00:00+00
690791,690792,2021252N28273,,,MINDY,30.5,-83.9,35,1001,2021,9,9,2021/09/09 04:00:00+00
690792,690793,2021252N28273,,,MINDY,30.89,-82.92,32,1003,2021,9,9,2021/09/09 04:00:00+00
690793,690794,2021252N28273,,,MINDY,31.2,-81.8,30,1005,2021,9,9,2021/09/09 04:00:00+00
690794,690795,2021252N28273,,,MINDY,31.47,-80.64,30,1005,2021,9,9,2021/09/09 04:00:00+00
690795,690796,2021252N28273,,,MINDY,31.7,-79.4,30,1005,2021,9,9,2021/09/09 04:00:00+00
690796,690797,2021252N28273,,,MINDY,31.9,-78.13,30,1005,2021,9,9,2021/09/09 04:00:00+00
690797,690798,2021252N28273,,,MINDY,32.1,-76.8,30,1005,2021,9,10,2021/09/10 04:00:00+00
690798,690799,2021252N28273,,,MINDY,32.34,-75.37,30,1005,2021,9,10,2021/09/10 04:00:00+00
690799,690800,2021252N28273,,,MINDY,32.6,-74.0,30,1005,2021,9,10,2021/09/10 04:00:00+00
690800,690801,2021252N28273,,,MINDY,32.9,-72.84,30,1005,2021,9,10,2021/09/10 04:00:00+00
690801,690802,2021252N28273,,,MINDY,33.2,-71.8,30,1005,2021,9,10,2021/09/10 04:00:00+00
690802,690803,2021252N28273,,,MINDY,33.46,-70.8,30,1005,2021,9,10,2021/09/10 04:00:00+00
