Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
405043,405044,1978236N11245,EP,MM,MIRIAM,10.9,-114.9,0,0,1978,8,23,1978/08/23 04:00:00+00
405044,405045,1978236N11245,EP,MM,MIRIAM,10.8,-115.21,25,0,1978,8,23,1978/08/23 04:00:00+00
405045,405046,1978236N11245,EP,MM,MIRIAM,10.74,-115.59,27,0,1978,8,23,1978/08/23 04:00:00+00
405046,405047,1978236N11245,EP,MM,MIRIAM,10.8,-116.0,30,0,1978,8,24,1978/08/24 04:00:00+00
405047,405048,1978236N11245,EP,MM,MIRIAM,11.06,-116.47,30,0,1978,8,24,1978/08/24 04:00:00+00
405048,405049,1978236N11245,EP,MM,MIRIAM,11.35,-116.99,30,0,1978,8,24,1978/08/24 04:00:00+00
405049,405050,1978236N11245,EP,MM,MIRIAM,11.51,-117.55,30,0,1978,8,24,1978/08/24 04:00:00+00
405050,405051,1978236N11245,EP,MM,MIRIAM,11.5,-118.2,30,0,1978,8,24,1978/08/24 04:00:00+00
405051,405052,1978236N11245,EP,MM,MIRIAM,11.24,-118.96,30,0,1978,8,24,1978/08/24 04:00:00+00
405052,405053,1978236N11245,EP,MM,MIRIAM,10.97,-119.77,30,0,1978,8,24,1978/08/24 04:00:00+00
405053,405054,1978236N11245,EP,MM,MIRIAM,10.93,-120.52,30,0,1978,8,24,1978/08/24 04:00:00+00
405054,405055,1978236N11245,EP,MM,MIRIAM,11.0,-121.3,30,0,1978,8,25,1978/08/25 04:00:00+00
405055,405056,1978236N11245,EP,MM,MIRIAM,11.08,-122.12,27,0,1978,8,25,1978/08/25 04:00:00+00
405056,405057,1978236N11245,EP,MM,MIRIAM,11.19,-123.02,25,0,1978,8,25,1978/08/25 04:00:00+00
405057,405058,1978236N11245,EP,MM,MIRIAM,11.33,-123.99,25,0,1978,8,25,1978/08/25 04:00:00+00
405058,405059,1978236N11245,EP,MM,MIRIAM,11.5,-125.0,25,0,1978,8,25,1978/08/25 04:00:00+00
405059,405060,1978236N11245,EP,MM,MIRIAM,11.7,-126.0,25,0,1978,8,25,1978/08/25 04:00:00+00
405060,405061,1978236N11245,EP,MM,MIRIAM,11.88,-127.01,25,0,1978,8,25,1978/08/25 04:00:00+00
405061,405062,1978236N11245,EP,MM,MIRIAM,11.98,-128.05,25,0,1978,8,25,1978/08/25 04:00:00+00
405062,405063,1978236N11245,EP,MM,MIRIAM,12.1,-129.0,25,0,1978,8,26,1978/08/26 04:00:00+00
405063,405064,1978236N11245,EP,MM,MIRIAM,12.34,-129.75,25,0,1978,8,26,1978/08/26 04:00:00+00
405064,405065,1978236N11245,EP,MM,MIRIAM,12.55,-130.44,25,0,1978,8,26,1978/08/26 04:00:00+00
405065,405066,1978236N11245,EP,MM,MIRIAM,12.59,-131.22,25,0,1978,8,26,1978/08/26 04:00:00+00
