Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
549228,549229,1998295N12284,,CS,MITCH,11.6,-76.1,30,1002,1998,10,22,1998/10/22 04:00:00+00
549229,549230,1998295N12284,,CS,MITCH,11.76,-76.6,30,1002,1998,10,22,1998/10/22 04:00:00+00
549230,549231,1998295N12284,,CS,MITCH,11.9,-77.1,30,1002,1998,10,22,1998/10/22 04:00:00+00
549231,549232,1998295N12284,,CS,MITCH,12.0,-77.58,30,1002,1998,10,22,1998/10/22 04:00:00+00
549232,549233,1998295N12284,,CS,MITCH,12.0,-77.9,30,1002,1998,10,22,1998/10/22 04:00:00+00
549233,549234,1998295N12284,,CS,MITCH,11.79,-77.98,32,1001,1998,10,22,1998/10/22 04:00:00+00
549234,549235,1998295N12284,,CS,MITCH,11.6,-77.9,35,1001,1998,10,22,1998/10/22 04:00:00+00
549235,549236,1998295N12284,,CS,MITCH,11.64,-77.75,37,1000,1998,10,22,1998/10/22 04:00:00+00
549236,549237,1998295N12284,,CS,MITCH,11.8,-77.6,40,1000,1998,10,23,1998/10/23 04:00:00+00
549237,549238,1998295N12284,,CS,MITCH,11.99,-77.56,42,999,1998,10,23,1998/10/23 04:00:00+00
549238,549239,1998295N12284,,CS,MITCH,12.2,-77.6,45,999,1998,10,23,1998/10/23 04:00:00+00
549239,549240,1998295N12284,,CS,MITCH,12.35,-77.69,45,999,1998,10,23,1998/10/23 04:00:00+00
549240,549241,1998295N12284,,CS,MITCH,12.5,-77.8,45,999,1998,10,23,1998/10/23 04:00:00+00
549241,549242,1998295N12284,,CS,MITCH,12.69,-77.92,47,998,1998,10,23,1998/10/23 04:00:00+00
549242,549243,1998295N12284,,CS,MITCH,12.9,-78.0,50,998,1998,10,23,1998/10/23 04:00:00+00
549243,549244,1998295N12284,,CS,MITCH,13.14,-77.97,52,997,1998,10,23,1998/10/23 04:00:00+00
549244,549245,1998295N12284,,CS,MITCH,13.4,-77.9,55,997,1998,10,24,1998/10/24 04:00:00+00
549245,549246,1998295N12284,,CS,MITCH,13.64,-77.83,60,993,1998,10,24,1998/10/24 04:00:00+00
549246,549247,1998295N12284,,CS,MITCH,13.9,-77.8,65,990,1998,10,24,1998/10/24 04:00:00+00
549247,549248,1998295N12284,,CS,MITCH,14.2,-77.83,70,987,1998,10,24,1998/10/24 04:00:00+00
549248,549249,1998295N12284,,CS,MITCH,14.5,-77.9,75,985,1998,10,24,1998/10/24 04:00:00+00
