Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
614161,614162,2009196N14129,WP,MM,MOLAVE,14.1,128.6,0,0,2009,7,15,2009/07/15 04:00:00+00
614162,614163,2009196N14129,WP,MM,MOLAVE,14.23,128.19,0,0,2009,7,15,2009/07/15 04:00:00+00
614163,614164,2009196N14129,WP,MM,MOLAVE,14.44,127.83,20,1007,2009,7,15,2009/07/15 04:00:00+00
614164,614165,2009196N14129,WP,MM,MOLAVE,14.74,127.54,22,1005,2009,7,15,2009/07/15 04:00:00+00
614165,614166,2009196N14129,WP,MM,MOLAVE,15.08,127.28,25,1004,2009,7,15,2009/07/15 04:00:00+00
614166,614167,2009196N14129,WP,MM,MOLAVE,15.41,126.97,27,1002,2009,7,15,2009/07/15 04:00:00+00
614167,614168,2009196N14129,WP,MM,MOLAVE,15.67,126.59,30,1000,2009,7,15,2009/07/15 04:00:00+00
614168,614169,2009196N14129,WP,MM,MOLAVE,15.9,126.2,30,1000,2009,7,15,2009/07/15 04:00:00+00
614169,614170,2009196N14129,WP,MM,MOLAVE,16.18,125.85,30,1000,2009,7,16,2009/07/16 04:00:00+00
614170,614171,2009196N14129,WP,MM,MOLAVE,16.53,125.59,30,1000,2009,7,16,2009/07/16 04:00:00+00
614171,614172,2009196N14129,WP,MM,MOLAVE,16.9,125.35,30,1000,2009,7,16,2009/07/16 04:00:00+00
614172,614173,2009196N14129,WP,MM,MOLAVE,17.23,125.04,30,1000,2009,7,16,2009/07/16 04:00:00+00
614173,614174,2009196N14129,WP,MM,MOLAVE,17.52,124.7,30,1000,2009,7,16,2009/07/16 04:00:00+00
614174,614175,2009196N14129,WP,MM,MOLAVE,17.78,124.37,32,998,2009,7,16,2009/07/16 04:00:00+00
614175,614176,2009196N14129,WP,MM,MOLAVE,18.05,124.03,35,996,2009,7,16,2009/07/16 04:00:00+00
614176,614177,2009196N14129,WP,MM,MOLAVE,18.38,123.68,40,993,2009,7,16,2009/07/16 04:00:00+00
614177,614178,2009196N14129,WP,MM,MOLAVE,18.75,123.33,45,991,2009,7,17,2009/07/17 04:00:00+00
614178,614179,2009196N14129,WP,MM,MOLAVE,19.12,122.99,47,989,2009,7,17,2009/07/17 04:00:00+00
614179,614180,2009196N14129,WP,MM,MOLAVE,19.55,122.58,50,987,2009,7,17,2009/07/17 04:00:00+00
614180,614181,2009196N14129,WP,MM,MOLAVE,20.15,122.01,55,983,2009,7,17,2009/07/17 04:00:00+00
614181,614182,2009196N14129,WP,MM,MOLAVE,20.68,121.3,60,980,2009,7,17,2009/07/17 04:00:00+00
614182,614183,2009196N14129,WP,MM,MOLAVE,20.88,120.45,60,980,2009,7,17,2009/07/17 04:00:00+00
614183,614184,2009196N14129,WP,MM,MOLAVE,20.98,119.6,60,980,2009,7,17,2009/07/17 04:00:00+00
614184,614185,2009196N14129,WP,MM,MOLAVE,21.19,118.9,60,980,2009,7,17,2009/07/17 04:00:00+00
614185,614186,2009196N14129,WP,MM,MOLAVE,21.43,118.28,60,980,2009,7,18,2009/07/18 04:00:00+00
