Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
578076,578077,2003212N12130,WP,MM,MORAKOT,11.8,130.4,20,1004,2003,7,30,2003/07/30 04:00:00+00
578077,578078,2003212N12130,WP,MM,MORAKOT,12.29,129.86,20,1004,2003,7,30,2003/07/30 04:00:00+00
578078,578079,2003212N12130,WP,MM,MORAKOT,12.8,129.3,20,1004,2003,7,31,2003/07/31 04:00:00+00
578079,578080,2003212N12130,WP,MM,MORAKOT,13.35,128.7,20,1004,2003,7,31,2003/07/31 04:00:00+00
578080,578081,2003212N12130,WP,MM,MORAKOT,13.9,128.1,20,1004,2003,7,31,2003/07/31 04:00:00+00
578081,578082,2003212N12130,WP,MM,MORAKOT,14.43,127.5,20,1004,2003,7,31,2003/07/31 04:00:00+00
578082,578083,2003212N12130,WP,MM,MORAKOT,14.9,127.0,20,1004,2003,7,31,2003/07/31 04:00:00+00
578083,578084,2003212N12130,WP,MM,MORAKOT,15.29,126.69,20,1004,2003,7,31,2003/07/31 04:00:00+00
578084,578085,2003212N12130,WP,MM,MORAKOT,15.53,126.83,20,1004,2003,7,31,2003/07/31 04:00:00+00
578085,578086,2003212N12130,WP,MM,MORAKOT,15.79,127.07,22,1003,2003,7,31,2003/07/31 04:00:00+00
578086,578087,2003212N12130,WP,MM,MORAKOT,16.04,127.28,25,1002,2003,8,1,2003/08/01 04:00:00+00
578087,578088,2003212N12130,WP,MM,MORAKOT,16.3,127.36,25,1002,2003,8,1,2003/08/01 04:00:00+00
578088,578089,2003212N12130,WP,MM,MORAKOT,16.53,127.27,25,1002,2003,8,1,2003/08/01 04:00:00+00
578089,578090,2003212N12130,WP,MM,MORAKOT,16.71,127.24,27,1001,2003,8,1,2003/08/01 04:00:00+00
578090,578091,2003212N12130,WP,MM,MORAKOT,16.9,127.17,30,1000,2003,8,1,2003/08/01 04:00:00+00
578091,578092,2003212N12130,WP,MM,MORAKOT,17.19,127.0,32,998,2003,8,1,2003/08/01 04:00:00+00
578092,578093,2003212N12130,WP,MM,MORAKOT,17.53,126.73,35,997,2003,8,1,2003/08/01 04:00:00+00
578093,578094,2003212N12130,WP,MM,MORAKOT,17.92,126.41,35,997,2003,8,1,2003/08/01 04:00:00+00
578094,578095,2003212N12130,WP,MM,MORAKOT,18.29,125.98,35,997,2003,8,2,2003/08/02 04:00:00+00
578095,578096,2003212N12130,WP,MM,MORAKOT,18.59,125.51,40,994,2003,8,2,2003/08/02 04:00:00+00
578096,578097,2003212N12130,WP,MM,MORAKOT,18.9,125.03,45,991,2003,8,2,2003/08/02 04:00:00+00
578097,578098,2003212N12130,WP,MM,MORAKOT,19.29,124.57,45,991,2003,8,2,2003/08/02 04:00:00+00
578098,578099,2003212N12130,WP,MM,MORAKOT,19.68,124.1,45,991,2003,8,2,2003/08/02 04:00:00+00
578099,578100,2003212N12130,WP,MM,MORAKOT,19.96,123.59,45,991,2003,8,2,2003/08/02 04:00:00+00
578100,578101,2003212N12130,WP,MM,MORAKOT,20.2,123.08,45,991,2003,8,2,2003/08/02 04:00:00+00
578101,578102,2003212N12130,WP,MM,MORAKOT,20.45,122.58,47,989,2003,8,2,2003/08/02 04:00:00+00
578102,578103,2003212N12130,WP,MM,MORAKOT,20.73,122.12,50,987,2003,8,3,2003/08/03 04:00:00+00
578103,578104,2003212N12130,WP,MM,MORAKOT,21.03,121.72,57,981,2003,8,3,2003/08/03 04:00:00+00
578104,578105,2003212N12130,WP,MM,MORAKOT,21.38,121.4,65,976,2003,8,3,2003/08/03 04:00:00+00
578105,578106,2003212N12130,WP,MM,MORAKOT,21.77,121.21,65,976,2003,8,3,2003/08/03 04:00:00+00
578106,578107,2003212N12130,WP,MM,MORAKOT,22.18,121.03,65,976,2003,8,3,2003/08/03 04:00:00+00
578107,578108,2003212N12130,WP,MM,MORAKOT,22.58,120.73,62,978,2003,8,3,2003/08/03 04:00:00+00
578108,578109,2003212N12130,WP,MM,MORAKOT,22.95,120.35,60,980,2003,8,3,2003/08/03 04:00:00+00
578109,578110,2003212N12130,WP,MM,MORAKOT,23.26,119.88,60,980,2003,8,3,2003/08/03 04:00:00+00
578110,578111,2003212N12130,WP,MM,MORAKOT,23.52,119.42,60,980,2003,8,4,2003/08/04 04:00:00+00
578111,578112,2003212N12130,WP,MM,MORAKOT,23.81,119.11,60,980,2003,8,4,2003/08/04 04:00:00+00
578112,578113,2003212N12130,WP,MM,MORAKOT,24.04,118.86,60,980,2003,8,4,2003/08/04 04:00:00+00
578113,578114,2003212N12130,WP,MM,MORAKOT,24.23,118.58,57,982,2003,8,4,2003/08/04 04:00:00+00
578114,578115,2003212N12130,WP,MM,MORAKOT,24.44,118.29,55,984,2003,8,4,2003/08/04 04:00:00+00
578115,578116,2003212N12130,WP,MM,MORAKOT,24.77,118.08,45,990,2003,8,4,2003/08/04 04:00:00+00
578116,578117,2003212N12130,WP,MM,MORAKOT,25.05,117.9,35,997,2003,8,4,2003/08/04 04:00:00+00
578117,578118,2003212N12130,WP,MM,MORAKOT,25.35,117.71,32,998,2003,8,4,2003/08/04 04:00:00+00
614448,614449,2009215N20133,WP,MM,MORAKOT,20.1,133.4,0,0,2009,8,2,2009/08/02 04:00:00+00
614449,614450,2009215N20133,WP,MM,MORAKOT,20.21,133.58,0,0,2009,8,2,2009/08/02 04:00:00+00
614450,614451,2009215N20133,WP,MM,MORAKOT,20.3,133.8,0,0,2009,8,3,2009/08/03 04:00:00+00
614451,614452,2009215N20133,WP,MM,MORAKOT,20.35,134.09,0,0,2009,8,3,2009/08/03 04:00:00+00
614452,614453,2009215N20133,WP,MM,MORAKOT,20.37,134.45,15,998,2009,8,3,2009/08/03 04:00:00+00
614453,614454,2009215N20133,WP,MM,MORAKOT,20.43,134.78,17,998,2009,8,3,2009/08/03 04:00:00+00
614454,614455,2009215N20133,WP,MM,MORAKOT,20.57,135.11,20,998,2009,8,3,2009/08/03 04:00:00+00
