Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
512689,512690,1994076S14078,SI,MM,NADIA,-14.3,78.0,0,0,1994,3,16,1994/03/16 04:00:00+00
512690,512691,1994076S14078,SI,MM,NADIA,-14.03,78.19,0,0,1994,3,16,1994/03/16 04:00:00+00
512691,512692,1994076S14078,SI,MM,NADIA,-13.8,78.2,0,0,1994,3,17,1994/03/17 04:00:00+00
512692,512693,1994076S14078,SI,MM,NADIA,-13.63,77.91,0,0,1994,3,17,1994/03/17 04:00:00+00
512693,512694,1994076S14078,SI,MM,NADIA,-13.5,77.3,0,0,1994,3,17,1994/03/17 04:00:00+00
512694,512695,1994076S14078,SI,MM,NADIA,-13.39,76.39,0,0,1994,3,17,1994/03/17 04:00:00+00
512695,512696,1994076S14078,SI,MM,NADIA,-13.3,75.4,0,0,1994,3,17,1994/03/17 04:00:00+00
512696,512697,1994076S14078,SI,MM,NADIA,-13.21,74.68,0,0,1994,3,17,1994/03/17 04:00:00+00
512697,512698,1994076S14078,SI,MM,NADIA,-13.13,73.87,20,0,1994,3,17,1994/03/17 04:00:00+00
512698,512699,1994076S14078,SI,MM,NADIA,-13.03,73.12,20,0,1994,3,17,1994/03/17 04:00:00+00
512699,512700,1994076S14078,SI,MM,NADIA,-12.92,72.46,20,0,1994,3,18,1994/03/18 04:00:00+00
512700,512701,1994076S14078,SI,MM,NADIA,-12.83,71.86,20,0,1994,3,18,1994/03/18 04:00:00+00
512701,512702,1994076S14078,SI,MM,NADIA,-12.73,71.27,20,0,1994,3,18,1994/03/18 04:00:00+00
512702,512703,1994076S14078,SI,MM,NADIA,-12.65,70.66,20,0,1994,3,18,1994/03/18 04:00:00+00
512703,512704,1994076S14078,SI,MM,NADIA,-12.57,70.07,20,0,1994,3,18,1994/03/18 04:00:00+00
512704,512705,1994076S14078,SI,MM,NADIA,-12.45,69.47,22,0,1994,3,18,1994/03/18 04:00:00+00
512705,512706,1994076S14078,SI,MM,NADIA,-12.33,68.9,25,0,1994,3,18,1994/03/18 04:00:00+00
512706,512707,1994076S14078,SI,MM,NADIA,-12.23,68.4,25,0,1994,3,18,1994/03/18 04:00:00+00
512707,512708,1994076S14078,SI,MM,NADIA,-12.13,67.93,25,0,1994,3,19,1994/03/19 04:00:00+00
512708,512709,1994076S14078,SI,MM,NADIA,-12.05,67.46,25,0,1994,3,19,1994/03/19 04:00:00+00
512709,512710,1994076S14078,SI,MM,NADIA,-11.97,67.0,25,0,1994,3,19,1994/03/19 04:00:00+00
512710,512711,1994076S14078,SI,MM,NADIA,-11.88,66.56,27,0,1994,3,19,1994/03/19 04:00:00+00
512711,512712,1994076S14078,SI,MM,NADIA,-11.8,66.1,30,0,1994,3,19,1994/03/19 04:00:00+00
512712,512713,1994076S14078,SI,MM,NADIA,-11.74,65.6,30,0,1994,3,19,1994/03/19 04:00:00+00
512713,512714,1994076S14078,SI,MM,NADIA,-11.7,65.07,30,0,1994,3,19,1994/03/19 04:00:00+00
512714,512715,1994076S14078,SI,MM,NADIA,-11.69,64.51,32,0,1994,3,19,1994/03/19 04:00:00+00
512715,512716,1994076S14078,SI,MM,NADIA,-11.7,63.97,35,0,1994,3,20,1994/03/20 04:00:00+00
512716,512717,1994076S14078,SI,MM,NADIA,-11.74,63.46,37,0,1994,3,20,1994/03/20 04:00:00+00
512717,512718,1994076S14078,SI,MM,NADIA,-11.8,62.97,40,0,1994,3,20,1994/03/20 04:00:00+00
512718,512719,1994076S14078,SI,MM,NADIA,-11.86,62.49,42,0,1994,3,20,1994/03/20 04:00:00+00
512719,512720,1994076S14078,SI,MM,NADIA,-11.93,62.0,45,0,1994,3,20,1994/03/20 04:00:00+00
512720,512721,1994076S14078,SI,MM,NADIA,-12.03,61.48,50,0,1994,3,20,1994/03/20 04:00:00+00
512721,512722,1994076S14078,SI,MM,NADIA,-12.13,60.93,55,0,1994,3,20,1994/03/20 04:00:00+00
512722,512723,1994076S14078,SI,MM,NADIA,-12.24,60.37,60,0,1994,3,20,1994/03/20 04:00:00+00
512723,512724,1994076S14078,SI,MM,NADIA,-12.33,59.8,65,0,1994,3,21,1994/03/21 04:00:00+00
512724,512725,1994076S14078,SI,MM,NADIA,-12.42,59.26,70,0,1994,3,21,1994/03/21 04:00:00+00
512725,512726,1994076S14078,SI,MM,NADIA,-12.5,58.73,75,0,1994,3,21,1994/03/21 04:00:00+00
512726,512727,1994076S14078,SI,MM,NADIA,-12.6,58.2,82,0,1994,3,21,1994/03/21 04:00:00+00
512727,512728,1994076S14078,SI,MM,NADIA,-12.7,57.67,90,0,1994,3,21,1994/03/21 04:00:00+00
512728,512729,1994076S14078,SI,MM,NADIA,-12.76,57.12,97,0,1994,3,21,1994/03/21 04:00:00+00
512729,512730,1994076S14078,SI,MM,NADIA,-12.8,56.57,105,0,1994,3,21,1994/03/21 04:00:00+00
512730,512731,1994076S14078,SI,MM,NADIA,-12.83,55.99,112,0,1994,3,21,1994/03/21 04:00:00+00
512731,512732,1994076S14078,SI,MM,NADIA,-12.87,55.4,120,0,1994,3,22,1994/03/22 04:00:00+00
512732,512733,1994076S14078,SI,MM,NADIA,-12.94,54.82,120,0,1994,3,22,1994/03/22 04:00:00+00
512733,512734,1994076S14078,SI,MM,NADIA,-13.0,54.23,120,0,1994,3,22,1994/03/22 04:00:00+00
512734,512735,1994076S14078,SI,MM,NADIA,-13.02,53.62,115,0,1994,3,22,1994/03/22 04:00:00+00
512735,512736,1994076S14078,SI,MM,NADIA,-13.03,52.97,110,0,1994,3,22,1994/03/22 04:00:00+00
512736,512737,1994076S14078,SI,MM,NADIA,-13.05,52.28,105,0,1994,3,22,1994/03/22 04:00:00+00
512737,512738,1994076S14078,SI,MM,NADIA,-13.07,51.57,100,0,1994,3,22,1994/03/22 04:00:00+00
512738,512739,1994076S14078,SI,MM,NADIA,-13.09,50.84,97,0,1994,3,22,1994/03/22 04:00:00+00
512739,512740,1994076S14078,SI,MM,NADIA,-13.13,50.1,95,0,1994,3,23,1994/03/23 04:00:00+00
512740,512741,1994076S14078,SI,MM,NADIA,-13.2,49.34,87,0,1994,3,23,1994/03/23 04:00:00+00
512741,512742,1994076S14078,SI,MM,NADIA,-13.3,48.57,80,0,1994,3,23,1994/03/23 04:00:00+00
512742,512743,1994076S14078,SI,MM,NADIA,-13.42,47.76,75,0,1994,3,23,1994/03/23 04:00:00+00
512743,512744,1994076S14078,SI,MM,NADIA,-13.57,46.97,70,0,1994,3,23,1994/03/23 04:00:00+00
512744,512745,1994076S14078,SI,MM,NADIA,-13.75,46.24,72,0,1994,3,23,1994/03/23 04:00:00+00
512745,512746,1994076S14078,SI,MM,NADIA,-13.93,45.57,75,0,1994,3,23,1994/03/23 04:00:00+00
512746,512747,1994076S14078,SI,MM,NADIA,-14.1,44.94,75,0,1994,3,23,1994/03/23 04:00:00+00
512747,512748,1994076S14078,SI,MM,NADIA,-14.23,44.33,75,0,1994,3,24,1994/03/24 04:00:00+00
512748,512749,1994076S14078,SI,MM,NADIA,-14.3,43.73,75,0,1994,3,24,1994/03/24 04:00:00+00
512749,512750,1994076S14078,SI,MM,NADIA,-14.33,43.13,75,0,1994,3,24,1994/03/24 04:00:00+00
512750,512751,1994076S14078,SI,MM,NADIA,-14.38,42.52,77,0,1994,3,24,1994/03/24 04:00:00+00
512751,512752,1994076S14078,SI,MM,NADIA,-14.43,41.9,80,0,1994,3,24,1994/03/24 04:00:00+00
512752,512753,1994076S14078,SI,MM,NADIA,-14.51,41.29,77,0,1994,3,24,1994/03/24 04:00:00+00
512753,512754,1994076S14078,SI,MM,NADIA,-14.6,40.7,75,0,1994,3,24,1994/03/24 04:00:00+00
512754,512755,1994076S14078,SI,MM,NADIA,-14.7,40.14,62,0,1994,3,24,1994/03/24 04:00:00+00
512755,512756,1994076S14078,SI,MM,NADIA,-14.83,39.6,50,0,1994,3,25,1994/03/25 04:00:00+00
512756,512757,1994076S14078,SI,MM,NADIA,-15.0,39.05,40,0,1994,3,25,1994/03/25 04:00:00+00
512757,512758,1994076S14078,SI,MM,NADIA,-15.2,38.5,30,0,1994,3,25,1994/03/25 04:00:00+00
512758,512759,1994076S14078,SI,MM,NADIA,-15.42,37.93,25,0,1994,3,25,1994/03/25 04:00:00+00
512759,512760,1994076S14078,SI,MM,NADIA,-15.67,37.43,20,0,1994,3,25,1994/03/25 04:00:00+00
512760,512761,1994076S14078,SI,MM,NADIA,-15.96,37.05,20,0,1994,3,25,1994/03/25 04:00:00+00
512761,512762,1994076S14078,SI,MM,NADIA,-16.27,36.77,20,0,1994,3,25,1994/03/25 04:00:00+00
512762,512763,1994076S14078,SI,MM,NADIA,-16.53,36.52,17,0,1994,3,25,1994/03/25 04:00:00+00
512763,512764,1994076S14078,SI,MM,NADIA,-16.8,36.33,15,0,1994,3,26,1994/03/26 04:00:00+00
512764,512765,1994076S14078,SI,MM,NADIA,-17.1,36.17,15,0,1994,3,26,1994/03/26 04:00:00+00
512765,512766,1994076S14078,SI,MM,NADIA,-17.4,36.07,15,0,1994,3,26,1994/03/26 04:00:00+00
512766,512767,1994076S14078,SI,MM,NADIA,-17.67,36.03,15,0,1994,3,26,1994/03/26 04:00:00+00
512767,512768,1994076S14078,SI,MM,NADIA,-17.93,36.03,15,0,1994,3,26,1994/03/26 04:00:00+00
512768,512769,1994076S14078,SI,MM,NADIA,-18.2,36.01,17,0,1994,3,26,1994/03/26 04:00:00+00
512769,512770,1994076S14078,SI,MM,NADIA,-18.47,36.0,20,0,1994,3,26,1994/03/26 04:00:00+00
512770,512771,1994076S14078,SI,MM,NADIA,-18.73,36.01,20,0,1994,3,26,1994/03/26 04:00:00+00
512771,512772,1994076S14078,SI,MM,NADIA,-19.0,36.03,20,0,1994,3,27,1994/03/27 04:00:00+00
512772,512773,1994076S14078,SI,MM,NADIA,-19.29,36.07,22,0,1994,3,27,1994/03/27 04:00:00+00
512773,512774,1994076S14078,SI,MM,NADIA,-19.57,36.13,25,0,1994,3,27,1994/03/27 04:00:00+00
512774,512775,1994076S14078,SI,MM,NADIA,-19.83,36.23,25,0,1994,3,27,1994/03/27 04:00:00+00
512775,512776,1994076S14078,SI,MM,NADIA,-20.07,36.33,25,0,1994,3,27,1994/03/27 04:00:00+00
512776,512777,1994076S14078,SI,MM,NADIA,-20.25,36.41,27,0,1994,3,27,1994/03/27 04:00:00+00
512777,512778,1994076S14078,SI,MM,NADIA,-20.4,36.5,30,0,1994,3,27,1994/03/27 04:00:00+00
512778,512779,1994076S14078,SI,MM,NADIA,-20.56,36.63,30,0,1994,3,27,1994/03/27 04:00:00+00
512779,512780,1994076S14078,SI,MM,NADIA,-20.67,36.77,30,0,1994,3,28,1994/03/28 04:00:00+00
512780,512781,1994076S14078,SI,MM,NADIA,-20.71,36.86,32,0,1994,3,28,1994/03/28 04:00:00+00
