Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
634828,634829,2013005S10126,SI,WA,NARELLE,-10.0,125.8,0,0,2013,1,5,2013/01/05 05:00:00+00
634829,634830,2013005S10126,SI,WA,NARELLE,-9.94,126.13,0,0,2013,1,5,2013/01/05 05:00:00+00
634830,634831,2013005S10126,SI,WA,NARELLE,-10.0,126.3,0,0,2013,1,5,2013/01/05 05:00:00+00
634831,634832,2013005S10126,SI,WA,NARELLE,-10.25,126.2,0,0,2013,1,5,2013/01/05 05:00:00+00
634832,634833,2013005S10126,SI,WA,NARELLE,-10.5,126.0,0,0,2013,1,5,2013/01/05 05:00:00+00
634833,634834,2013005S10126,SI,WA,NARELLE,-10.54,125.9,0,0,2013,1,5,2013/01/05 05:00:00+00
634834,634835,2013005S10126,SI,WA,NARELLE,-10.5,125.8,0,0,2013,1,5,2013/01/05 05:00:00+00
634835,634836,2013005S10126,SI,WA,NARELLE,-10.48,125.67,0,0,2013,1,5,2013/01/05 05:00:00+00
634836,634837,2013005S10126,SI,WA,NARELLE,-10.5,125.5,0,0,2013,1,6,2013/01/06 05:00:00+00
634837,634838,2013005S10126,SI,WA,NARELLE,-10.63,125.35,0,0,2013,1,6,2013/01/06 05:00:00+00
634838,634839,2013005S10126,SI,WA,NARELLE,-10.8,125.0,0,0,2013,1,6,2013/01/06 05:00:00+00
634839,634840,2013005S10126,SI,WA,NARELLE,-10.94,124.27,0,0,2013,1,6,2013/01/06 05:00:00+00
634840,634841,2013005S10126,SI,WA,NARELLE,-11.0,124.0,0,0,2013,1,6,2013/01/06 05:00:00+00
634841,634842,2013005S10126,SI,WA,NARELLE,-11.1,123.7,0,0,2013,1,6,2013/01/06 05:00:00+00
634842,634843,2013005S10126,SI,WA,NARELLE,-11.17,123.29,0,0,2013,1,6,2013/01/06 05:00:00+00
634843,634844,2013005S10126,SI,WA,NARELLE,-11.2,122.9,0,0,2013,1,6,2013/01/06 05:00:00+00
634844,634845,2013005S10126,SI,WA,NARELLE,-11.29,122.46,0,0,2013,1,6,2013/01/06 05:00:00+00
634845,634846,2013005S10126,SI,WA,NARELLE,-11.3,122.4,0,0,2013,1,6,2013/01/06 05:00:00+00
634846,634847,2013005S10126,SI,WA,NARELLE,-11.4,121.8,0,0,2013,1,7,2013/01/07 05:00:00+00
634847,634848,2013005S10126,SI,WA,NARELLE,-11.39,121.52,0,0,2013,1,7,2013/01/07 05:00:00+00
634848,634849,2013005S10126,SI,WA,NARELLE,-11.3,121.34,25,1003,2013,1,7,2013/01/07 05:00:00+00
634849,634850,2013005S10126,SI,WA,NARELLE,-11.29,121.03,27,1001,2013,1,7,2013/01/07 05:00:00+00
634850,634851,2013005S10126,SI,WA,NARELLE,-11.34,120.91,28,1001,2013,1,7,2013/01/07 05:00:00+00
634851,634852,2013005S10126,SI,WA,NARELLE,-11.45,120.65,30,1000,2013,1,7,2013/01/07 05:00:00+00
634852,634853,2013005S10126,SI,WA,NARELLE,-11.55,120.28,30,1000,2013,1,7,2013/01/07 05:00:00+00
634853,634854,2013005S10126,SI,WA,NARELLE,-11.65,119.9,30,1000,2013,1,7,2013/01/07 05:00:00+00
634854,634855,2013005S10126,SI,WA,NARELLE,-11.8,119.52,32,998,2013,1,7,2013/01/07 05:00:00+00
634855,634856,2013005S10126,SI,WA,NARELLE,-11.95,119.15,35,996,2013,1,8,2013/01/08 05:00:00+00
634856,634857,2013005S10126,SI,WA,NARELLE,-12.09,118.79,37,994,2013,1,8,2013/01/08 05:00:00+00
634857,634858,2013005S10126,SI,WA,NARELLE,-12.2,118.45,40,993,2013,1,8,2013/01/08 05:00:00+00
634858,634859,2013005S10126,SI,WA,NARELLE,-12.26,118.12,42,991,2013,1,8,2013/01/08 05:00:00+00
634859,634860,2013005S10126,SI,WA,NARELLE,-12.3,117.8,45,989,2013,1,8,2013/01/08 05:00:00+00
634860,634861,2013005S10126,SI,WA,NARELLE,-12.34,117.46,50,985,2013,1,8,2013/01/08 05:00:00+00
634861,634862,2013005S10126,SI,WA,NARELLE,-12.4,117.15,55,982,2013,1,8,2013/01/08 05:00:00+00
634862,634863,2013005S10126,SI,WA,NARELLE,-12.48,116.89,57,980,2013,1,8,2013/01/08 05:00:00+00
634863,634864,2013005S10126,SI,WA,NARELLE,-12.55,116.8,58,979,2013,1,8,2013/01/08 05:00:00+00
634864,634865,2013005S10126,SI,WA,NARELLE,-12.65,116.7,60,978,2013,1,9,2013/01/09 05:00:00+00
634865,634866,2013005S10126,SI,WA,NARELLE,-12.84,116.52,62,976,2013,1,9,2013/01/09 05:00:00+00
634866,634867,2013005S10126,SI,WA,NARELLE,-13.05,116.35,65,974,2013,1,9,2013/01/09 05:00:00+00
634867,634868,2013005S10126,SI,WA,NARELLE,-13.25,116.15,65,974,2013,1,9,2013/01/09 05:00:00+00
634868,634869,2013005S10126,SI,WA,NARELLE,-13.35,116.08,65,974,2013,1,9,2013/01/09 05:00:00+00
634869,634870,2013005S10126,SI,WA,NARELLE,-13.45,116.05,65,974,2013,1,9,2013/01/09 05:00:00+00
634870,634871,2013005S10126,SI,WA,NARELLE,-13.61,115.98,67,972,2013,1,9,2013/01/09 05:00:00+00
634871,634872,2013005S10126,SI,WA,NARELLE,-13.8,115.9,70,970,2013,1,9,2013/01/09 05:00:00+00
634872,634873,2013005S10126,SI,WA,NARELLE,-14.07,115.85,70,970,2013,1,9,2013/01/09 05:00:00+00
634873,634874,2013005S10126,SI,WA,NARELLE,-14.22,115.82,70,970,2013,1,9,2013/01/09 05:00:00+00
634874,634875,2013005S10126,SI,WA,NARELLE,-14.55,115.75,70,970,2013,1,10,2013/01/10 05:00:00+00
634875,634876,2013005S10126,SI,WA,NARELLE,-15.05,115.56,75,966,2013,1,10,2013/01/10 05:00:00+00
634876,634877,2013005S10126,SI,WA,NARELLE,-15.5,115.35,80,963,2013,1,10,2013/01/10 05:00:00+00
634877,634878,2013005S10126,SI,WA,NARELLE,-15.88,115.22,80,963,2013,1,10,2013/01/10 05:00:00+00
634878,634879,2013005S10126,SI,WA,NARELLE,-16.11,115.16,80,963,2013,1,10,2013/01/10 05:00:00+00
634879,634880,2013005S10126,SI,WA,NARELLE,-16.3,115.05,80,963,2013,1,10,2013/01/10 05:00:00+00
634880,634881,2013005S10126,SI,WA,NARELLE,-16.41,114.94,80,962,2013,1,10,2013/01/10 05:00:00+00
634881,634882,2013005S10126,SI,WA,NARELLE,-16.54,114.75,82,961,2013,1,10,2013/01/10 05:00:00+00
634882,634883,2013005S10126,SI,WA,NARELLE,-16.7,114.4,85,959,2013,1,10,2013/01/10 05:00:00+00
634883,634884,2013005S10126,SI,WA,NARELLE,-16.89,114.06,87,957,2013,1,10,2013/01/10 05:00:00+00
634884,634885,2013005S10126,SI,WA,NARELLE,-16.96,113.97,88,957,2013,1,10,2013/01/10 05:00:00+00
634885,634886,2013005S10126,SI,WA,NARELLE,-17.05,113.87,88,956,2013,1,10,2013/01/10 05:00:00+00
634886,634887,2013005S10126,SI,WA,NARELLE,-17.15,113.75,90,956,2013,1,11,2013/01/11 05:00:00+00
634887,634888,2013005S10126,SI,WA,NARELLE,-17.41,113.47,97,950,2013,1,11,2013/01/11 05:00:00+00
634888,634889,2013005S10126,SI,WA,NARELLE,-17.65,113.2,105,944,2013,1,11,2013/01/11 05:00:00+00
634889,634890,2013005S10126,SI,WA,NARELLE,-17.82,112.92,110,940,2013,1,11,2013/01/11 05:00:00+00
634890,634891,2013005S10126,SI,WA,NARELLE,-17.9,112.81,112,938,2013,1,11,2013/01/11 05:00:00+00
634891,634892,2013005S10126,SI,WA,NARELLE,-18.0,112.7,115,937,2013,1,11,2013/01/11 05:00:00+00
634892,634893,2013005S10126,SI,WA,NARELLE,-18.18,112.48,117,935,2013,1,11,2013/01/11 05:00:00+00
634893,634894,2013005S10126,SI,WA,NARELLE,-18.35,112.3,120,933,2013,1,11,2013/01/11 05:00:00+00
634894,634895,2013005S10126,SI,WA,NARELLE,-18.47,112.24,120,933,2013,1,11,2013/01/11 05:00:00+00
634895,634896,2013005S10126,SI,WA,NARELLE,-18.52,112.21,120,933,2013,1,11,2013/01/11 05:00:00+00
634896,634897,2013005S10126,SI,WA,NARELLE,-18.7,112.1,120,933,2013,1,12,2013/01/12 05:00:00+00
634897,634898,2013005S10126,SI,WA,NARELLE,-18.98,112.04,117,935,2013,1,12,2013/01/12 05:00:00+00
634898,634899,2013005S10126,SI,WA,NARELLE,-19.3,112.0,115,937,2013,1,12,2013/01/12 05:00:00+00
634899,634900,2013005S10126,SI,WA,NARELLE,-19.62,111.84,110,940,2013,1,12,2013/01/12 05:00:00+00
634900,634901,2013005S10126,SI,WA,NARELLE,-19.95,111.65,105,944,2013,1,12,2013/01/12 05:00:00+00
634901,634902,2013005S10126,SI,WA,NARELLE,-20.27,111.48,97,950,2013,1,12,2013/01/12 05:00:00+00
634902,634903,2013005S10126,SI,WA,NARELLE,-20.6,111.3,90,956,2013,1,12,2013/01/12 05:00:00+00
634903,634904,2013005S10126,SI,WA,NARELLE,-20.87,111.12,85,959,2013,1,12,2013/01/12 05:00:00+00
634904,634905,2013005S10126,SI,WA,NARELLE,-21.08,111.0,82,961,2013,1,12,2013/01/12 05:00:00+00
634905,634906,2013005S10126,SI,WA,NARELLE,-21.4,110.85,80,963,2013,1,13,2013/01/13 05:00:00+00
634906,634907,2013005S10126,SI,WA,NARELLE,-21.89,110.62,77,965,2013,1,13,2013/01/13 05:00:00+00
634907,634908,2013005S10126,SI,WA,NARELLE,-22.3,110.45,75,967,2013,1,13,2013/01/13 05:00:00+00
634908,634909,2013005S10126,SI,WA,NARELLE,-22.79,110.28,75,967,2013,1,13,2013/01/13 05:00:00+00
634909,634910,2013005S10126,SI,WA,NARELLE,-23.3,110.15,75,967,2013,1,13,2013/01/13 05:00:00+00
634910,634911,2013005S10126,SI,WA,NARELLE,-23.8,110.04,70,970,2013,1,13,2013/01/13 05:00:00+00
634911,634912,2013005S10126,SI,WA,NARELLE,-24.3,109.95,65,974,2013,1,13,2013/01/13 05:00:00+00
634912,634913,2013005S10126,SI,WA,NARELLE,-24.81,109.87,62,976,2013,1,13,2013/01/13 05:00:00+00
634913,634914,2013005S10126,SI,WA,NARELLE,-25.35,109.8,60,978,2013,1,14,2013/01/14 05:00:00+00
634914,634915,2013005S10126,SI,WA,NARELLE,-25.91,109.7,52,983,2013,1,14,2013/01/14 05:00:00+00
634915,634916,2013005S10126,SI,WA,NARELLE,-26.54,109.66,45,989,2013,1,14,2013/01/14 05:00:00+00
634916,634917,2013005S10126,SI,WA,NARELLE,-27.23,109.69,42,991,2013,1,14,2013/01/14 05:00:00+00
634917,634918,2013005S10126,SI,WA,NARELLE,-27.84,109.64,40,993,2013,1,14,2013/01/14 05:00:00+00
634918,634919,2013005S10126,SI,WA,NARELLE,-28.18,109.3,0,0,2013,1,14,2013/01/14 05:00:00+00
634919,634920,2013005S10126,SI,WA,NARELLE,-28.8,109.2,0,0,2013,1,14,2013/01/14 05:00:00+00
634920,634921,2013005S10126,SI,WA,NARELLE,-29.41,109.05,0,0,2013,1,14,2013/01/14 05:00:00+00
634921,634922,2013005S10126,SI,WA,NARELLE,-30.0,109.0,0,0,2013,1,15,2013/01/15 05:00:00+00
634922,634923,2013005S10126,SI,WA,NARELLE,-30.56,109.18,0,0,2013,1,15,2013/01/15 05:00:00+00
