Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
592513,592514,2005249N28293,,,NATE,28.4,-67.0,30,1008,2005,9,5,2005/09/05 04:00:00+00
592514,592515,2005249N28293,,,NATE,28.39,-66.77,32,1006,2005,9,5,2005/09/05 04:00:00+00
592515,592516,2005249N28293,,,NATE,28.4,-66.6,35,1005,2005,9,6,2005/09/06 04:00:00+00
592516,592517,2005249N28293,,,NATE,28.45,-66.52,37,1003,2005,9,6,2005/09/06 04:00:00+00
592517,592518,2005249N28293,,,NATE,28.5,-66.5,40,1002,2005,9,6,2005/09/06 04:00:00+00
592518,592519,2005249N28293,,,NATE,28.5,-66.49,45,1001,2005,9,6,2005/09/06 04:00:00+00
592519,592520,2005249N28293,,,NATE,28.5,-66.5,50,1000,2005,9,6,2005/09/06 04:00:00+00
592520,592521,2005249N28293,,,NATE,28.54,-66.46,50,998,2005,9,6,2005/09/06 04:00:00+00
592521,592522,2005249N28293,,,NATE,28.6,-66.4,50,997,2005,9,6,2005/09/06 04:00:00+00
592522,592523,2005249N28293,,,NATE,28.66,-66.34,52,995,2005,9,6,2005/09/06 04:00:00+00
592523,592524,2005249N28293,,,NATE,28.7,-66.3,55,994,2005,9,7,2005/09/07 04:00:00+00
592524,592525,2005249N28293,,,NATE,28.69,-66.3,57,992,2005,9,7,2005/09/07 04:00:00+00
592525,592526,2005249N28293,,,NATE,28.7,-66.3,60,990,2005,9,7,2005/09/07 04:00:00+00
592526,592527,2005249N28293,,,NATE,28.77,-66.27,62,988,2005,9,7,2005/09/07 04:00:00+00
592527,592528,2005249N28293,,,NATE,28.9,-66.2,65,987,2005,9,7,2005/09/07 04:00:00+00
592528,592529,2005249N28293,,,NATE,29.09,-66.11,67,986,2005,9,7,2005/09/07 04:00:00+00
592529,592530,2005249N28293,,,NATE,29.3,-66.0,70,985,2005,9,7,2005/09/07 04:00:00+00
