Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
616938,616939,2009289N12230,EP,MM,NEKI,12.3,-130.3,20,1009,2009,10,15,2009/10/15 04:00:00+00
616939,616940,2009289N12230,EP,MM,NEKI,12.34,-131.05,20,1009,2009,10,15,2009/10/15 04:00:00+00
616940,616941,2009289N12230,EP,MM,NEKI,12.3,-131.7,20,1009,2009,10,15,2009/10/15 04:00:00+00
616941,616942,2009289N12230,EP,MM,NEKI,12.12,-132.19,20,1009,2009,10,15,2009/10/15 04:00:00+00
616942,616943,2009289N12230,EP,MM,NEKI,11.9,-132.7,20,1009,2009,10,16,2009/10/16 04:00:00+00
616943,616944,2009289N12230,EP,MM,NEKI,11.74,-133.39,20,1009,2009,10,16,2009/10/16 04:00:00+00
616944,616945,2009289N12230,EP,MM,NEKI,11.6,-134.2,20,1009,2009,10,16,2009/10/16 04:00:00+00
616945,616946,2009289N12230,EP,MM,NEKI,11.44,-135.09,20,1009,2009,10,16,2009/10/16 04:00:00+00
616946,616947,2009289N12230,EP,MM,NEKI,11.3,-136.0,20,1009,2009,10,16,2009/10/16 04:00:00+00
616947,616948,2009289N12230,EP,MM,NEKI,11.22,-136.77,22,1009,2009,10,16,2009/10/16 04:00:00+00
616948,616949,2009289N12230,EP,MM,NEKI,11.2,-137.6,25,1009,2009,10,16,2009/10/16 04:00:00+00
616949,616950,2009289N12230,EP,MM,NEKI,11.24,-138.7,25,1009,2009,10,16,2009/10/16 04:00:00+00
616950,616951,2009289N12230,EP,MM,NEKI,11.3,-139.8,25,1009,2009,10,17,2009/10/17 04:00:00+00
616951,616952,2009289N12230,EP,CP,NEKI,11.44,-140.15,25,1008,2009,10,17,2009/10/17 04:00:00+00
616952,616953,2009289N12230,EP,CP,NEKI,11.3,-141.4,25,1008,2009,10,17,2009/10/17 04:00:00+00
616953,616954,2009289N12230,EP,CP,NEKI,10.38,-145.59,25,1008,2009,10,17,2009/10/17 04:00:00+00
616954,616955,2009289N12230,EP,CP,NEKI,9.4,-149.6,25,1008,2009,10,17,2009/10/17 04:00:00+00
616955,616956,2009289N12230,EP,CP,NEKI,9.21,-150.46,25,1008,2009,10,17,2009/10/17 04:00:00+00
616956,616957,2009289N12230,EP,CP,NEKI,9.3,-150.2,25,1008,2009,10,17,2009/10/17 04:00:00+00
616957,616958,2009289N12230,EP,CP,NEKI,9.26,-150.51,25,1008,2009,10,17,2009/10/17 04:00:00+00
616958,616959,2009289N12230,EP,CP,NEKI,9.2,-150.9,25,1008,2009,10,18,2009/10/18 04:00:00+00
616959,616960,2009289N12230,EP,CP,NEKI,9.12,-151.42,25,1008,2009,10,18,2009/10/18 04:00:00+00
616960,616961,2009289N12230,EP,CP,NEKI,9.0,-152.0,25,1008,2009,10,18,2009/10/18 04:00:00+00
616961,616962,2009289N12230,EP,CP,NEKI,8.84,-152.5,25,1008,2009,10,18,2009/10/18 04:00:00+00
616962,616963,2009289N12230,EP,CP,NEKI,8.7,-153.1,25,1008,2009,10,18,2009/10/18 04:00:00+00
616963,616964,2009289N12230,EP,CP,NEKI,8.63,-153.91,25,1008,2009,10,18,2009/10/18 04:00:00+00
616964,616965,2009289N12230,EP,CP,NEKI,8.53,-155.27,25,1008,2009,10,18,2009/10/18 04:00:00+00
616965,616966,2009289N12230,EP,CP,NEKI,8.5,-156.03,27,1007,2009,10,18,2009/10/18 04:00:00+00
616966,616967,2009289N12230,EP,CP,NEKI,8.54,-156.5,30,1007,2009,10,19,2009/10/19 04:00:00+00
616967,616968,2009289N12230,EP,CP,NEKI,8.65,-156.81,30,1007,2009,10,19,2009/10/19 04:00:00+00
616968,616969,2009289N12230,EP,CP,NEKI,8.83,-157.13,30,1007,2009,10,19,2009/10/19 04:00:00+00
616969,616970,2009289N12230,EP,CP,NEKI,9.07,-157.53,32,1006,2009,10,19,2009/10/19 04:00:00+00
616970,616971,2009289N12230,EP,CP,NEKI,9.4,-158.0,35,1006,2009,10,19,2009/10/19 04:00:00+00
616971,616972,2009289N12230,EP,CP,NEKI,9.83,-158.52,35,1006,2009,10,19,2009/10/19 04:00:00+00
616972,616973,2009289N12230,EP,CP,NEKI,10.3,-159.1,35,1006,2009,10,19,2009/10/19 04:00:00+00
616973,616974,2009289N12230,EP,CP,NEKI,10.71,-159.74,35,1006,2009,10,19,2009/10/19 04:00:00+00
616974,616975,2009289N12230,EP,CP,NEKI,11.1,-160.4,35,1006,2009,10,20,2009/10/20 04:00:00+00
616975,616976,2009289N12230,EP,CP,NEKI,11.49,-161.06,37,1005,2009,10,20,2009/10/20 04:00:00+00
616976,616977,2009289N12230,EP,CP,NEKI,11.9,-161.7,40,1005,2009,10,20,2009/10/20 04:00:00+00
616977,616978,2009289N12230,EP,CP,NEKI,12.33,-162.28,47,1003,2009,10,20,2009/10/20 04:00:00+00
616978,616979,2009289N12230,EP,CP,NEKI,12.8,-162.8,55,1001,2009,10,20,2009/10/20 04:00:00+00
616979,616980,2009289N12230,EP,CP,NEKI,13.33,-163.25,57,998,2009,10,20,2009/10/20 04:00:00+00
616980,616981,2009289N12230,EP,CP,NEKI,13.9,-163.7,60,996,2009,10,20,2009/10/20 04:00:00+00
616981,616982,2009289N12230,EP,CP,NEKI,14.47,-164.25,62,994,2009,10,20,2009/10/20 04:00:00+00
616982,616983,2009289N12230,EP,CP,NEKI,15.0,-164.8,65,992,2009,10,21,2009/10/21 04:00:00+00
616983,616984,2009289N12230,EP,CP,NEKI,15.48,-165.28,70,988,2009,10,21,2009/10/21 04:00:00+00
616984,616985,2009289N12230,EP,CP,NEKI,15.9,-165.7,75,985,2009,10,21,2009/10/21 04:00:00+00
616985,616986,2009289N12230,EP,CP,NEKI,16.24,-166.1,82,980,2009,10,21,2009/10/21 04:00:00+00
616986,616987,2009289N12230,EP,CP,NEKI,16.6,-166.4,90,975,2009,10,21,2009/10/21 04:00:00+00
616987,616988,2009289N12230,EP,CP,NEKI,17.1,-166.54,95,967,2009,10,21,2009/10/21 04:00:00+00
616988,616989,2009289N12230,EP,CP,NEKI,17.6,-166.6,100,960,2009,10,21,2009/10/21 04:00:00+00
616989,616990,2009289N12230,EP,CP,NEKI,17.97,-166.66,105,955,2009,10,21,2009/10/21 04:00:00+00
616990,616991,2009289N12230,EP,CP,NEKI,18.3,-166.7,110,950,2009,10,22,2009/10/22 04:00:00+00
616991,616992,2009289N12230,EP,CP,NEKI,18.65,-166.72,107,953,2009,10,22,2009/10/22 04:00:00+00
616992,616993,2009289N12230,EP,CP,NEKI,19.0,-166.7,105,956,2009,10,22,2009/10/22 04:00:00+00
616993,616994,2009289N12230,EP,CP,NEKI,19.35,-166.66,102,960,2009,10,22,2009/10/22 04:00:00+00
616994,616995,2009289N12230,EP,CP,NEKI,19.7,-166.6,100,965,2009,10,22,2009/10/22 04:00:00+00
616995,616996,2009289N12230,EP,CP,NEKI,20.05,-166.51,95,967,2009,10,22,2009/10/22 04:00:00+00
616996,616997,2009289N12230,EP,CP,NEKI,20.4,-166.4,90,970,2009,10,22,2009/10/22 04:00:00+00
616997,616998,2009289N12230,EP,CP,NEKI,20.74,-166.31,87,972,2009,10,22,2009/10/22 04:00:00+00
616998,616999,2009289N12230,EP,CP,NEKI,21.1,-166.2,85,975,2009,10,23,2009/10/23 04:00:00+00
616999,617000,2009289N12230,EP,CP,NEKI,21.51,-166.06,82,977,2009,10,23,2009/10/23 04:00:00+00
617000,617001,2009289N12230,EP,CP,NEKI,21.9,-165.9,80,980,2009,10,23,2009/10/23 04:00:00+00
617001,617002,2009289N12230,EP,CP,NEKI,22.23,-165.74,75,985,2009,10,23,2009/10/23 04:00:00+00
617002,617003,2009289N12230,EP,CP,NEKI,22.5,-165.6,70,990,2009,10,23,2009/10/23 04:00:00+00
617003,617004,2009289N12230,EP,CP,NEKI,22.71,-165.49,65,992,2009,10,23,2009/10/23 04:00:00+00
617004,617005,2009289N12230,EP,CP,NEKI,22.9,-165.4,60,995,2009,10,23,2009/10/23 04:00:00+00
617005,617006,2009289N12230,EP,CP,NEKI,23.11,-165.31,57,996,2009,10,23,2009/10/23 04:00:00+00
617006,617007,2009289N12230,EP,CP,NEKI,23.3,-165.2,55,998,2009,10,24,2009/10/24 04:00:00+00
617007,617008,2009289N12230,EP,CP,NEKI,23.45,-165.07,55,998,2009,10,24,2009/10/24 04:00:00+00
617008,617009,2009289N12230,EP,CP,NEKI,23.6,-164.9,55,999,2009,10,24,2009/10/24 04:00:00+00
617009,617010,2009289N12230,EP,CP,NEKI,23.79,-164.66,52,1000,2009,10,24,2009/10/24 04:00:00+00
617010,617011,2009289N12230,EP,CP,NEKI,24.0,-164.4,50,1001,2009,10,24,2009/10/24 04:00:00+00
617011,617012,2009289N12230,EP,CP,NEKI,24.27,-164.17,50,1001,2009,10,24,2009/10/24 04:00:00+00
617012,617013,2009289N12230,EP,CP,NEKI,24.5,-164.0,50,1001,2009,10,24,2009/10/24 04:00:00+00
617013,617014,2009289N12230,EP,CP,NEKI,24.64,-163.92,50,1001,2009,10,24,2009/10/24 04:00:00+00
617014,617015,2009289N12230,EP,CP,NEKI,24.7,-163.9,50,1001,2009,10,25,2009/10/25 04:00:00+00
617015,617016,2009289N12230,EP,CP,NEKI,24.72,-163.88,50,1001,2009,10,25,2009/10/25 04:00:00+00
617016,617017,2009289N12230,EP,CP,NEKI,24.7,-163.9,50,1002,2009,10,25,2009/10/25 04:00:00+00
617017,617018,2009289N12230,EP,CP,NEKI,24.66,-164.01,47,1002,2009,10,25,2009/10/25 04:00:00+00
617018,617019,2009289N12230,EP,CP,NEKI,24.63,-164.13,45,1003,2009,10,25,2009/10/25 04:00:00+00
617019,617020,2009289N12230,EP,CP,NEKI,24.65,-164.18,45,1003,2009,10,25,2009/10/25 04:00:00+00
617020,617021,2009289N12230,EP,CP,NEKI,24.7,-164.27,45,1003,2009,10,25,2009/10/25 04:00:00+00
617021,617022,2009289N12230,EP,CP,NEKI,24.73,-164.49,42,1004,2009,10,25,2009/10/25 04:00:00+00
617022,617023,2009289N12230,EP,CP,NEKI,24.83,-164.73,40,1006,2009,10,26,2009/10/26 04:00:00+00
617023,617024,2009289N12230,EP,CP,NEKI,25.05,-164.9,37,1007,2009,10,26,2009/10/26 04:00:00+00
617024,617025,2009289N12230,EP,CP,NEKI,25.33,-165.0,35,1008,2009,10,26,2009/10/26 04:00:00+00
617025,617026,2009289N12230,EP,CP,NEKI,25.58,-164.97,35,1008,2009,10,26,2009/10/26 04:00:00+00
617026,617027,2009289N12230,EP,CP,NEKI,25.93,-165.0,35,1009,2009,10,26,2009/10/26 04:00:00+00
617027,617028,2009289N12230,EP,CP,NEKI,26.45,-165.34,32,1009,2009,10,26,2009/10/26 04:00:00+00
617028,617029,2009289N12230,EP,CP,NEKI,27.13,-165.63,30,1010,2009,10,26,2009/10/26 04:00:00+00
617029,617030,2009289N12230,EP,CP,NEKI,27.93,-165.58,30,1010,2009,10,26,2009/10/26 04:00:00+00
