Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
580552,580553,2003316N11141,WP,MM,NEPARTAK,10.7,141.2,15,1006,2003,11,11,2003/11/11 05:00:00+00
580553,580554,2003316N11141,WP,MM,NEPARTAK,10.97,140.34,15,1006,2003,11,11,2003/11/11 05:00:00+00
580554,580555,2003316N11141,WP,MM,NEPARTAK,11.04,139.5,15,1006,2003,11,11,2003/11/11 05:00:00+00
580555,580556,2003316N11141,WP,MM,NEPARTAK,11.2,138.69,17,1005,2003,11,11,2003/11/11 05:00:00+00
580556,580557,2003316N11141,WP,MM,NEPARTAK,11.38,137.92,20,1004,2003,11,12,2003/11/12 05:00:00+00
580557,580558,2003316N11141,WP,MM,NEPARTAK,11.6,137.18,22,1003,2003,11,12,2003/11/12 05:00:00+00
580558,580559,2003316N11141,WP,MM,NEPARTAK,11.8,136.3,25,1002,2003,11,12,2003/11/12 05:00:00+00
580559,580560,2003316N11141,WP,MM,NEPARTAK,11.92,135.11,30,999,2003,11,12,2003/11/12 05:00:00+00
580560,580561,2003316N11141,WP,MM,NEPARTAK,12.0,133.88,35,997,2003,11,12,2003/11/12 05:00:00+00
580561,580562,2003316N11141,WP,MM,NEPARTAK,12.07,132.83,37,995,2003,11,12,2003/11/12 05:00:00+00
580562,580563,2003316N11141,WP,MM,NEPARTAK,12.13,131.88,40,994,2003,11,12,2003/11/12 05:00:00+00
580563,580564,2003316N11141,WP,MM,NEPARTAK,12.2,131.02,42,992,2003,11,12,2003/11/12 05:00:00+00
580564,580565,2003316N11141,WP,MM,NEPARTAK,12.28,130.2,45,991,2003,11,13,2003/11/13 05:00:00+00
580565,580566,2003316N11141,WP,MM,NEPARTAK,12.33,129.29,45,991,2003,11,13,2003/11/13 05:00:00+00
580566,580567,2003316N11141,WP,MM,NEPARTAK,12.38,128.35,45,991,2003,11,13,2003/11/13 05:00:00+00
580567,580568,2003316N11141,WP,MM,NEPARTAK,12.41,127.38,47,989,2003,11,13,2003/11/13 05:00:00+00
580568,580569,2003316N11141,WP,MM,NEPARTAK,12.4,126.45,50,987,2003,11,13,2003/11/13 05:00:00+00
580569,580570,2003316N11141,WP,MM,NEPARTAK,12.3,125.66,50,987,2003,11,13,2003/11/13 05:00:00+00
580570,580571,2003316N11141,WP,MM,NEPARTAK,12.15,124.92,50,987,2003,11,13,2003/11/13 05:00:00+00
580571,580572,2003316N11141,WP,MM,NEPARTAK,11.94,124.15,50,987,2003,11,13,2003/11/13 05:00:00+00
580572,580573,2003316N11141,WP,MM,NEPARTAK,11.8,123.35,50,987,2003,11,14,2003/11/14 05:00:00+00
580573,580574,2003316N11141,WP,MM,NEPARTAK,11.83,122.5,52,985,2003,11,14,2003/11/14 05:00:00+00
580574,580575,2003316N11141,WP,MM,NEPARTAK,11.95,121.7,55,984,2003,11,14,2003/11/14 05:00:00+00
580575,580576,2003316N11141,WP,MM,NEPARTAK,12.05,121.03,57,982,2003,11,14,2003/11/14 05:00:00+00
580576,580577,2003316N11141,WP,MM,NEPARTAK,12.15,120.4,60,980,2003,11,14,2003/11/14 05:00:00+00
580577,580578,2003316N11141,WP,MM,NEPARTAK,12.2,119.7,60,980,2003,11,14,2003/11/14 05:00:00+00
