Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
538321,538322,1997152N06171,WP,MM,NESTOR,6.0,171.0,15,0,1997,6,1,1997/06/01 04:00:00+00
538322,538323,1997152N06171,WP,MM,NESTOR,5.95,170.65,15,0,1997,6,1,1997/06/01 04:00:00+00
538323,538324,1997152N06171,WP,MM,NESTOR,5.9,170.3,15,0,1997,6,1,1997/06/01 04:00:00+00
538324,538325,1997152N06171,WP,MM,NESTOR,5.85,169.95,15,0,1997,6,1,1997/06/01 04:00:00+00
538325,538326,1997152N06171,WP,MM,NESTOR,5.8,169.6,15,0,1997,6,1,1997/06/01 04:00:00+00
538326,538327,1997152N06171,WP,MM,NESTOR,5.75,169.25,15,0,1997,6,1,1997/06/01 04:00:00+00
538327,538328,1997152N06171,WP,MM,NESTOR,5.7,168.9,15,0,1997,6,2,1997/06/02 04:00:00+00
538328,538329,1997152N06171,WP,MM,NESTOR,5.65,168.55,15,0,1997,6,2,1997/06/02 04:00:00+00
538329,538330,1997152N06171,WP,MM,NESTOR,5.6,168.2,15,0,1997,6,2,1997/06/02 04:00:00+00
538330,538331,1997152N06171,WP,MM,NESTOR,5.54,167.85,15,0,1997,6,2,1997/06/02 04:00:00+00
538331,538332,1997152N06171,WP,MM,NESTOR,5.5,167.5,15,0,1997,6,2,1997/06/02 04:00:00+00
538332,538333,1997152N06171,WP,MM,NESTOR,5.5,167.15,15,0,1997,6,2,1997/06/02 04:00:00+00
538333,538334,1997152N06171,WP,MM,NESTOR,5.5,166.8,15,0,1997,6,2,1997/06/02 04:00:00+00
538334,538335,1997152N06171,WP,MM,NESTOR,5.46,166.44,15,0,1997,6,2,1997/06/02 04:00:00+00
538335,538336,1997152N06171,WP,MM,NESTOR,5.4,166.1,15,0,1997,6,3,1997/06/03 04:00:00+00
538336,538337,1997152N06171,WP,MM,NESTOR,5.34,165.83,15,0,1997,6,3,1997/06/03 04:00:00+00
538337,538338,1997152N06171,WP,MM,NESTOR,5.3,165.6,15,0,1997,6,3,1997/06/03 04:00:00+00
538338,538339,1997152N06171,WP,MM,NESTOR,5.28,165.39,15,0,1997,6,3,1997/06/03 04:00:00+00
538339,538340,1997152N06171,WP,MM,NESTOR,5.3,165.2,15,0,1997,6,3,1997/06/03 04:00:00+00
538340,538341,1997152N06171,WP,MM,NESTOR,5.33,165.01,15,0,1997,6,3,1997/06/03 04:00:00+00
538341,538342,1997152N06171,WP,MM,NESTOR,5.4,164.8,15,0,1997,6,3,1997/06/03 04:00:00+00
538342,538343,1997152N06171,WP,MM,NESTOR,5.53,164.56,17,0,1997,6,3,1997/06/03 04:00:00+00
538343,538344,1997152N06171,WP,MM,NESTOR,5.7,164.3,20,0,1997,6,4,1997/06/04 04:00:00+00
538344,538345,1997152N06171,WP,MM,NESTOR,5.88,164.05,20,0,1997,6,4,1997/06/04 04:00:00+00
538345,538346,1997152N06171,WP,MM,NESTOR,6.1,163.8,20,0,1997,6,4,1997/06/04 04:00:00+00
538346,538347,1997152N06171,WP,MM,NESTOR,6.33,163.57,20,0,1997,6,4,1997/06/04 04:00:00+00
538347,538348,1997152N06171,WP,MM,NESTOR,6.6,163.3,20,0,1997,6,4,1997/06/04 04:00:00+00
538348,538349,1997152N06171,WP,MM,NESTOR,6.94,162.93,20,0,1997,6,4,1997/06/04 04:00:00+00
538349,538350,1997152N06171,WP,MM,NESTOR,7.3,162.5,20,0,1997,6,4,1997/06/04 04:00:00+00
538350,538351,1997152N06171,WP,MM,NESTOR,7.62,162.06,20,0,1997,6,4,1997/06/04 04:00:00+00
538351,538352,1997152N06171,WP,MM,NESTOR,8.28,161.06,20,0,1997,6,5,1997/06/05 04:00:00+00
538352,538353,1997152N06171,WP,MM,NESTOR,8.7,160.29,20,0,1997,6,5,1997/06/05 04:00:00+00
538353,538354,1997152N06171,WP,MM,NESTOR,8.99,159.66,20,0,1997,6,5,1997/06/05 04:00:00+00
538354,538355,1997152N06171,WP,MM,NESTOR,9.21,159.11,22,0,1997,6,5,1997/06/05 04:00:00+00
538355,538356,1997152N06171,WP,MM,NESTOR,9.3,158.7,25,0,1997,6,5,1997/06/05 04:00:00+00
538356,538357,1997152N06171,WP,MM,NESTOR,9.38,158.27,27,0,1997,6,5,1997/06/05 04:00:00+00
538357,538358,1997152N06171,WP,MM,NESTOR,9.45,157.8,30,0,1997,6,5,1997/06/05 04:00:00+00
538358,538359,1997152N06171,WP,MM,NESTOR,9.5,157.28,32,0,1997,6,5,1997/06/05 04:00:00+00
538359,538360,1997152N06171,WP,MM,NESTOR,9.6,156.7,35,0,1997,6,6,1997/06/06 04:00:00+00
538360,538361,1997152N06171,WP,MM,NESTOR,9.69,156.07,35,0,1997,6,6,1997/06/06 04:00:00+00
538361,538362,1997152N06171,WP,MM,NESTOR,9.77,155.44,35,0,1997,6,6,1997/06/06 04:00:00+00
538362,538363,1997152N06171,WP,MM,NESTOR,9.85,154.85,35,0,1997,6,6,1997/06/06 04:00:00+00
538363,538364,1997152N06171,WP,MM,NESTOR,9.93,154.3,35,0,1997,6,6,1997/06/06 04:00:00+00
538364,538365,1997152N06171,WP,MM,NESTOR,10.03,153.76,35,0,1997,6,6,1997/06/06 04:00:00+00
538365,538366,1997152N06171,WP,MM,NESTOR,10.2,153.23,35,0,1997,6,6,1997/06/06 04:00:00+00
538366,538367,1997152N06171,WP,MM,NESTOR,10.45,152.68,35,0,1997,6,6,1997/06/06 04:00:00+00
538367,538368,1997152N06171,WP,MM,NESTOR,10.77,152.17,35,0,1997,6,7,1997/06/07 04:00:00+00
538368,538369,1997152N06171,WP,MM,NESTOR,11.14,151.74,35,0,1997,6,7,1997/06/07 04:00:00+00
538369,538370,1997152N06171,WP,MM,NESTOR,11.52,151.37,35,0,1997,6,7,1997/06/07 04:00:00+00
538370,538371,1997152N06171,WP,MM,NESTOR,11.9,151.07,35,0,1997,6,7,1997/06/07 04:00:00+00
538371,538372,1997152N06171,WP,MM,NESTOR,12.25,150.84,35,0,1997,6,7,1997/06/07 04:00:00+00
538372,538373,1997152N06171,WP,MM,NESTOR,12.56,150.63,35,0,1997,6,7,1997/06/07 04:00:00+00
538373,538374,1997152N06171,WP,MM,NESTOR,12.82,150.47,35,0,1997,6,7,1997/06/07 04:00:00+00
538374,538375,1997152N06171,WP,MM,NESTOR,13.08,150.34,40,0,1997,6,7,1997/06/07 04:00:00+00
538375,538376,1997152N06171,WP,MM,NESTOR,13.32,150.22,45,0,1997,6,8,1997/06/08 04:00:00+00
538376,538377,1997152N06171,WP,MM,NESTOR,13.6,150.09,50,0,1997,6,8,1997/06/08 04:00:00+00
538377,538378,1997152N06171,WP,MM,NESTOR,13.88,149.97,55,0,1997,6,8,1997/06/08 04:00:00+00
538378,538379,1997152N06171,WP,MM,NESTOR,14.11,149.91,60,0,1997,6,8,1997/06/08 04:00:00+00
538379,538380,1997152N06171,WP,MM,NESTOR,14.32,149.85,65,0,1997,6,8,1997/06/08 04:00:00+00
538380,538381,1997152N06171,WP,MM,NESTOR,14.54,149.78,70,0,1997,6,8,1997/06/08 04:00:00+00
538381,538382,1997152N06171,WP,MM,NESTOR,14.75,149.7,75,0,1997,6,8,1997/06/08 04:00:00+00
538382,538383,1997152N06171,WP,MM,NESTOR,14.98,149.61,82,0,1997,6,8,1997/06/08 04:00:00+00
538383,538384,1997152N06171,WP,MM,NESTOR,15.2,149.5,90,0,1997,6,9,1997/06/09 04:00:00+00
538384,538385,1997152N06171,WP,MM,NESTOR,15.4,149.36,95,0,1997,6,9,1997/06/09 04:00:00+00
538385,538386,1997152N06171,WP,MM,NESTOR,15.6,149.22,100,0,1997,6,9,1997/06/09 04:00:00+00
538386,538387,1997152N06171,WP,MM,NESTOR,15.8,149.14,107,0,1997,6,9,1997/06/09 04:00:00+00
538387,538388,1997152N06171,WP,MM,NESTOR,16.02,149.07,115,0,1997,6,9,1997/06/09 04:00:00+00
538388,538389,1997152N06171,WP,MM,NESTOR,16.29,149.0,120,0,1997,6,9,1997/06/09 04:00:00+00
538389,538390,1997152N06171,WP,MM,NESTOR,16.57,148.9,125,0,1997,6,9,1997/06/09 04:00:00+00
538390,538391,1997152N06171,WP,MM,NESTOR,16.88,148.75,127,0,1997,6,9,1997/06/09 04:00:00+00
538391,538392,1997152N06171,WP,MM,NESTOR,17.2,148.55,130,0,1997,6,10,1997/06/10 04:00:00+00
538392,538393,1997152N06171,WP,MM,NESTOR,17.51,148.29,132,0,1997,6,10,1997/06/10 04:00:00+00
538393,538394,1997152N06171,WP,MM,NESTOR,17.8,148.0,135,0,1997,6,10,1997/06/10 04:00:00+00
538394,538395,1997152N06171,WP,MM,NESTOR,18.07,147.74,137,0,1997,6,10,1997/06/10 04:00:00+00
538395,538396,1997152N06171,WP,MM,NESTOR,18.32,147.47,140,0,1997,6,10,1997/06/10 04:00:00+00
538396,538397,1997152N06171,WP,MM,NESTOR,18.59,147.19,135,0,1997,6,10,1997/06/10 04:00:00+00
538397,538398,1997152N06171,WP,MM,NESTOR,18.88,146.88,130,0,1997,6,10,1997/06/10 04:00:00+00
538398,538399,1997152N06171,WP,MM,NESTOR,19.17,146.51,130,0,1997,6,10,1997/06/10 04:00:00+00
538399,538400,1997152N06171,WP,MM,NESTOR,19.48,146.1,130,0,1997,6,11,1997/06/11 04:00:00+00
538400,538401,1997152N06171,WP,MM,NESTOR,19.78,145.68,127,0,1997,6,11,1997/06/11 04:00:00+00
538401,538402,1997152N06171,WP,MM,NESTOR,20.07,145.25,125,0,1997,6,11,1997/06/11 04:00:00+00
538402,538403,1997152N06171,WP,MM,NESTOR,20.36,144.86,120,0,1997,6,11,1997/06/11 04:00:00+00
538403,538404,1997152N06171,WP,MM,NESTOR,20.65,144.47,115,0,1997,6,11,1997/06/11 04:00:00+00
538404,538405,1997152N06171,WP,MM,NESTOR,20.98,144.03,115,0,1997,6,11,1997/06/11 04:00:00+00
538405,538406,1997152N06171,WP,MM,NESTOR,21.32,143.6,115,0,1997,6,11,1997/06/11 04:00:00+00
538406,538407,1997152N06171,WP,MM,NESTOR,21.64,143.23,115,0,1997,6,11,1997/06/11 04:00:00+00
538407,538408,1997152N06171,WP,MM,NESTOR,22.0,142.88,115,0,1997,6,12,1997/06/12 04:00:00+00
538408,538409,1997152N06171,WP,MM,NESTOR,22.44,142.47,115,0,1997,6,12,1997/06/12 04:00:00+00
538409,538410,1997152N06171,WP,MM,NESTOR,22.93,142.12,115,0,1997,6,12,1997/06/12 04:00:00+00
538410,538411,1997152N06171,WP,MM,NESTOR,23.4,141.9,115,0,1997,6,12,1997/06/12 04:00:00+00
538411,538412,1997152N06171,WP,MM,NESTOR,23.93,141.75,115,0,1997,6,12,1997/06/12 04:00:00+00
538412,538413,1997152N06171,WP,MM,NESTOR,24.52,141.61,112,0,1997,6,12,1997/06/12 04:00:00+00
538413,538414,1997152N06171,WP,MM,NESTOR,25.15,141.55,110,0,1997,6,12,1997/06/12 04:00:00+00
538414,538415,1997152N06171,WP,MM,NESTOR,25.79,141.55,107,0,1997,6,12,1997/06/12 04:00:00+00
538415,538416,1997152N06171,WP,MM,NESTOR,26.5,141.62,105,0,1997,6,13,1997/06/13 04:00:00+00
538416,538417,1997152N06171,WP,MM,NESTOR,27.19,141.75,105,0,1997,6,13,1997/06/13 04:00:00+00
538417,538418,1997152N06171,WP,MM,NESTOR,27.95,142.0,105,0,1997,6,13,1997/06/13 04:00:00+00
538418,538419,1997152N06171,WP,MM,NESTOR,28.77,142.41,92,0,1997,6,13,1997/06/13 04:00:00+00
538419,538420,1997152N06171,WP,MM,NESTOR,29.6,142.97,80,0,1997,6,13,1997/06/13 04:00:00+00
538420,538421,1997152N06171,WP,MM,NESTOR,30.38,143.55,77,0,1997,6,13,1997/06/13 04:00:00+00
538421,538422,1997152N06171,WP,MM,NESTOR,31.2,144.22,75,0,1997,6,13,1997/06/13 04:00:00+00
538422,538423,1997152N06171,WP,MM,NESTOR,32.12,144.97,70,0,1997,6,13,1997/06/13 04:00:00+00
538423,538424,1997152N06171,WP,MM,NESTOR,33.1,145.92,65,0,1997,6,14,1997/06/14 04:00:00+00
538424,538425,1997152N06171,WP,MM,NESTOR,34.14,147.17,62,0,1997,6,14,1997/06/14 04:00:00+00
538425,538426,1997152N06171,WP,MM,NESTOR,35.09,148.56,60,0,1997,6,14,1997/06/14 04:00:00+00
538426,538427,1997152N06171,WP,MM,NESTOR,35.84,149.88,57,0,1997,6,14,1997/06/14 04:00:00+00
538427,538428,1997152N06171,WP,MM,NESTOR,36.48,151.3,55,0,1997,6,14,1997/06/14 04:00:00+00
538428,538429,1997152N06171,WP,MM,NESTOR,37.09,152.94,55,0,1997,6,14,1997/06/14 04:00:00+00
538429,538430,1997152N06171,WP,MM,NESTOR,37.65,154.8,55,0,1997,6,14,1997/06/14 04:00:00+00
538430,538431,1997152N06171,WP,MM,NESTOR,38.1,156.77,55,0,1997,6,14,1997/06/14 04:00:00+00
538431,538432,1997152N06171,WP,MM,NESTOR,38.5,158.8,55,0,1997,6,15,1997/06/15 04:00:00+00
538432,538433,1997152N06171,WP,MM,NESTOR,38.93,160.78,55,0,1997,6,15,1997/06/15 04:00:00+00
538433,538434,1997152N06171,WP,MM,NESTOR,39.37,162.76,55,0,1997,6,15,1997/06/15 04:00:00+00
538434,538435,1997152N06171,WP,MM,NESTOR,39.8,164.71,52,0,1997,6,15,1997/06/15 04:00:00+00
538435,538436,1997152N06171,WP,MM,NESTOR,40.16,166.62,50,0,1997,6,15,1997/06/15 04:00:00+00
538436,538437,1997152N06171,WP,MM,NESTOR,40.36,168.44,0,0,1997,6,15,1997/06/15 04:00:00+00
538437,538438,1997152N06171,WP,MM,NESTOR,40.5,170.2,0,0,1997,6,15,1997/06/15 04:00:00+00
538438,538439,1997152N06171,WP,MM,NESTOR,40.73,171.9,0,0,1997,6,15,1997/06/15 04:00:00+00
538439,538440,1997152N06171,WP,MM,NESTOR,41.0,173.5,0,0,1997,6,16,1997/06/16 04:00:00+00
538440,538441,1997152N06171,WP,MM,NESTOR,41.3,174.97,0,0,1997,6,16,1997/06/16 04:00:00+00
538441,538442,1997152N06171,WP,MM,NESTOR,41.6,176.4,0,0,1997,6,16,1997/06/16 04:00:00+00
538442,538443,1997152N06171,WP,MM,NESTOR,41.82,177.84,0,0,1997,6,16,1997/06/16 04:00:00+00
538443,538444,1997152N06171,WP,MM,NESTOR,42.1,179.4,0,0,1997,6,16,1997/06/16 04:00:00+00
538444,538445,1997152N06171,EP,CP,NESTOR,42.52,181.21,0,0,1997,6,16,1997/06/16 04:00:00+00
678275,678276,2019291N22264,,GM,NESTOR,22.2,-95.7,35,1007,2019,10,17,2019/10/17 04:00:00+00
678276,678277,2019291N22264,,GM,NESTOR,22.39,-95.45,35,1006,2019,10,17,2019/10/17 04:00:00+00
678277,678278,2019291N22264,,GM,NESTOR,22.6,-95.2,35,1005,2019,10,17,2019/10/17 04:00:00+00
678278,678279,2019291N22264,,GM,NESTOR,22.86,-94.92,37,1004,2019,10,17,2019/10/17 04:00:00+00
678279,678280,2019291N22264,,GM,NESTOR,23.2,-94.5,40,1003,2019,10,18,2019/10/18 04:00:00+00
678280,678281,2019291N22264,,GM,NESTOR,23.61,-93.83,42,1002,2019,10,18,2019/10/18 04:00:00+00
678281,678282,2019291N22264,,GM,NESTOR,24.1,-93.0,45,1002,2019,10,18,2019/10/18 04:00:00+00
678282,678283,2019291N22264,,GM,NESTOR,24.63,-92.12,47,1001,2019,10,18,2019/10/18 04:00:00+00
678283,678284,2019291N22264,,GM,NESTOR,25.2,-91.2,50,1001,2019,10,18,2019/10/18 04:00:00+00
678284,678285,2019291N22264,,GM,NESTOR,25.78,-90.28,50,1000,2019,10,18,2019/10/18 04:00:00+00
678285,678286,2019291N22264,,GM,NESTOR,26.4,-89.4,50,1000,2019,10,18,2019/10/18 04:00:00+00
678286,678287,2019291N22264,,GM,NESTOR,27.13,-88.52,50,998,2019,10,18,2019/10/18 04:00:00+00
678287,678288,2019291N22264,,GM,NESTOR,27.8,-87.8,50,996,2019,10,19,2019/10/19 04:00:00+00
678288,678289,2019291N22264,,GM,NESTOR,28.25,-87.38,50,996,2019,10,19,2019/10/19 04:00:00+00
