Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
549691,549692,1998328N28332,,,NICOLE,28.3,-28.0,30,1010,1998,11,24,1998/11/24 05:00:00+00
549692,549693,1998328N28332,,,NICOLE,28.1,-28.56,32,1007,1998,11,24,1998/11/24 05:00:00+00
549693,549694,1998328N28332,,,NICOLE,27.9,-29.1,35,1005,1998,11,24,1998/11/24 05:00:00+00
549694,549695,1998328N28332,,,NICOLE,27.69,-29.61,40,1002,1998,11,24,1998/11/24 05:00:00+00
549695,549696,1998328N28332,,,NICOLE,27.5,-30.1,45,1000,1998,11,24,1998/11/24 05:00:00+00
549696,549697,1998328N28332,,,NICOLE,27.34,-30.61,52,998,1998,11,24,1998/11/24 05:00:00+00
549697,549698,1998328N28332,,,NICOLE,27.2,-31.1,60,997,1998,11,24,1998/11/24 05:00:00+00
549698,549699,1998328N28332,,,NICOLE,27.05,-31.56,60,996,1998,11,24,1998/11/24 05:00:00+00
549699,549700,1998328N28332,,,NICOLE,26.9,-32.0,60,995,1998,11,25,1998/11/25 05:00:00+00
549700,549701,1998328N28332,,,NICOLE,26.75,-32.46,60,994,1998,11,25,1998/11/25 05:00:00+00
549701,549702,1998328N28332,,,NICOLE,26.6,-32.9,60,994,1998,11,25,1998/11/25 05:00:00+00
549702,549703,1998328N28332,,,NICOLE,26.45,-33.3,57,994,1998,11,25,1998/11/25 05:00:00+00
549703,549704,1998328N28332,,,NICOLE,26.3,-33.7,55,994,1998,11,25,1998/11/25 05:00:00+00
549704,549705,1998328N28332,,,NICOLE,26.15,-34.15,52,994,1998,11,25,1998/11/25 05:00:00+00
549705,549706,1998328N28332,,,NICOLE,26.0,-34.6,50,994,1998,11,25,1998/11/25 05:00:00+00
549706,549707,1998328N28332,,,NICOLE,25.84,-34.99,45,996,1998,11,25,1998/11/25 05:00:00+00
549707,549708,1998328N28332,,,NICOLE,25.7,-35.4,40,998,1998,11,26,1998/11/26 05:00:00+00
549708,549709,1998328N28332,,,NICOLE,25.59,-35.89,37,999,1998,11,26,1998/11/26 05:00:00+00
549709,549710,1998328N28332,,,NICOLE,25.5,-36.4,35,1000,1998,11,26,1998/11/26 05:00:00+00
549710,549711,1998328N28332,,,NICOLE,25.39,-36.85,32,1003,1998,11,26,1998/11/26 05:00:00+00
549711,549712,1998328N28332,,,NICOLE,25.3,-37.3,30,1007,1998,11,26,1998/11/26 05:00:00+00
549712,549713,1998328N28332,,,NICOLE,25.23,-37.8,27,1008,1998,11,26,1998/11/26 05:00:00+00
549713,549714,1998328N28332,,,NICOLE,25.2,-38.3,25,1009,1998,11,26,1998/11/26 05:00:00+00
549714,549715,1998328N28332,,,NICOLE,25.18,-38.74,25,1009,1998,11,26,1998/11/26 05:00:00+00
549715,549716,1998328N28332,,,NICOLE,25.2,-39.2,25,1009,1998,11,27,1998/11/27 05:00:00+00
549716,549717,1998328N28332,,,NICOLE,25.24,-39.71,25,1009,1998,11,27,1998/11/27 05:00:00+00
549717,549718,1998328N28332,,,NICOLE,25.3,-40.3,25,1009,1998,11,27,1998/11/27 05:00:00+00
549718,549719,1998328N28332,,,NICOLE,25.34,-40.99,27,1009,1998,11,27,1998/11/27 05:00:00+00
549719,549720,1998328N28332,,,NICOLE,25.4,-41.7,30,1009,1998,11,27,1998/11/27 05:00:00+00
549720,549721,1998328N28332,,,NICOLE,25.49,-42.37,35,1007,1998,11,27,1998/11/27 05:00:00+00
549721,549722,1998328N28332,,,NICOLE,25.6,-43.0,40,1005,1998,11,27,1998/11/27 05:00:00+00
549722,549723,1998328N28332,,,NICOLE,25.68,-43.56,45,1003,1998,11,27,1998/11/27 05:00:00+00
549723,549724,1998328N28332,,,NICOLE,25.8,-44.1,50,1001,1998,11,28,1998/11/28 05:00:00+00
549724,549725,1998328N28332,,,NICOLE,26.01,-44.72,50,1000,1998,11,28,1998/11/28 05:00:00+00
549725,549726,1998328N28332,,,NICOLE,26.3,-45.3,50,1000,1998,11,28,1998/11/28 05:00:00+00
549726,549727,1998328N28332,,,NICOLE,26.67,-45.81,50,1000,1998,11,28,1998/11/28 05:00:00+00
549727,549728,1998328N28332,,,NICOLE,27.1,-46.2,50,1000,1998,11,28,1998/11/28 05:00:00+00
549728,549729,1998328N28332,,,NICOLE,27.55,-46.48,50,1000,1998,11,28,1998/11/28 05:00:00+00
549729,549730,1998328N28332,,,NICOLE,28.0,-46.6,50,1000,1998,11,28,1998/11/28 05:00:00+00
549730,549731,1998328N28332,,,NICOLE,28.38,-46.62,47,1000,1998,11,28,1998/11/28 05:00:00+00
549731,549732,1998328N28332,,,NICOLE,28.8,-46.5,45,1000,1998,11,29,1998/11/29 05:00:00+00
549732,549733,1998328N28332,,,NICOLE,29.38,-46.27,45,1000,1998,11,29,1998/11/29 05:00:00+00
549733,549734,1998328N28332,,,NICOLE,30.0,-45.9,45,1000,1998,11,29,1998/11/29 05:00:00+00
549734,549735,1998328N28332,,,NICOLE,30.53,-45.44,50,1000,1998,11,29,1998/11/29 05:00:00+00
549735,549736,1998328N28332,,,NICOLE,31.0,-44.9,55,1000,1998,11,29,1998/11/29 05:00:00+00
549736,549737,1998328N28332,,,NICOLE,31.41,-44.36,57,997,1998,11,29,1998/11/29 05:00:00+00
549737,549738,1998328N28332,,,NICOLE,31.8,-43.8,60,995,1998,11,29,1998/11/29 05:00:00+00
549738,549739,1998328N28332,,,NICOLE,32.22,-43.19,62,993,1998,11,29,1998/11/29 05:00:00+00
549739,549740,1998328N28332,,,NICOLE,32.6,-42.6,65,992,1998,11,30,1998/11/30 05:00:00+00
549740,549741,1998328N28332,,,NICOLE,32.86,-42.15,65,992,1998,11,30,1998/11/30 05:00:00+00
549741,549742,1998328N28332,,,NICOLE,33.1,-41.7,65,992,1998,11,30,1998/11/30 05:00:00+00
549742,549743,1998328N28332,,,NICOLE,33.45,-41.12,65,989,1998,11,30,1998/11/30 05:00:00+00
549743,549744,1998328N28332,,,NICOLE,33.8,-40.5,65,987,1998,11,30,1998/11/30 05:00:00+00
549744,549745,1998328N28332,,,NICOLE,34.04,-39.91,67,985,1998,11,30,1998/11/30 05:00:00+00
549745,549746,1998328N28332,,,NICOLE,34.3,-39.3,70,984,1998,11,30,1998/11/30 05:00:00+00
549746,549747,1998328N28332,,,NICOLE,34.59,-38.69,72,981,1998,11,30,1998/11/30 05:00:00+00
