Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
435393,435394,1983051S15214,SP,MM,NISHA:ORAMA,-15.0,-146.0,0,0,1983,2,20,1983/02/20 05:00:00+00
435394,435395,1983051S15214,SP,MM,NISHA:ORAMA,-15.0,-145.81,0,0,1983,2,20,1983/02/20 05:00:00+00
435395,435396,1983051S15214,SP,MM,NISHA:ORAMA,-15.0,-145.62,0,0,1983,2,20,1983/02/20 05:00:00+00
435396,435397,1983051S15214,SP,MM,NISHA:ORAMA,-15.0,-145.45,0,0,1983,2,20,1983/02/20 05:00:00+00
435397,435398,1983051S15214,SP,MM,NISHA:ORAMA,-14.27,-144.43,25,0,1983,2,20,1983/02/20 05:00:00+00
435398,435399,1983051S15214,SP,MM,NISHA:ORAMA,-13.94,-143.93,26,0,1983,2,20,1983/02/20 05:00:00+00
435399,435400,1983051S15214,SP,MM,NISHA:ORAMA,-13.79,-143.63,28,0,1983,2,20,1983/02/20 05:00:00+00
435400,435401,1983051S15214,SP,MM,NISHA:ORAMA,-13.78,-143.43,29,0,1983,2,20,1983/02/20 05:00:00+00
435401,435402,1983051S15214,SP,MM,NISHA:ORAMA,-13.9,-143.37,30,0,1983,2,21,1983/02/21 05:00:00+00
435402,435403,1983051S15214,SP,MM,NISHA:ORAMA,-13.98,-143.27,30,0,1983,2,21,1983/02/21 05:00:00+00
435403,435404,1983051S15214,SP,MM,NISHA:ORAMA,-14.05,-143.16,30,0,1983,2,21,1983/02/21 05:00:00+00
435404,435405,1983051S15214,SP,MM,NISHA:ORAMA,-14.12,-143.05,30,0,1983,2,21,1983/02/21 05:00:00+00
435405,435406,1983051S15214,SP,MM,NISHA:ORAMA,-14.17,-142.97,30,0,1983,2,21,1983/02/21 05:00:00+00
435406,435407,1983051S15214,SP,MM,NISHA:ORAMA,-14.17,-142.89,30,0,1983,2,21,1983/02/21 05:00:00+00
435407,435408,1983051S15214,SP,MM,NISHA:ORAMA,-14.16,-142.87,31,0,1983,2,21,1983/02/21 05:00:00+00
435408,435409,1983051S15214,SP,MM,NISHA:ORAMA,-14.21,-142.94,33,0,1983,2,21,1983/02/21 05:00:00+00
435409,435410,1983051S15214,SP,MM,NISHA:ORAMA,-14.27,-143.07,35,0,1983,2,22,1983/02/22 05:00:00+00
435410,435411,1983051S15214,SP,MM,NISHA:ORAMA,-14.32,-143.19,36,0,1983,2,22,1983/02/22 05:00:00+00
435411,435412,1983051S15214,SP,MM,NISHA:ORAMA,-14.37,-143.37,38,0,1983,2,22,1983/02/22 05:00:00+00
435412,435413,1983051S15214,SP,MM,NISHA:ORAMA,-14.45,-143.6,41,0,1983,2,22,1983/02/22 05:00:00+00
435413,435414,1983051S15214,SP,MM,NISHA:ORAMA,-14.53,-143.87,45,0,1983,2,22,1983/02/22 05:00:00+00
435414,435415,1983051S15214,SP,MM,NISHA:ORAMA,-14.57,-144.13,50,0,1983,2,22,1983/02/22 05:00:00+00
435415,435416,1983051S15214,SP,MM,NISHA:ORAMA,-14.62,-144.43,55,0,1983,2,22,1983/02/22 05:00:00+00
435416,435417,1983051S15214,SP,MM,NISHA:ORAMA,-14.7,-144.75,60,0,1983,2,22,1983/02/22 05:00:00+00
435417,435418,1983051S15214,SP,MM,NISHA:ORAMA,-14.77,-145.07,65,0,1983,2,23,1983/02/23 05:00:00+00
435418,435419,1983051S15214,SP,MM,NISHA:ORAMA,-14.76,-145.34,68,0,1983,2,23,1983/02/23 05:00:00+00
435419,435420,1983051S15214,SP,MM,NISHA:ORAMA,-14.77,-145.59,72,0,1983,2,23,1983/02/23 05:00:00+00
435420,435421,1983051S15214,SP,MM,NISHA:ORAMA,-14.85,-145.85,76,0,1983,2,23,1983/02/23 05:00:00+00
435421,435422,1983051S15214,SP,MM,NISHA:ORAMA,-14.97,-146.1,80,0,1983,2,23,1983/02/23 05:00:00+00
435422,435423,1983051S15214,SP,MM,NISHA:ORAMA,-15.09,-146.3,83,0,1983,2,23,1983/02/23 05:00:00+00
435423,435424,1983051S15214,SP,MM,NISHA:ORAMA,-15.23,-146.47,87,0,1983,2,23,1983/02/23 05:00:00+00
435424,435425,1983051S15214,SP,MM,NISHA:ORAMA,-15.36,-146.65,91,0,1983,2,23,1983/02/23 05:00:00+00
435425,435426,1983051S15214,SP,MM,NISHA:ORAMA,-15.5,-146.8,95,0,1983,2,24,1983/02/24 05:00:00+00
435426,435427,1983051S15214,SP,MM,NISHA:ORAMA,-15.64,-146.9,97,0,1983,2,24,1983/02/24 05:00:00+00
435427,435428,1983051S15214,SP,MM,NISHA:ORAMA,-15.78,-146.96,100,0,1983,2,24,1983/02/24 05:00:00+00
435428,435429,1983051S15214,SP,MM,NISHA:ORAMA,-15.92,-147.0,100,0,1983,2,24,1983/02/24 05:00:00+00
435429,435430,1983051S15214,SP,MM,NISHA:ORAMA,-16.07,-147.0,100,0,1983,2,24,1983/02/24 05:00:00+00
435430,435431,1983051S15214,SP,MM,NISHA:ORAMA,-16.22,-146.98,98,0,1983,2,24,1983/02/24 05:00:00+00
435431,435432,1983051S15214,SP,MM,NISHA:ORAMA,-16.38,-146.93,97,0,1983,2,24,1983/02/24 05:00:00+00
435432,435433,1983051S15214,SP,MM,NISHA:ORAMA,-16.54,-146.88,96,0,1983,2,24,1983/02/24 05:00:00+00
435433,435434,1983051S15214,SP,MM,NISHA:ORAMA,-16.7,-146.8,95,0,1983,2,25,1983/02/25 05:00:00+00
435434,435435,1983051S15214,SP,MM,NISHA:ORAMA,-16.85,-146.69,93,0,1983,2,25,1983/02/25 05:00:00+00
435435,435436,1983051S15214,SP,MM,NISHA:ORAMA,-17.0,-146.55,92,0,1983,2,25,1983/02/25 05:00:00+00
435436,435437,1983051S15214,SP,MM,NISHA:ORAMA,-17.15,-146.41,91,0,1983,2,25,1983/02/25 05:00:00+00
435437,435438,1983051S15214,SP,MM,NISHA:ORAMA,-17.3,-146.27,90,0,1983,2,25,1983/02/25 05:00:00+00
435438,435439,1983051S15214,SP,MM,NISHA:ORAMA,-17.44,-146.1,88,0,1983,2,25,1983/02/25 05:00:00+00
435439,435440,1983051S15214,SP,MM,NISHA:ORAMA,-17.61,-145.93,87,0,1983,2,25,1983/02/25 05:00:00+00
435440,435441,1983051S15214,SP,MM,NISHA:ORAMA,-17.83,-145.8,86,0,1983,2,25,1983/02/25 05:00:00+00
435441,435442,1983051S15214,SP,MM,NISHA:ORAMA,-18.1,-145.63,85,0,1983,2,26,1983/02/26 05:00:00+00
