Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
505267,505268,1993043S11193,SP,MM,NISHA,-10.9,-167.0,20,0,1993,2,11,1993/02/11 05:00:00+00
505268,505269,1993043S11193,SP,MM,NISHA,-11.28,-166.49,20,0,1993,2,11,1993/02/11 05:00:00+00
505269,505270,1993043S11193,SP,MM,NISHA,-11.7,-166.0,20,0,1993,2,11,1993/02/11 05:00:00+00
505270,505271,1993043S11193,SP,MM,NISHA,-12.21,-165.56,22,0,1993,2,11,1993/02/11 05:00:00+00
505271,505272,1993043S11193,SP,MM,NISHA,-12.77,-165.29,25,0,1993,2,12,1993/02/12 05:00:00+00
505272,505273,1993043S11193,SP,MM,NISHA,-13.37,-165.09,27,0,1993,2,12,1993/02/12 05:00:00+00
505273,505274,1993043S11193,SP,MM,NISHA,-14.02,-164.92,30,0,1993,2,12,1993/02/12 05:00:00+00
505274,505275,1993043S11193,SP,MM,NISHA,-14.67,-164.69,30,0,1993,2,12,1993/02/12 05:00:00+00
505275,505276,1993043S11193,SP,MM,NISHA,-15.33,-164.4,30,0,1993,2,12,1993/02/12 05:00:00+00
505276,505277,1993043S11193,SP,MM,NISHA,-15.99,-164.13,32,0,1993,2,12,1993/02/12 05:00:00+00
505277,505278,1993043S11193,SP,MM,NISHA,-16.6,-163.87,35,0,1993,2,12,1993/02/12 05:00:00+00
505278,505279,1993043S11193,SP,MM,NISHA,-17.12,-163.63,40,0,1993,2,12,1993/02/12 05:00:00+00
505279,505280,1993043S11193,SP,MM,NISHA,-17.57,-163.4,45,0,1993,2,13,1993/02/13 05:00:00+00
505280,505281,1993043S11193,SP,MM,NISHA,-18.01,-163.15,47,0,1993,2,13,1993/02/13 05:00:00+00
505281,505282,1993043S11193,SP,MM,NISHA,-18.4,-162.87,50,0,1993,2,13,1993/02/13 05:00:00+00
505282,505283,1993043S11193,SP,MM,NISHA,-18.72,-162.53,50,0,1993,2,13,1993/02/13 05:00:00+00
505283,505284,1993043S11193,SP,MM,NISHA,-19.0,-162.13,50,0,1993,2,13,1993/02/13 05:00:00+00
505284,505285,1993043S11193,SP,MM,NISHA,-19.25,-161.72,52,0,1993,2,13,1993/02/13 05:00:00+00
505285,505286,1993043S11193,SP,MM,NISHA,-19.5,-161.23,55,0,1993,2,13,1993/02/13 05:00:00+00
505286,505287,1993043S11193,SP,MM,NISHA,-19.81,-160.61,57,0,1993,2,13,1993/02/13 05:00:00+00
505287,505288,1993043S11193,SP,MM,NISHA,-20.13,-159.93,60,0,1993,2,14,1993/02/14 05:00:00+00
505288,505289,1993043S11193,SP,MM,NISHA,-20.43,-159.32,62,0,1993,2,14,1993/02/14 05:00:00+00
505289,505290,1993043S11193,SP,MM,NISHA,-20.77,-158.67,65,0,1993,2,14,1993/02/14 05:00:00+00
505290,505291,1993043S11193,SP,MM,NISHA,-21.16,-157.88,65,0,1993,2,14,1993/02/14 05:00:00+00
505291,505292,1993043S11193,SP,MM,NISHA,-21.6,-157.03,65,0,1993,2,14,1993/02/14 05:00:00+00
505292,505293,1993043S11193,SP,MM,NISHA,-22.04,-156.2,65,0,1993,2,14,1993/02/14 05:00:00+00
505293,505294,1993043S11193,SP,MM,NISHA,-22.5,-155.33,65,0,1993,2,14,1993/02/14 05:00:00+00
505294,505295,1993043S11193,SP,MM,NISHA,-22.99,-154.4,62,0,1993,2,14,1993/02/14 05:00:00+00
