Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
445073,445074,1984259N19245,EP,MM,NORBERT,18.5,-115.5,30,0,1984,9,14,1984/09/14 04:00:00+00
445074,445075,1984259N19245,EP,MM,NORBERT,18.28,-115.53,32,0,1984,9,14,1984/09/14 04:00:00+00
445075,445076,1984259N19245,EP,MM,NORBERT,18.1,-115.5,35,0,1984,9,15,1984/09/15 04:00:00+00
445076,445077,1984259N19245,EP,MM,NORBERT,17.98,-115.38,35,0,1984,9,15,1984/09/15 04:00:00+00
445077,445078,1984259N19245,EP,MM,NORBERT,17.9,-115.23,35,0,1984,9,15,1984/09/15 04:00:00+00
445078,445079,1984259N19245,EP,MM,NORBERT,17.84,-115.11,35,0,1984,9,15,1984/09/15 04:00:00+00
445079,445080,1984259N19245,EP,MM,NORBERT,17.8,-115.0,35,0,1984,9,15,1984/09/15 04:00:00+00
445080,445081,1984259N19245,EP,MM,NORBERT,17.75,-114.91,35,0,1984,9,15,1984/09/15 04:00:00+00
445081,445082,1984259N19245,EP,MM,NORBERT,17.69,-114.78,35,0,1984,9,15,1984/09/15 04:00:00+00
445082,445083,1984259N19245,EP,MM,NORBERT,17.6,-114.57,35,0,1984,9,15,1984/09/15 04:00:00+00
445083,445084,1984259N19245,EP,MM,NORBERT,17.5,-114.3,35,0,1984,9,16,1984/09/16 04:00:00+00
445084,445085,1984259N19245,EP,MM,NORBERT,17.4,-114.01,35,0,1984,9,16,1984/09/16 04:00:00+00
445085,445086,1984259N19245,EP,MM,NORBERT,17.31,-113.69,35,0,1984,9,16,1984/09/16 04:00:00+00
445086,445087,1984259N19245,EP,MM,NORBERT,17.25,-113.34,50,0,1984,9,16,1984/09/16 04:00:00+00
445087,445088,1984259N19245,EP,MM,NORBERT,17.2,-113.0,65,0,1984,9,16,1984/09/16 04:00:00+00
445088,445089,1984259N19245,EP,MM,NORBERT,17.14,-112.73,67,0,1984,9,16,1984/09/16 04:00:00+00
445089,445090,1984259N19245,EP,MM,NORBERT,17.1,-112.48,70,0,1984,9,16,1984/09/16 04:00:00+00
