Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
415108,415109,1979344S12170,SP,MM,OFA,-12.0,170.0,0,0,1979,12,9,1979/12/09 05:00:00+00
415109,415110,1979344S12170,SP,MM,OFA,-12.11,170.72,0,0,1979,12,9,1979/12/09 05:00:00+00
415110,415111,1979344S12170,SP,MM,OFA,-12.24,171.53,0,0,1979,12,9,1979/12/09 05:00:00+00
415111,415112,1979344S12170,SP,MM,OFA,-12.37,172.5,0,0,1979,12,9,1979/12/09 05:00:00+00
415112,415113,1979344S12170,SP,MM,OFA,-12.5,173.5,0,0,1979,12,10,1979/12/10 05:00:00+00
415113,415114,1979344S12170,SP,MM,OFA,-12.62,174.4,0,0,1979,12,10,1979/12/10 05:00:00+00
415114,415115,1979344S12170,SP,MM,OFA,-12.74,175.26,0,0,1979,12,10,1979/12/10 05:00:00+00
415115,415116,1979344S12170,SP,MM,OFA,-12.85,176.11,0,0,1979,12,10,1979/12/10 05:00:00+00
415116,415117,1979344S12170,SP,MM,OFA,-13.0,177.0,0,0,1979,12,10,1979/12/10 05:00:00+00
415117,415118,1979344S12170,SP,MM,OFA,-13.22,177.96,0,0,1979,12,10,1979/12/10 05:00:00+00
415118,415119,1979344S12170,SP,MM,OFA,-13.52,178.96,0,0,1979,12,10,1979/12/10 05:00:00+00
415119,415120,1979344S12170,SP,MM,OFA,-13.88,179.95,0,0,1979,12,10,1979/12/10 05:00:00+00
415120,415121,1979344S12170,SP,MM,OFA,-14.3,181.0,0,0,1979,12,11,1979/12/11 05:00:00+00
415121,415122,1979344S12170,SP,MM,OFA,-14.71,182.15,0,0,1979,12,11,1979/12/11 05:00:00+00
415122,415123,1979344S12170,SP,MM,OFA,-15.16,183.35,0,0,1979,12,11,1979/12/11 05:00:00+00
415123,415124,1979344S12170,SP,MM,OFA,-15.63,184.53,0,0,1979,12,11,1979/12/11 05:00:00+00
415124,415125,1979344S12170,SP,MM,OFA,-16.2,185.7,0,0,1979,12,11,1979/12/11 05:00:00+00
415125,415126,1979344S12170,SP,MM,OFA,-16.92,186.86,0,0,1979,12,11,1979/12/11 05:00:00+00
415126,415127,1979344S12170,SP,MM,OFA,-17.73,188.02,0,0,1979,12,11,1979/12/11 05:00:00+00
415127,415128,1979344S12170,SP,MM,OFA,-18.56,189.18,0,0,1979,12,11,1979/12/11 05:00:00+00
415128,415129,1979344S12170,SP,MM,OFA,-19.3,190.3,0,0,1979,12,12,1979/12/12 05:00:00+00
415129,415130,1979344S12170,SP,MM,OFA,-19.86,191.33,0,0,1979,12,12,1979/12/12 05:00:00+00
415130,415131,1979344S12170,SP,MM,OFA,-20.3,192.33,0,0,1979,12,12,1979/12/12 05:00:00+00
415131,415132,1979344S12170,SP,MM,OFA,-20.68,193.33,0,0,1979,12,12,1979/12/12 05:00:00+00
415132,415133,1979344S12170,SP,MM,OFA,-21.0,194.4,0,0,1979,12,12,1979/12/12 05:00:00+00
415133,415134,1979344S12170,SP,MM,OFA,-21.3,195.67,0,0,1979,12,12,1979/12/12 05:00:00+00
415134,415135,1979344S12170,SP,MM,OFA,-21.55,196.99,0,0,1979,12,12,1979/12/12 05:00:00+00
415135,415136,1979344S12170,SP,MM,OFA,-21.8,198.31,0,0,1979,12,12,1979/12/12 05:00:00+00
415136,415137,1979344S12170,SP,MM,OFA,-22.0,199.45,0,0,1979,12,13,1979/12/13 05:00:00+00
415137,415138,1979344S12170,SP,MM,OFA,-22.15,200.23,0,0,1979,12,13,1979/12/13 05:00:00+00
415138,415139,1979344S12170,SP,MM,OFA,-22.25,200.84,0,0,1979,12,13,1979/12/13 05:00:00+00
415139,415140,1979344S12170,SP,MM,OFA,-22.35,201.47,0,0,1979,12,13,1979/12/13 05:00:00+00
415140,415141,1979344S12170,SP,MM,OFA,-22.4,202.0,0,0,1979,12,13,1979/12/13 05:00:00+00
415141,415142,1979344S12170,SP,MM,OFA,-22.37,202.36,0,0,1979,12,13,1979/12/13 05:00:00+00
415142,415143,1979344S12170,SP,MM,OFA,-22.28,202.6,0,0,1979,12,13,1979/12/13 05:00:00+00
415143,415144,1979344S12170,SP,MM,OFA,-22.15,202.82,0,0,1979,12,13,1979/12/13 05:00:00+00
415144,415145,1979344S12170,SP,MM,OFA,-22.0,203.0,0,0,1979,12,14,1979/12/14 05:00:00+00
415145,415146,1979344S12170,SP,MM,OFA,-21.86,203.12,0,0,1979,12,14,1979/12/14 05:00:00+00
415146,415147,1979344S12170,SP,MM,OFA,-21.73,203.22,0,0,1979,12,14,1979/12/14 05:00:00+00
415147,415148,1979344S12170,SP,MM,OFA,-21.61,203.28,0,0,1979,12,14,1979/12/14 05:00:00+00
415148,415149,1979344S12170,SP,MM,OFA,-21.5,203.45,0,0,1979,12,14,1979/12/14 05:00:00+00
415149,415150,1979344S12170,SP,MM,OFA,-21.36,203.87,0,0,1979,12,14,1979/12/14 05:00:00+00
415150,415151,1979344S12170,SP,MM,OFA,-21.22,204.28,0,0,1979,12,14,1979/12/14 05:00:00+00
415151,415152,1979344S12170,SP,MM,OFA,-21.11,204.45,0,0,1979,12,14,1979/12/14 05:00:00+00
482048,482049,1990028S10183,SP,MM,OFA,-9.7,182.9,25,0,1990,1,28,1990/01/28 05:00:00+00
482049,482050,1990028S10183,SP,MM,OFA,-10.0,182.8,25,0,1990,1,28,1990/01/28 05:00:00+00
482050,482051,1990028S10183,SP,MM,OFA,-10.3,182.6,25,0,1990,1,28,1990/01/28 05:00:00+00
482051,482052,1990028S10183,SP,MM,OFA,-10.57,182.23,25,0,1990,1,28,1990/01/28 05:00:00+00
482052,482053,1990028S10183,SP,MM,OFA,-10.7,181.8,25,0,1990,1,28,1990/01/28 05:00:00+00
482053,482054,1990028S10183,SP,MM,OFA,-10.63,181.42,25,0,1990,1,28,1990/01/28 05:00:00+00
482054,482055,1990028S10183,SP,MM,OFA,-10.4,181.1,25,0,1990,1,28,1990/01/28 05:00:00+00
482055,482056,1990028S10183,SP,MM,OFA,-10.07,180.85,25,0,1990,1,28,1990/01/28 05:00:00+00
482056,482057,1990028S10183,SP,MM,OFA,-9.7,180.7,25,0,1990,1,29,1990/01/29 05:00:00+00
482057,482058,1990028S10183,SP,MM,OFA,-9.38,180.63,25,0,1990,1,29,1990/01/29 05:00:00+00
482058,482059,1990028S10183,SP,MM,OFA,-9.1,180.6,25,0,1990,1,29,1990/01/29 05:00:00+00
482059,482060,1990028S10183,SP,MM,OFA,-8.83,180.55,25,0,1990,1,29,1990/01/29 05:00:00+00
482060,482061,1990028S10183,SP,MM,OFA,-8.6,180.5,25,0,1990,1,29,1990/01/29 05:00:00+00
482061,482062,1990028S10183,SP,MM,OFA,-8.44,180.46,25,0,1990,1,29,1990/01/29 05:00:00+00
482062,482063,1990028S10183,SP,MM,OFA,-8.3,180.4,25,0,1990,1,29,1990/01/29 05:00:00+00
482063,482064,1990028S10183,SP,MM,OFA,-8.16,180.28,25,0,1990,1,29,1990/01/29 05:00:00+00
482064,482065,1990028S10183,SP,MM,OFA,-8.03,180.12,25,0,1990,1,30,1990/01/30 05:00:00+00
482065,482066,1990028S10183,SP,MM,OFA,-7.88,180.1,25,0,1990,1,30,1990/01/30 05:00:00+00
482066,482067,1990028S10183,SP,MM,OFA,-7.74,180.17,25,0,1990,1,30,1990/01/30 05:00:00+00
482067,482068,1990028S10183,SP,MM,OFA,-7.66,180.32,27,0,1990,1,30,1990/01/30 05:00:00+00
482068,482069,1990028S10183,SP,MM,OFA,-7.6,180.53,30,0,1990,1,30,1990/01/30 05:00:00+00
482069,482070,1990028S10183,SP,MM,OFA,-7.61,180.74,30,0,1990,1,30,1990/01/30 05:00:00+00
482070,482071,1990028S10183,SP,MM,OFA,-7.65,180.93,30,0,1990,1,30,1990/01/30 05:00:00+00
482071,482072,1990028S10183,SP,MM,OFA,-7.68,181.08,30,0,1990,1,30,1990/01/30 05:00:00+00
