Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
652575,652576,2015274N13201,EP,CP,OHO,12.8,-159.5,20,1005,2015,10,1,2015/10/01 04:00:00+00
652576,652577,2015274N13201,EP,CP,OHO,12.91,-159.35,22,1004,2015,10,1,2015/10/01 04:00:00+00
652577,652578,2015274N13201,EP,CP,OHO,13.0,-159.2,25,1004,2015,10,1,2015/10/01 04:00:00+00
652578,652579,2015274N13201,EP,CP,OHO,13.06,-159.04,25,1004,2015,10,1,2015/10/01 04:00:00+00
652579,652580,2015274N13201,EP,CP,OHO,13.1,-158.8,25,1004,2015,10,1,2015/10/01 04:00:00+00
652580,652581,2015274N13201,EP,CP,OHO,13.18,-158.41,25,1004,2015,10,1,2015/10/01 04:00:00+00
652581,652582,2015274N13201,EP,CP,OHO,13.2,-158.0,25,1004,2015,10,2,2015/10/02 04:00:00+00
652582,652583,2015274N13201,EP,CP,OHO,13.07,-157.68,25,1004,2015,10,2,2015/10/02 04:00:00+00
652583,652584,2015274N13201,EP,CP,OHO,12.9,-157.4,25,1004,2015,10,2,2015/10/02 04:00:00+00
652584,652585,2015274N13201,EP,CP,OHO,12.8,-157.15,25,1003,2015,10,2,2015/10/02 04:00:00+00
652585,652586,2015274N13201,EP,CP,OHO,12.7,-156.9,25,1003,2015,10,2,2015/10/02 04:00:00+00
652586,652587,2015274N13201,EP,CP,OHO,12.54,-156.6,25,1002,2015,10,2,2015/10/02 04:00:00+00
652587,652588,2015274N13201,EP,CP,OHO,12.4,-156.3,25,1002,2015,10,2,2015/10/02 04:00:00+00
652588,652589,2015274N13201,EP,CP,OHO,12.37,-156.03,27,1001,2015,10,2,2015/10/02 04:00:00+00
652589,652590,2015274N13201,EP,CP,OHO,12.4,-155.8,30,1001,2015,10,3,2015/10/03 04:00:00+00
652590,652591,2015274N13201,EP,CP,OHO,12.44,-155.58,30,1001,2015,10,3,2015/10/03 04:00:00+00
652591,652592,2015274N13201,EP,CP,OHO,12.5,-155.4,30,1001,2015,10,3,2015/10/03 04:00:00+00
652592,652593,2015274N13201,EP,CP,OHO,12.55,-155.28,32,1000,2015,10,3,2015/10/03 04:00:00+00
652593,652594,2015274N13201,EP,CP,OHO,12.6,-155.2,35,1000,2015,10,3,2015/10/03 04:00:00+00
652594,652595,2015274N13201,EP,CP,OHO,12.64,-155.12,35,1000,2015,10,3,2015/10/03 04:00:00+00
652595,652596,2015274N13201,EP,CP,OHO,12.7,-155.0,35,1000,2015,10,3,2015/10/03 04:00:00+00
652596,652597,2015274N13201,EP,CP,OHO,12.79,-154.73,35,1000,2015,10,3,2015/10/03 04:00:00+00
652597,652598,2015274N13201,EP,CP,OHO,12.9,-154.5,35,1000,2015,10,4,2015/10/04 04:00:00+00
652598,652599,2015274N13201,EP,CP,OHO,13.01,-154.5,35,1000,2015,10,4,2015/10/04 04:00:00+00
652599,652600,2015274N13201,EP,CP,OHO,13.1,-154.6,35,1000,2015,10,4,2015/10/04 04:00:00+00
