Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
233495,233496,1951255N08148,WP,MM,ORA,8.0,147.55,0,0,1951,9,11,1951/09/11 04:00:00+00
233496,233497,1951255N08148,WP,MM,ORA,8.23,147.17,0,0,1951,9,11,1951/09/11 04:00:00+00
233497,233498,1951255N08148,WP,MM,ORA,8.45,146.8,0,0,1951,9,12,1951/09/12 04:00:00+00
233498,233499,1951255N08148,WP,MM,ORA,8.64,146.45,0,0,1951,9,12,1951/09/12 04:00:00+00
233499,233500,1951255N08148,WP,MM,ORA,8.85,146.1,0,0,1951,9,12,1951/09/12 04:00:00+00
233500,233501,1951255N08148,WP,MM,ORA,9.11,145.74,0,0,1951,9,12,1951/09/12 04:00:00+00
233501,233502,1951255N08148,WP,MM,ORA,9.4,145.35,0,0,1951,9,12,1951/09/12 04:00:00+00
233502,233503,1951255N08148,WP,MM,ORA,9.7,144.89,0,0,1951,9,12,1951/09/12 04:00:00+00
233503,233504,1951255N08148,WP,MM,ORA,10.0,144.4,0,0,1951,9,12,1951/09/12 04:00:00+00
233504,233505,1951255N08148,WP,MM,ORA,10.3,143.95,0,0,1951,9,12,1951/09/12 04:00:00+00
233505,233506,1951255N08148,WP,MM,ORA,10.6,143.5,0,0,1951,9,13,1951/09/13 04:00:00+00
233506,233507,1951255N08148,WP,MM,ORA,10.91,143.02,0,0,1951,9,13,1951/09/13 04:00:00+00
233507,233508,1951255N08148,WP,MM,ORA,11.2,142.55,0,0,1951,9,13,1951/09/13 04:00:00+00
233508,233509,1951255N08148,WP,MM,ORA,11.46,142.14,0,0,1951,9,13,1951/09/13 04:00:00+00
233509,233510,1951255N08148,WP,MM,ORA,11.7,141.7,0,0,1951,9,13,1951/09/13 04:00:00+00
233510,233511,1951255N08148,WP,MM,ORA,11.95,141.18,0,0,1951,9,13,1951/09/13 04:00:00+00
233511,233512,1951255N08148,WP,MM,ORA,12.2,140.6,0,0,1951,9,13,1951/09/13 04:00:00+00
233512,233513,1951255N08148,WP,MM,ORA,12.44,140.01,0,0,1951,9,13,1951/09/13 04:00:00+00
233513,233514,1951255N08148,WP,MM,ORA,12.65,139.4,0,0,1951,9,14,1951/09/14 04:00:00+00
233514,233515,1951255N08148,WP,MM,ORA,12.86,138.8,0,0,1951,9,14,1951/09/14 04:00:00+00
233515,233516,1951255N08148,WP,MM,ORA,13.0,138.2,0,0,1951,9,14,1951/09/14 04:00:00+00
233516,233517,1951255N08148,WP,MM,ORA,13.03,137.61,0,0,1951,9,14,1951/09/14 04:00:00+00
233517,233518,1951255N08148,WP,MM,ORA,13.0,137.0,0,0,1951,9,14,1951/09/14 04:00:00+00
233518,233519,1951255N08148,WP,MM,ORA,13.0,136.35,0,0,1951,9,14,1951/09/14 04:00:00+00
233519,233520,1951255N08148,WP,MM,ORA,13.0,135.7,0,0,1951,9,14,1951/09/14 04:00:00+00
233520,233521,1951255N08148,WP,MM,ORA,12.99,135.08,0,0,1951,9,14,1951/09/14 04:00:00+00
233521,233522,1951255N08148,WP,MM,ORA,13.0,134.5,0,0,1951,9,15,1951/09/15 04:00:00+00
233522,233523,1951255N08148,WP,MM,ORA,13.03,133.98,0,0,1951,9,15,1951/09/15 04:00:00+00
233523,233524,1951255N08148,WP,MM,ORA,13.1,133.5,0,0,1951,9,15,1951/09/15 04:00:00+00
233524,233525,1951255N08148,WP,MM,ORA,13.21,133.01,0,0,1951,9,15,1951/09/15 04:00:00+00
