Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
228510,228511,1950269N05153,WP,MM,OSSIA,5.4,153.4,0,0,1950,9,25,1950/09/25 04:00:00+00
228511,228512,1950269N05153,WP,MM,OSSIA,5.95,152.57,0,0,1950,9,25,1950/09/25 04:00:00+00
228512,228513,1950269N05153,WP,MM,OSSIA,6.5,151.8,0,0,1950,9,26,1950/09/26 04:00:00+00
228513,228514,1950269N05153,WP,MM,OSSIA,7.05,151.1,0,0,1950,9,26,1950/09/26 04:00:00+00
228514,228515,1950269N05153,WP,MM,OSSIA,7.6,150.4,0,0,1950,9,26,1950/09/26 04:00:00+00
228515,228516,1950269N05153,WP,MM,OSSIA,8.16,149.61,0,0,1950,9,26,1950/09/26 04:00:00+00
228516,228517,1950269N05153,WP,MM,OSSIA,8.7,148.8,0,0,1950,9,26,1950/09/26 04:00:00+00
228517,228518,1950269N05153,WP,MM,OSSIA,9.22,148.03,0,0,1950,9,26,1950/09/26 04:00:00+00
228518,228519,1950269N05153,WP,MM,OSSIA,9.7,147.3,0,0,1950,9,26,1950/09/26 04:00:00+00
228519,228520,1950269N05153,WP,MM,OSSIA,10.12,146.64,0,0,1950,9,26,1950/09/26 04:00:00+00
228520,228521,1950269N05153,WP,MM,OSSIA,10.5,146.0,0,0,1950,9,27,1950/09/27 04:00:00+00
228521,228522,1950269N05153,WP,MM,OSSIA,10.88,145.28,0,0,1950,9,27,1950/09/27 04:00:00+00
228522,228523,1950269N05153,WP,MM,OSSIA,11.2,144.6,0,0,1950,9,27,1950/09/27 04:00:00+00
228523,228524,1950269N05153,WP,MM,OSSIA,11.43,144.06,0,0,1950,9,27,1950/09/27 04:00:00+00
228524,228525,1950269N05153,WP,MM,OSSIA,11.6,143.6,0,0,1950,9,27,1950/09/27 04:00:00+00
228525,228526,1950269N05153,WP,MM,OSSIA,11.76,143.15,0,0,1950,9,27,1950/09/27 04:00:00+00
228526,228527,1950269N05153,WP,MM,OSSIA,11.9,142.7,0,0,1950,9,27,1950/09/27 04:00:00+00
228527,228528,1950269N05153,WP,MM,OSSIA,12.0,142.22,0,0,1950,9,27,1950/09/27 04:00:00+00
228528,228529,1950269N05153,WP,MM,OSSIA,12.1,141.7,0,0,1950,9,28,1950/09/28 04:00:00+00
228529,228530,1950269N05153,WP,MM,OSSIA,12.24,141.16,0,0,1950,9,28,1950/09/28 04:00:00+00
228530,228531,1950269N05153,WP,MM,OSSIA,12.4,140.6,0,0,1950,9,28,1950/09/28 04:00:00+00
228531,228532,1950269N05153,WP,MM,OSSIA,12.56,140.0,0,0,1950,9,28,1950/09/28 04:00:00+00
228532,228533,1950269N05153,WP,MM,OSSIA,12.7,139.4,0,0,1950,9,28,1950/09/28 04:00:00+00
228533,228534,1950269N05153,WP,MM,OSSIA,12.81,138.86,0,0,1950,9,28,1950/09/28 04:00:00+00
228534,228535,1950269N05153,WP,MM,OSSIA,12.9,138.3,0,0,1950,9,28,1950/09/28 04:00:00+00
228535,228536,1950269N05153,WP,MM,OSSIA,12.98,137.67,0,0,1950,9,28,1950/09/28 04:00:00+00
228536,228537,1950269N05153,WP,MM,OSSIA,13.1,137.0,0,0,1950,9,29,1950/09/29 04:00:00+00
228537,228538,1950269N05153,WP,MM,OSSIA,13.3,136.31,0,0,1950,9,29,1950/09/29 04:00:00+00
228538,228539,1950269N05153,WP,MM,OSSIA,13.5,135.6,0,0,1950,9,29,1950/09/29 04:00:00+00
228539,228540,1950269N05153,WP,MM,OSSIA,13.61,134.86,0,0,1950,9,29,1950/09/29 04:00:00+00
228540,228541,1950269N05153,WP,MM,OSSIA,13.7,134.1,0,0,1950,9,29,1950/09/29 04:00:00+00
228541,228542,1950269N05153,WP,MM,OSSIA,13.79,133.34,0,0,1950,9,29,1950/09/29 04:00:00+00
228542,228543,1950269N05153,WP,MM,OSSIA,13.9,132.6,0,0,1950,9,29,1950/09/29 04:00:00+00
228543,228544,1950269N05153,WP,MM,OSSIA,14.05,131.94,0,0,1950,9,29,1950/09/29 04:00:00+00
228544,228545,1950269N05153,WP,MM,OSSIA,14.2,131.3,0,0,1950,9,30,1950/09/30 04:00:00+00
228545,228546,1950269N05153,WP,MM,OSSIA,14.31,130.65,0,0,1950,9,30,1950/09/30 04:00:00+00
228546,228547,1950269N05153,WP,MM,OSSIA,14.4,130.0,0,0,1950,9,30,1950/09/30 04:00:00+00
228547,228548,1950269N05153,WP,MM,OSSIA,14.5,129.35,0,0,1950,9,30,1950/09/30 04:00:00+00
