Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
546733,546734,1998213N14128,WP,MM,OTTO,14.1,128.0,20,0,1998,8,1,1998/08/01 04:00:00+00
546734,546735,1998213N14128,WP,MM,OTTO,14.19,127.88,20,0,1998,8,1,1998/08/01 04:00:00+00
546735,546736,1998213N14128,WP,MM,OTTO,14.5,127.58,20,0,1998,8,1,1998/08/01 04:00:00+00
546736,546737,1998213N14128,WP,MM,OTTO,14.62,127.31,20,0,1998,8,1,1998/08/01 04:00:00+00
546737,546738,1998213N14128,WP,MM,OTTO,14.72,127.04,20,0,1998,8,1,1998/08/01 04:00:00+00
546738,546739,1998213N14128,WP,MM,OTTO,14.78,126.82,25,0,1998,8,1,1998/08/01 04:00:00+00
546739,546740,1998213N14128,WP,MM,OTTO,14.83,126.58,30,0,1998,8,2,1998/08/02 04:00:00+00
546740,546741,1998213N14128,WP,MM,OTTO,14.87,126.24,30,0,1998,8,2,1998/08/02 04:00:00+00
546741,546742,1998213N14128,WP,MM,OTTO,14.95,125.87,30,0,1998,8,2,1998/08/02 04:00:00+00
546742,546743,1998213N14128,WP,MM,OTTO,15.09,125.55,32,0,1998,8,2,1998/08/02 04:00:00+00
546743,546744,1998213N14128,WP,MM,OTTO,15.32,125.28,35,0,1998,8,2,1998/08/02 04:00:00+00
546744,546745,1998213N14128,WP,MM,OTTO,15.64,125.04,35,0,1998,8,2,1998/08/02 04:00:00+00
546745,546746,1998213N14128,WP,MM,OTTO,16.07,124.85,35,0,1998,8,2,1998/08/02 04:00:00+00
546746,546747,1998213N14128,WP,MM,OTTO,16.64,124.7,40,0,1998,8,2,1998/08/02 04:00:00+00
546747,546748,1998213N14128,WP,MM,OTTO,17.3,124.53,45,0,1998,8,3,1998/08/03 04:00:00+00
546748,546749,1998213N14128,WP,MM,OTTO,18.0,124.27,50,0,1998,8,3,1998/08/03 04:00:00+00
546749,546750,1998213N14128,WP,MM,OTTO,18.73,123.95,55,0,1998,8,3,1998/08/03 04:00:00+00
546750,546751,1998213N14128,WP,MM,OTTO,19.44,123.61,60,0,1998,8,3,1998/08/03 04:00:00+00
546751,546752,1998213N14128,WP,MM,OTTO,20.12,123.25,65,0,1998,8,3,1998/08/03 04:00:00+00
546752,546753,1998213N14128,WP,MM,OTTO,20.77,122.87,72,0,1998,8,3,1998/08/03 04:00:00+00
546753,546754,1998213N14128,WP,MM,OTTO,21.32,122.5,80,0,1998,8,3,1998/08/03 04:00:00+00
546754,546755,1998213N14128,WP,MM,OTTO,21.75,122.21,90,0,1998,8,3,1998/08/03 04:00:00+00
546755,546756,1998213N14128,WP,MM,OTTO,22.18,121.92,100,0,1998,8,4,1998/08/04 04:00:00+00
546756,546757,1998213N14128,WP,MM,OTTO,22.76,121.57,85,0,1998,8,4,1998/08/04 04:00:00+00
546757,546758,1998213N14128,WP,MM,OTTO,23.4,121.2,70,0,1998,8,4,1998/08/04 04:00:00+00
546758,546759,1998213N14128,WP,MM,OTTO,24.11,120.67,65,0,1998,8,4,1998/08/04 04:00:00+00
546759,546760,1998213N14128,WP,MM,OTTO,24.6,120.22,60,0,1998,8,4,1998/08/04 04:00:00+00
546760,546761,1998213N14128,WP,MM,OTTO,24.97,119.9,62,0,1998,8,4,1998/08/04 04:00:00+00
546761,546762,1998213N14128,WP,MM,OTTO,25.29,119.58,65,0,1998,8,4,1998/08/04 04:00:00+00
546762,546763,1998213N14128,WP,MM,OTTO,25.6,119.11,57,0,1998,8,4,1998/08/04 04:00:00+00
546763,546764,1998213N14128,WP,MM,OTTO,25.88,118.64,50,0,1998,8,5,1998/08/05 04:00:00+00
546764,546765,1998213N14128,WP,MM,OTTO,26.09,118.41,40,0,1998,8,5,1998/08/05 04:00:00+00
546765,546766,1998213N14128,WP,MM,OTTO,26.26,118.3,30,0,1998,8,5,1998/08/05 04:00:00+00
546766,546767,1998213N14128,WP,MM,OTTO,26.26,118.32,0,0,1998,8,5,1998/08/05 04:00:00+00
587601,587602,2004331N28320,,,OTTO,28.0,-40.0,30,1009,2004,11,26,2004/11/26 05:00:00+00
587602,587603,2004331N28320,,,OTTO,27.69,-40.5,32,1007,2004,11,26,2004/11/26 05:00:00+00
587603,587604,2004331N28320,,,OTTO,27.3,-41.0,35,1006,2004,11,26,2004/11/26 05:00:00+00
587604,587605,2004331N28320,,,OTTO,26.82,-41.48,35,1004,2004,11,26,2004/11/26 05:00:00+00
587605,587606,2004331N28320,,,OTTO,26.5,-41.9,35,1002,2004,11,26,2004/11/26 05:00:00+00
587606,587607,2004331N28320,,,OTTO,26.59,-42.21,35,1001,2004,11,26,2004/11/26 05:00:00+00
587607,587608,2004331N28320,,,OTTO,26.8,-42.5,35,1000,2004,11,26,2004/11/26 05:00:00+00
587608,587609,2004331N28320,,,OTTO,26.83,-42.85,35,1000,2004,11,26,2004/11/26 05:00:00+00
587609,587610,2004331N28320,,,OTTO,26.8,-43.2,35,1000,2004,11,27,2004/11/27 05:00:00+00
587610,587611,2004331N28320,,,OTTO,26.77,-43.51,35,1000,2004,11,27,2004/11/27 05:00:00+00
587611,587612,2004331N28320,,,OTTO,26.7,-43.8,35,1000,2004,11,27,2004/11/27 05:00:00+00
587612,587613,2004331N28320,,,OTTO,26.56,-44.09,35,1000,2004,11,27,2004/11/27 05:00:00+00
587613,587614,2004331N28320,,,OTTO,26.4,-44.3,35,1000,2004,11,27,2004/11/27 05:00:00+00
587614,587615,2004331N28320,,,OTTO,26.27,-44.41,35,1000,2004,11,27,2004/11/27 05:00:00+00
587615,587616,2004331N28320,,,OTTO,26.2,-44.4,35,1000,2004,11,27,2004/11/27 05:00:00+00
587616,587617,2004331N28320,,,OTTO,26.15,-44.27,35,1000,2004,11,27,2004/11/27 05:00:00+00
587617,587618,2004331N28320,,,OTTO,26.3,-44.1,35,1000,2004,11,28,2004/11/28 05:00:00+00
587618,587619,2004331N28320,,,OTTO,26.8,-43.97,35,1000,2004,11,28,2004/11/28 05:00:00+00
587619,587620,2004331N28320,,,OTTO,27.4,-43.9,35,1000,2004,11,28,2004/11/28 05:00:00+00
587620,587621,2004331N28320,,,OTTO,27.84,-43.85,35,1000,2004,11,28,2004/11/28 05:00:00+00
587621,587622,2004331N28320,,,OTTO,28.2,-44.0,35,1000,2004,11,28,2004/11/28 05:00:00+00
587622,587623,2004331N28320,,,OTTO,28.5,-44.45,35,999,2004,11,28,2004/11/28 05:00:00+00
587623,587624,2004331N28320,,,OTTO,28.7,-45.1,35,999,2004,11,28,2004/11/28 05:00:00+00
587624,587625,2004331N28320,,,OTTO,28.77,-45.79,35,998,2004,11,28,2004/11/28 05:00:00+00
587625,587626,2004331N28320,,,OTTO,28.8,-46.5,35,998,2004,11,29,2004/11/29 05:00:00+00
587626,587627,2004331N28320,,,OTTO,28.86,-47.25,37,998,2004,11,29,2004/11/29 05:00:00+00
