Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
455534,455535,1986018S14108,SI,WA,PANCHO,-14.4,107.7,0,0,1986,1,18,1986/01/18 05:00:00+00
455535,455536,1986018S14108,SI,WA,PANCHO,-14.14,108.04,0,0,1986,1,18,1986/01/18 05:00:00+00
455536,455537,1986018S14108,SI,WA,PANCHO,-13.94,108.36,0,0,1986,1,18,1986/01/18 05:00:00+00
455537,455538,1986018S14108,SI,WA,PANCHO,-13.84,108.63,0,0,1986,1,18,1986/01/18 05:00:00+00
455538,455539,1986018S14108,SI,WA,PANCHO,-13.8,108.9,0,0,1986,1,18,1986/01/18 05:00:00+00
455539,455540,1986018S14108,SI,WA,PANCHO,-13.74,109.2,0,0,1986,1,18,1986/01/18 05:00:00+00
455540,455541,1986018S14108,SI,WA,PANCHO,-13.73,109.54,0,0,1986,1,18,1986/01/18 05:00:00+00
455541,455542,1986018S14108,SI,WA,PANCHO,-13.8,109.96,0,0,1986,1,18,1986/01/18 05:00:00+00
455542,455543,1986018S14108,SI,WA,PANCHO,-13.9,110.4,0,0,1986,1,19,1986/01/19 05:00:00+00
455543,455544,1986018S14108,SI,WA,PANCHO,-13.96,110.79,0,0,1986,1,19,1986/01/19 05:00:00+00
455544,455545,1986018S14108,SI,WA,PANCHO,-14.01,111.16,0,0,1986,1,19,1986/01/19 05:00:00+00
455545,455546,1986018S14108,SI,WA,PANCHO,-14.07,111.51,0,0,1986,1,19,1986/01/19 05:00:00+00
455546,455547,1986018S14108,SI,WA,PANCHO,-14.1,111.9,0,0,1986,1,19,1986/01/19 05:00:00+00
455547,455548,1986018S14108,SI,WA,PANCHO,-14.05,112.44,0,0,1986,1,19,1986/01/19 05:00:00+00
455548,455549,1986018S14108,SI,WA,PANCHO,-13.94,113.05,0,0,1986,1,19,1986/01/19 05:00:00+00
455549,455550,1986018S14108,SI,WA,PANCHO,-13.77,113.69,0,0,1986,1,19,1986/01/19 05:00:00+00
455550,455551,1986018S14108,SI,WA,PANCHO,-13.7,114.2,0,0,1986,1,20,1986/01/20 05:00:00+00
455551,455552,1986018S14108,SI,WA,PANCHO,-13.98,114.47,0,0,1986,1,20,1986/01/20 05:00:00+00
455552,455553,1986018S14108,SI,WA,PANCHO,-14.35,114.55,0,0,1986,1,20,1986/01/20 05:00:00+00
455553,455554,1986018S14108,SI,WA,PANCHO,-14.63,114.48,0,0,1986,1,20,1986/01/20 05:00:00+00
455554,455555,1986018S14108,SI,WA,PANCHO,-14.78,114.32,25,0,1986,1,20,1986/01/20 05:00:00+00
455555,455556,1986018S14108,SI,WA,PANCHO,-14.8,114.16,30,0,1986,1,20,1986/01/20 05:00:00+00
455556,455557,1986018S14108,SI,WA,PANCHO,-14.7,114.02,35,0,1986,1,20,1986/01/20 05:00:00+00
455557,455558,1986018S14108,SI,WA,PANCHO,-14.49,113.98,35,0,1986,1,20,1986/01/20 05:00:00+00
455558,455559,1986018S14108,SI,WA,PANCHO,-14.4,113.92,35,0,1986,1,21,1986/01/21 05:00:00+00
455559,455560,1986018S14108,SI,WA,PANCHO,-14.56,113.83,35,0,1986,1,21,1986/01/21 05:00:00+00
455560,455561,1986018S14108,SI,WA,PANCHO,-14.98,113.59,35,0,1986,1,21,1986/01/21 05:00:00+00
455561,455562,1986018S14108,SI,WA,PANCHO,-15.66,113.01,32,0,1986,1,21,1986/01/21 05:00:00+00
455562,455563,1986018S14108,SI,WA,PANCHO,-16.47,112.3,30,0,1986,1,21,1986/01/21 05:00:00+00
455563,455564,1986018S14108,SI,WA,PANCHO,-17.17,111.72,30,0,1986,1,21,1986/01/21 05:00:00+00
455564,455565,1986018S14108,SI,WA,PANCHO,-17.75,111.3,30,0,1986,1,21,1986/01/21 05:00:00+00
455565,455566,1986018S14108,SI,WA,PANCHO,-18.3,110.8,27,0,1986,1,21,1986/01/21 05:00:00+00
607579,607580,2008083S12102,SI,WA,PANCHO,-12.0,102.0,0,0,2008,3,23,2008/03/23 04:00:00+00
607580,607581,2008083S12102,SI,WA,PANCHO,-12.07,102.09,0,0,2008,3,23,2008/03/23 04:00:00+00
607581,607582,2008083S12102,SI,WA,PANCHO,-12.15,102.19,0,0,2008,3,23,2008/03/23 04:00:00+00
607582,607583,2008083S12102,SI,WA,PANCHO,-12.23,102.29,0,0,2008,3,23,2008/03/23 04:00:00+00
607583,607584,2008083S12102,SI,WA,PANCHO,-12.23,102.31,25,1004,2008,3,23,2008/03/23 04:00:00+00
607584,607585,2008083S12102,SI,WA,PANCHO,-12.29,102.38,27,1002,2008,3,23,2008/03/23 04:00:00+00
607585,607586,2008083S12102,SI,WA,PANCHO,-12.39,102.5,30,1000,2008,3,24,2008/03/24 04:00:00+00
