Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
219556,219557,1948301N16148,WP,MM,PAT,16.0,147.5,40,0,1948,10,27,1948/10/27 04:00:00+00
219557,219558,1948301N16148,WP,MM,PAT,16.01,146.78,40,0,1948,10,27,1948/10/27 04:00:00+00
219558,219559,1948301N16148,WP,MM,PAT,16.1,146.1,40,0,1948,10,27,1948/10/27 04:00:00+00
219559,219560,1948301N16148,WP,MM,PAT,16.32,145.49,40,0,1948,10,27,1948/10/27 04:00:00+00
219560,219561,1948301N16148,WP,MM,PAT,16.58,144.9,40,0,1948,10,27,1948/10/27 04:00:00+00
219561,219562,1948301N16148,WP,MM,PAT,16.8,144.3,40,0,1948,10,27,1948/10/27 04:00:00+00
219562,219563,1948301N16148,WP,MM,PAT,17.0,143.7,40,0,1948,10,28,1948/10/28 04:00:00+00
219563,219564,1948301N16148,WP,MM,PAT,17.14,143.13,42,0,1948,10,28,1948/10/28 04:00:00+00
219564,219565,1948301N16148,WP,MM,PAT,17.38,142.56,45,0,1948,10,28,1948/10/28 04:00:00+00
219565,219566,1948301N16148,WP,MM,PAT,17.87,141.91,47,0,1948,10,28,1948/10/28 04:00:00+00
219566,219567,1948301N16148,WP,MM,PAT,18.5,141.3,50,0,1948,10,28,1948/10/28 04:00:00+00
219567,219568,1948301N16148,WP,MM,PAT,19.13,140.81,50,0,1948,10,28,1948/10/28 04:00:00+00
219568,219569,1948301N16148,WP,MM,PAT,19.81,140.4,50,0,1948,10,28,1948/10/28 04:00:00+00
219569,219570,1948301N16148,WP,MM,PAT,20.55,140.02,50,0,1948,10,28,1948/10/28 04:00:00+00
219570,219571,1948301N16148,WP,MM,PAT,21.2,139.7,50,0,1948,10,29,1948/10/29 04:00:00+00
219571,219572,1948301N16148,WP,MM,PAT,21.56,139.46,50,0,1948,10,29,1948/10/29 04:00:00+00
219572,219573,1948301N16148,WP,MM,PAT,21.86,139.25,50,0,1948,10,29,1948/10/29 04:00:00+00
219573,219574,1948301N16148,WP,MM,PAT,22.31,138.96,55,0,1948,10,29,1948/10/29 04:00:00+00
219574,219575,1948301N16148,WP,MM,PAT,22.8,138.7,60,0,1948,10,29,1948/10/29 04:00:00+00
219575,219576,1948301N16148,WP,MM,PAT,23.22,138.5,60,0,1948,10,29,1948/10/29 04:00:00+00
219576,219577,1948301N16148,WP,MM,PAT,23.66,138.38,60,0,1948,10,29,1948/10/29 04:00:00+00
219577,219578,1948301N16148,WP,MM,PAT,24.08,138.32,57,0,1948,10,29,1948/10/29 04:00:00+00
219578,219579,1948301N16148,WP,MM,PAT,24.7,138.4,55,0,1948,10,30,1948/10/30 04:00:00+00
219579,219580,1948301N16148,WP,MM,PAT,25.74,138.61,52,0,1948,10,30,1948/10/30 04:00:00+00
219580,219581,1948301N16148,WP,MM,PAT,26.96,139.05,50,0,1948,10,30,1948/10/30 04:00:00+00
219581,219582,1948301N16148,WP,MM,PAT,28.12,139.75,50,0,1948,10,30,1948/10/30 04:00:00+00
219582,219583,1948301N16148,WP,MM,PAT,29.2,140.6,50,0,1948,10,30,1948/10/30 04:00:00+00
219583,219584,1948301N16148,WP,MM,PAT,30.12,141.43,50,0,1948,10,30,1948/10/30 04:00:00+00
219584,219585,1948301N16148,WP,MM,PAT,30.92,142.31,50,0,1948,10,30,1948/10/30 04:00:00+00
219585,219586,1948301N16148,WP,MM,PAT,31.62,143.18,50,0,1948,10,30,1948/10/30 04:00:00+00
219586,219587,1948301N16148,WP,MM,PAT,32.4,144.3,50,0,1948,10,31,1948/10/31 04:00:00+00
219587,219588,1948301N16148,WP,MM,PAT,33.59,146.25,50,0,1948,10,31,1948/10/31 04:00:00+00
219588,219589,1948301N16148,WP,MM,PAT,35.0,148.5,50,0,1948,10,31,1948/10/31 04:00:00+00
219589,219590,1948301N16148,WP,MM,PAT,36.46,150.49,47,0,1948,10,31,1948/10/31 04:00:00+00
219590,219591,1948301N16148,WP,MM,PAT,38.0,152.5,45,0,1948,10,31,1948/10/31 04:00:00+00
219591,219592,1948301N16148,WP,MM,PAT,39.52,154.67,42,0,1948,10,31,1948/10/31 04:00:00+00
233611,233612,1951263N08137,WP,MM,PAT,8.0,137.0,0,0,1951,9,20,1951/09/20 04:00:00+00
233612,233613,1951263N08137,WP,MM,PAT,8.04,136.82,0,0,1951,9,20,1951/09/20 04:00:00+00
233613,233614,1951263N08137,WP,MM,PAT,8.1,136.65,0,0,1951,9,20,1951/09/20 04:00:00+00
233614,233615,1951263N08137,WP,MM,PAT,8.2,136.49,0,0,1951,9,20,1951/09/20 04:00:00+00
233615,233616,1951263N08137,WP,MM,PAT,8.3,136.3,0,0,1951,9,20,1951/09/20 04:00:00+00
233616,233617,1951263N08137,WP,MM,PAT,8.38,136.06,0,0,1951,9,20,1951/09/20 04:00:00+00
233617,233618,1951263N08137,WP,MM,PAT,8.45,135.8,0,0,1951,9,20,1951/09/20 04:00:00+00
233618,233619,1951263N08137,WP,MM,PAT,8.52,135.55,0,0,1951,9,20,1951/09/20 04:00:00+00
233619,233620,1951263N08137,WP,MM,PAT,8.65,135.3,0,0,1951,9,21,1951/09/21 04:00:00+00
233620,233621,1951263N08137,WP,MM,PAT,8.87,135.08,0,0,1951,9,21,1951/09/21 04:00:00+00
233621,233622,1951263N08137,WP,MM,PAT,9.15,134.85,0,0,1951,9,21,1951/09/21 04:00:00+00
233622,233623,1951263N08137,WP,MM,PAT,9.43,134.57,0,0,1951,9,21,1951/09/21 04:00:00+00
233623,233624,1951263N08137,WP,MM,PAT,9.75,134.25,0,0,1951,9,21,1951/09/21 04:00:00+00
233624,233625,1951263N08137,WP,MM,PAT,10.11,133.88,0,0,1951,9,21,1951/09/21 04:00:00+00
233625,233626,1951263N08137,WP,MM,PAT,10.5,133.5,0,0,1951,9,21,1951/09/21 04:00:00+00
233626,233627,1951263N08137,WP,MM,PAT,10.92,133.14,0,0,1951,9,21,1951/09/21 04:00:00+00
