Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
224152,224153,1949293N12142,WP,MM,PATRICIA,11.6,141.5,0,0,1949,10,20,1949/10/20 04:00:00+00
224153,224154,1949293N12142,WP,MM,PATRICIA,11.69,141.2,0,0,1949,10,20,1949/10/20 04:00:00+00
224154,224155,1949293N12142,WP,MM,PATRICIA,11.8,140.9,0,0,1949,10,20,1949/10/20 04:00:00+00
224155,224156,1949293N12142,WP,MM,PATRICIA,11.94,140.6,0,0,1949,10,20,1949/10/20 04:00:00+00
224156,224157,1949293N12142,WP,MM,PATRICIA,12.1,140.3,0,0,1949,10,20,1949/10/20 04:00:00+00
224157,224158,1949293N12142,WP,MM,PATRICIA,12.24,140.0,0,0,1949,10,20,1949/10/20 04:00:00+00
224158,224159,1949293N12142,WP,MM,PATRICIA,12.4,139.7,0,0,1949,10,20,1949/10/20 04:00:00+00
224159,224160,1949293N12142,WP,MM,PATRICIA,12.59,139.41,0,0,1949,10,20,1949/10/20 04:00:00+00
224160,224161,1949293N12142,WP,MM,PATRICIA,12.8,139.1,0,0,1949,10,21,1949/10/21 04:00:00+00
224161,224162,1949293N12142,WP,MM,PATRICIA,13.0,138.75,0,0,1949,10,21,1949/10/21 04:00:00+00
224162,224163,1949293N12142,WP,MM,PATRICIA,13.2,138.4,0,0,1949,10,21,1949/10/21 04:00:00+00
224163,224164,1949293N12142,WP,MM,PATRICIA,13.4,138.09,0,0,1949,10,21,1949/10/21 04:00:00+00
224164,224165,1949293N12142,WP,MM,PATRICIA,13.6,137.8,0,0,1949,10,21,1949/10/21 04:00:00+00
224165,224166,1949293N12142,WP,MM,PATRICIA,13.8,137.5,0,0,1949,10,21,1949/10/21 04:00:00+00
224166,224167,1949293N12142,WP,MM,PATRICIA,14.0,137.2,0,0,1949,10,21,1949/10/21 04:00:00+00
224167,224168,1949293N12142,WP,MM,PATRICIA,14.21,136.89,0,0,1949,10,21,1949/10/21 04:00:00+00
224168,224169,1949293N12142,WP,MM,PATRICIA,14.4,136.6,0,0,1949,10,22,1949/10/22 04:00:00+00
224169,224170,1949293N12142,WP,MM,PATRICIA,14.56,136.35,0,0,1949,10,22,1949/10/22 04:00:00+00
224170,224171,1949293N12142,WP,MM,PATRICIA,14.7,136.1,0,0,1949,10,22,1949/10/22 04:00:00+00
224171,224172,1949293N12142,WP,MM,PATRICIA,14.85,135.81,0,0,1949,10,22,1949/10/22 04:00:00+00
224172,224173,1949293N12142,WP,MM,PATRICIA,15.0,135.5,0,0,1949,10,22,1949/10/22 04:00:00+00
224173,224174,1949293N12142,WP,MM,PATRICIA,15.15,135.2,0,0,1949,10,22,1949/10/22 04:00:00+00
224174,224175,1949293N12142,WP,MM,PATRICIA,15.3,134.9,0,0,1949,10,22,1949/10/22 04:00:00+00
224175,224176,1949293N12142,WP,MM,PATRICIA,15.44,134.6,0,0,1949,10,22,1949/10/22 04:00:00+00
224176,224177,1949293N12142,WP,MM,PATRICIA,15.1,134.4,40,0,1949,10,23,1949/10/23 04:00:00+00
224177,224178,1949293N12142,WP,MM,PATRICIA,15.13,134.01,42,0,1949,10,23,1949/10/23 04:00:00+00
224178,224179,1949293N12142,WP,MM,PATRICIA,15.26,133.57,45,0,1949,10,23,1949/10/23 04:00:00+00
224179,224180,1949293N12142,WP,MM,PATRICIA,15.44,133.14,47,0,1949,10,23,1949/10/23 04:00:00+00
224180,224181,1949293N12142,WP,MM,PATRICIA,15.68,132.72,50,0,1949,10,23,1949/10/23 04:00:00+00
224181,224182,1949293N12142,WP,MM,PATRICIA,15.92,132.28,50,0,1949,10,23,1949/10/23 04:00:00+00
224182,224183,1949293N12142,WP,MM,PATRICIA,16.15,131.82,50,0,1949,10,23,1949/10/23 04:00:00+00
224183,224184,1949293N12142,WP,MM,PATRICIA,16.36,131.34,55,0,1949,10,23,1949/10/23 04:00:00+00
224184,224185,1949293N12142,WP,MM,PATRICIA,16.56,130.88,60,0,1949,10,24,1949/10/24 04:00:00+00
224185,224186,1949293N12142,WP,MM,PATRICIA,16.79,130.49,60,0,1949,10,24,1949/10/24 04:00:00+00
224186,224187,1949293N12142,WP,MM,PATRICIA,16.99,130.18,60,0,1949,10,24,1949/10/24 04:00:00+00
224187,224188,1949293N12142,WP,MM,PATRICIA,17.11,129.95,62,0,1949,10,24,1949/10/24 04:00:00+00
224188,224189,1949293N12142,WP,MM,PATRICIA,17.22,129.72,65,0,1949,10,24,1949/10/24 04:00:00+00
224189,224190,1949293N12142,WP,MM,PATRICIA,17.42,129.36,67,0,1949,10,24,1949/10/24 04:00:00+00
224190,224191,1949293N12142,WP,MM,PATRICIA,17.64,129.0,70,0,1949,10,24,1949/10/24 04:00:00+00
224191,224192,1949293N12142,WP,MM,PATRICIA,17.81,128.73,72,0,1949,10,24,1949/10/24 04:00:00+00
224192,224193,1949293N12142,WP,MM,PATRICIA,17.96,128.5,75,0,1949,10,25,1949/10/25 04:00:00+00
224193,224194,1949293N12142,WP,MM,PATRICIA,18.06,128.24,77,0,1949,10,25,1949/10/25 04:00:00+00
224194,224195,1949293N12142,WP,MM,PATRICIA,18.21,127.98,80,0,1949,10,25,1949/10/25 04:00:00+00
224195,224196,1949293N12142,WP,MM,PATRICIA,18.5,127.69,85,0,1949,10,25,1949/10/25 04:00:00+00
224196,224197,1949293N12142,WP,MM,PATRICIA,18.86,127.48,90,0,1949,10,25,1949/10/25 04:00:00+00
224197,224198,1949293N12142,WP,MM,PATRICIA,19.18,127.4,95,0,1949,10,25,1949/10/25 04:00:00+00
224198,224199,1949293N12142,WP,MM,PATRICIA,19.54,127.43,100,0,1949,10,25,1949/10/25 04:00:00+00
224199,224200,1949293N12142,WP,MM,PATRICIA,19.96,127.49,105,0,1949,10,25,1949/10/25 04:00:00+00
224200,224201,1949293N12142,WP,MM,PATRICIA,20.44,127.62,110,0,1949,10,26,1949/10/26 04:00:00+00
224201,224202,1949293N12142,WP,MM,PATRICIA,20.96,127.8,115,0,1949,10,26,1949/10/26 04:00:00+00
224202,224203,1949293N12142,WP,MM,PATRICIA,21.54,128.05,120,0,1949,10,26,1949/10/26 04:00:00+00
224203,224204,1949293N12142,WP,MM,PATRICIA,22.18,128.34,120,0,1949,10,26,1949/10/26 04:00:00+00
224204,224205,1949293N12142,WP,MM,PATRICIA,22.86,128.7,120,0,1949,10,26,1949/10/26 04:00:00+00
224205,224206,1949293N12142,WP,MM,PATRICIA,23.48,129.11,110,0,1949,10,26,1949/10/26 04:00:00+00
224206,224207,1949293N12142,WP,MM,PATRICIA,24.16,129.62,100,0,1949,10,26,1949/10/26 04:00:00+00
224207,224208,1949293N12142,WP,MM,PATRICIA,24.95,130.19,95,0,1949,10,26,1949/10/26 04:00:00+00
224208,224209,1949293N12142,WP,MM,PATRICIA,25.88,130.94,90,0,1949,10,27,1949/10/27 04:00:00+00
224209,224210,1949293N12142,WP,MM,PATRICIA,26.96,131.93,82,0,1949,10,27,1949/10/27 04:00:00+00
224210,224211,1949293N12142,WP,MM,PATRICIA,28.09,133.16,75,0,1949,10,27,1949/10/27 04:00:00+00
224211,224212,1949293N12142,WP,MM,PATRICIA,29.09,134.57,80,0,1949,10,27,1949/10/27 04:00:00+00
224212,224213,1949293N12142,WP,MM,PATRICIA,30.1,136.16,85,0,1949,10,27,1949/10/27 04:00:00+00
224213,224214,1949293N12142,WP,MM,PATRICIA,31.19,137.84,87,0,1949,10,27,1949/10/27 04:00:00+00
224214,224215,1949293N12142,WP,MM,PATRICIA,32.32,139.63,90,0,1949,10,27,1949/10/27 04:00:00+00
224215,224216,1949293N12142,WP,MM,PATRICIA,33.4,141.43,85,0,1949,10,27,1949/10/27 04:00:00+00
224216,224217,1949293N12142,WP,MM,PATRICIA,34.5,143.44,80,0,1949,10,28,1949/10/28 04:00:00+00
224217,224218,1949293N12142,WP,MM,PATRICIA,35.59,145.78,72,0,1949,10,28,1949/10/28 04:00:00+00
224218,224219,1949293N12142,WP,MM,PATRICIA,36.74,148.44,65,0,1949,10,28,1949/10/28 04:00:00+00
224219,224220,1949293N12142,WP,MM,PATRICIA,37.96,151.46,55,0,1949,10,28,1949/10/28 04:00:00+00
224220,224221,1949293N12142,WP,MM,PATRICIA,39.1,154.39,45,0,1949,10,28,1949/10/28 04:00:00+00
224221,224222,1949293N12142,WP,MM,PATRICIA,39.97,156.5,45,0,1949,10,28,1949/10/28 04:00:00+00
224222,224223,1949293N12142,WP,MM,PATRICIA,40.7,158.3,45,0,1949,10,28,1949/10/28 04:00:00+00
224223,224224,1949293N12142,WP,MM,PATRICIA,41.63,160.31,42,0,1949,10,28,1949/10/28 04:00:00+00
224224,224225,1949293N12142,WP,MM,PATRICIA,42.53,162.33,40,0,1949,10,29,1949/10/29 04:00:00+00
224225,224226,1949293N12142,WP,MM,PATRICIA,43.14,164.25,47,0,1949,10,29,1949/10/29 04:00:00+00
224226,224227,1949293N12142,WP,MM,PATRICIA,43.92,166.42,55,0,1949,10,29,1949/10/29 04:00:00+00
224227,224228,1949293N12142,WP,MM,PATRICIA,45.04,169.12,55,0,1949,10,29,1949/10/29 04:00:00+00
224228,224229,1949293N12142,WP,MM,PATRICIA,46.2,172.1,55,0,1949,10,29,1949/10/29 04:00:00+00
224229,224230,1949293N12142,WP,MM,PATRICIA,47.66,176.08,0,0,1949,10,29,1949/10/29 04:00:00+00
347716,347717,1970277N12265,EP,MM,PATRICIA,12.1,-95.4,25,0,1970,10,4,1970/10/04 04:00:00+00
347717,347718,1970277N12265,EP,MM,PATRICIA,12.2,-95.94,25,0,1970,10,4,1970/10/04 04:00:00+00
347718,347719,1970277N12265,EP,MM,PATRICIA,12.29,-96.5,25,0,1970,10,4,1970/10/04 04:00:00+00
347719,347720,1970277N12265,EP,MM,PATRICIA,12.35,-97.09,25,0,1970,10,4,1970/10/04 04:00:00+00
347720,347721,1970277N12265,EP,MM,PATRICIA,12.4,-97.7,25,0,1970,10,4,1970/10/04 04:00:00+00
347721,347722,1970277N12265,EP,MM,PATRICIA,12.45,-98.34,35,0,1970,10,4,1970/10/04 04:00:00+00
347722,347723,1970277N12265,EP,MM,PATRICIA,12.5,-99.01,45,0,1970,10,4,1970/10/04 04:00:00+00
347723,347724,1970277N12265,EP,MM,PATRICIA,12.56,-99.7,45,0,1970,10,4,1970/10/04 04:00:00+00
347724,347725,1970277N12265,EP,MM,PATRICIA,12.6,-100.4,45,0,1970,10,5,1970/10/05 04:00:00+00
347725,347726,1970277N12265,EP,MM,PATRICIA,12.6,-101.06,45,0,1970,10,5,1970/10/05 04:00:00+00
347726,347727,1970277N12265,EP,MM,PATRICIA,12.61,-101.69,45,0,1970,10,5,1970/10/05 04:00:00+00
347727,347728,1970277N12265,EP,MM,PATRICIA,12.64,-102.3,45,0,1970,10,5,1970/10/05 04:00:00+00
347728,347729,1970277N12265,EP,MM,PATRICIA,12.7,-102.9,45,0,1970,10,5,1970/10/05 04:00:00+00
347729,347730,1970277N12265,EP,MM,PATRICIA,12.78,-103.54,60,0,1970,10,5,1970/10/05 04:00:00+00
347730,347731,1970277N12265,EP,MM,PATRICIA,12.9,-104.19,75,0,1970,10,5,1970/10/05 04:00:00+00
347731,347732,1970277N12265,EP,MM,PATRICIA,13.04,-104.83,75,0,1970,10,5,1970/10/05 04:00:00+00
347732,347733,1970277N12265,EP,MM,PATRICIA,13.2,-105.5,75,0,1970,10,6,1970/10/06 04:00:00+00
347733,347734,1970277N12265,EP,MM,PATRICIA,13.39,-106.23,75,0,1970,10,6,1970/10/06 04:00:00+00
347734,347735,1970277N12265,EP,MM,PATRICIA,13.59,-106.98,75,0,1970,10,6,1970/10/06 04:00:00+00
347735,347736,1970277N12265,EP,MM,PATRICIA,13.79,-107.69,75,0,1970,10,6,1970/10/06 04:00:00+00
347736,347737,1970277N12265,EP,MM,PATRICIA,14.0,-108.4,75,0,1970,10,6,1970/10/06 04:00:00+00
347737,347738,1970277N12265,EP,MM,PATRICIA,14.24,-109.14,82,0,1970,10,6,1970/10/06 04:00:00+00
347738,347739,1970277N12265,EP,MM,PATRICIA,14.49,-109.91,90,979,1970,10,6,1970/10/06 04:00:00+00
347739,347740,1970277N12265,EP,MM,PATRICIA,14.7,-110.71,90,0,1970,10,6,1970/10/06 04:00:00+00
347740,347741,1970277N12265,EP,MM,PATRICIA,14.9,-111.5,90,0,1970,10,7,1970/10/07 04:00:00+00
347741,347742,1970277N12265,EP,MM,PATRICIA,15.11,-112.22,90,0,1970,10,7,1970/10/07 04:00:00+00
347742,347743,1970277N12265,EP,MM,PATRICIA,15.3,-112.91,90,0,1970,10,7,1970/10/07 04:00:00+00
347743,347744,1970277N12265,EP,MM,PATRICIA,15.46,-113.62,90,0,1970,10,7,1970/10/07 04:00:00+00
347744,347745,1970277N12265,EP,MM,PATRICIA,15.6,-114.3,90,0,1970,10,7,1970/10/07 04:00:00+00
347745,347746,1970277N12265,EP,MM,PATRICIA,15.71,-114.92,90,0,1970,10,7,1970/10/07 04:00:00+00
