Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
368941,368942,1973085S09104,SI,WA,PAULA,-8.6,103.5,0,0,1973,3,25,1973/03/25 04:00:00+00
368942,368943,1973085S09104,SI,WA,PAULA,-8.58,103.42,0,0,1973,3,25,1973/03/25 04:00:00+00
368943,368944,1973085S09104,SI,WA,PAULA,-8.6,103.37,0,0,1973,3,26,1973/03/26 04:00:00+00
368944,368945,1973085S09104,SI,WA,PAULA,-8.69,103.11,0,0,1973,3,26,1973/03/26 04:00:00+00
368945,368946,1973085S09104,SI,WA,PAULA,-8.8,102.8,0,0,1973,3,26,1973/03/26 04:00:00+00
368946,368947,1973085S09104,SI,WA,PAULA,-8.91,102.41,0,0,1973,3,26,1973/03/26 04:00:00+00
368947,368948,1973085S09104,SI,WA,PAULA,-9.05,102.0,0,0,1973,3,26,1973/03/26 04:00:00+00
368948,368949,1973085S09104,SI,WA,PAULA,-9.21,101.59,0,0,1973,3,26,1973/03/26 04:00:00+00
368949,368950,1973085S09104,SI,WA,PAULA,-9.4,101.2,0,0,1973,3,26,1973/03/26 04:00:00+00
368950,368951,1973085S09104,SI,WA,PAULA,-9.61,100.83,0,0,1973,3,26,1973/03/26 04:00:00+00
368951,368952,1973085S09104,SI,WA,PAULA,-9.85,100.49,0,0,1973,3,27,1973/03/27 04:00:00+00
368952,368953,1973085S09104,SI,WA,PAULA,-10.02,100.18,0,0,1973,3,27,1973/03/27 04:00:00+00
368953,368954,1973085S09104,SI,WA,PAULA,-10.2,99.9,0,0,1973,3,27,1973/03/27 04:00:00+00
368954,368955,1973085S09104,SI,WA,PAULA,-10.4,99.58,0,0,1973,3,27,1973/03/27 04:00:00+00
368955,368956,1973085S09104,SI,WA,PAULA,-10.6,99.25,0,0,1973,3,27,1973/03/27 04:00:00+00
368956,368957,1973085S09104,SI,WA,PAULA,-10.8,98.88,0,0,1973,3,27,1973/03/27 04:00:00+00
368957,368958,1973085S09104,SI,WA,PAULA,-11.0,98.5,0,0,1973,3,27,1973/03/27 04:00:00+00
368958,368959,1973085S09104,SI,WA,PAULA,-11.2,98.16,0,0,1973,3,27,1973/03/27 04:00:00+00
368959,368960,1973085S09104,SI,WA,PAULA,-11.41,97.81,0,0,1973,3,28,1973/03/28 04:00:00+00
368960,368961,1973085S09104,SI,WA,PAULA,-11.64,97.53,0,0,1973,3,28,1973/03/28 04:00:00+00
368961,368962,1973085S09104,SI,WA,PAULA,-11.9,97.2,0,0,1973,3,28,1973/03/28 04:00:00+00
368962,368963,1973085S09104,SI,WA,PAULA,-12.1,96.84,0,0,1973,3,28,1973/03/28 04:00:00+00
368963,368964,1973085S09104,SI,WA,PAULA,-12.31,96.45,0,0,1973,3,28,1973/03/28 04:00:00+00
368964,368965,1973085S09104,SI,WA,PAULA,-12.54,96.07,0,0,1973,3,28,1973/03/28 04:00:00+00
368965,368966,1973085S09104,SI,WA,PAULA,-12.8,95.7,0,0,1973,3,28,1973/03/28 04:00:00+00
368966,368967,1973085S09104,SI,WA,PAULA,-13.02,95.39,0,0,1973,3,28,1973/03/28 04:00:00+00
368967,368968,1973085S09104,SI,WA,PAULA,-13.26,95.14,0,0,1973,3,29,1973/03/29 04:00:00+00
368968,368969,1973085S09104,SI,WA,PAULA,-13.48,94.91,0,0,1973,3,29,1973/03/29 04:00:00+00
368969,368970,1973085S09104,SI,WA,PAULA,-13.7,94.7,0,0,1973,3,29,1973/03/29 04:00:00+00
368970,368971,1973085S09104,SI,WA,PAULA,-13.9,94.48,0,0,1973,3,29,1973/03/29 04:00:00+00
