Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
683220,683221,2020251N17319,,,PAULETTE,16.9,-41.3,30,1006,2020,9,7,2020/09/07 04:00:00+00
683221,683222,2020251N17319,,,PAULETTE,16.95,-41.57,30,1006,2020,9,7,2020/09/07 04:00:00+00
683222,683223,2020251N17319,,,PAULETTE,17.0,-41.8,30,1006,2020,9,7,2020/09/07 04:00:00+00
683223,683224,2020251N17319,,,PAULETTE,17.04,-41.97,32,1005,2020,9,7,2020/09/07 04:00:00+00
683224,683225,2020251N17319,,,PAULETTE,17.1,-42.1,35,1005,2020,9,7,2020/09/07 04:00:00+00
683225,683226,2020251N17319,,,PAULETTE,17.18,-42.22,35,1005,2020,9,7,2020/09/07 04:00:00+00
683226,683227,2020251N17319,,,PAULETTE,17.3,-42.3,35,1005,2020,9,7,2020/09/07 04:00:00+00
683227,683228,2020251N17319,,,PAULETTE,17.44,-42.35,37,1004,2020,9,7,2020/09/07 04:00:00+00
683228,683229,2020251N17319,,,PAULETTE,17.6,-42.4,40,1004,2020,9,8,2020/09/08 04:00:00+00
683229,683230,2020251N17319,,,PAULETTE,17.74,-42.48,42,1002,2020,9,8,2020/09/08 04:00:00+00
683230,683231,2020251N17319,,,PAULETTE,17.9,-42.6,45,1000,2020,9,8,2020/09/08 04:00:00+00
683231,683232,2020251N17319,,,PAULETTE,18.1,-42.76,47,998,2020,9,8,2020/09/08 04:00:00+00
683232,683233,2020251N17319,,,PAULETTE,18.3,-43.0,50,997,2020,9,8,2020/09/08 04:00:00+00
683233,683234,2020251N17319,,,PAULETTE,18.46,-43.32,50,997,2020,9,8,2020/09/08 04:00:00+00
683234,683235,2020251N17319,,,PAULETTE,18.6,-43.7,50,997,2020,9,8,2020/09/08 04:00:00+00
683235,683236,2020251N17319,,,PAULETTE,18.75,-44.1,50,997,2020,9,8,2020/09/08 04:00:00+00
683236,683237,2020251N17319,,,PAULETTE,18.9,-44.5,50,997,2020,9,9,2020/09/09 04:00:00+00
683237,683238,2020251N17319,,,PAULETTE,19.04,-44.85,50,997,2020,9,9,2020/09/09 04:00:00+00
683238,683239,2020251N17319,,,PAULETTE,19.2,-45.2,50,997,2020,9,9,2020/09/09 04:00:00+00
683239,683240,2020251N17319,,,PAULETTE,19.39,-45.59,50,996,2020,9,9,2020/09/09 04:00:00+00
683240,683241,2020251N17319,,,PAULETTE,19.6,-46.0,50,996,2020,9,9,2020/09/09 04:00:00+00
683241,683242,2020251N17319,,,PAULETTE,19.8,-46.4,50,996,2020,9,9,2020/09/09 04:00:00+00
683242,683243,2020251N17319,,,PAULETTE,20.0,-46.8,50,996,2020,9,9,2020/09/09 04:00:00+00
