Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
207769,207770,1945204N17118,WP,MM,PEGGY,17.0,118.0,20,0,1945,7,22,1945/07/22 04:00:00+00
207770,207771,1945204N17118,WP,MM,PEGGY,17.55,117.75,22,0,1945,7,22,1945/07/22 04:00:00+00
207771,207772,1945204N17118,WP,MM,PEGGY,18.1,117.5,25,0,1945,7,22,1945/07/22 04:00:00+00
207772,207773,1945204N17118,WP,MM,PEGGY,18.65,117.25,30,0,1945,7,22,1945/07/22 04:00:00+00
207773,207774,1945204N17118,WP,MM,PEGGY,19.2,117.0,35,0,1945,7,23,1945/07/23 04:00:00+00
207774,207775,1945204N17118,WP,MM,PEGGY,19.75,116.75,35,0,1945,7,23,1945/07/23 04:00:00+00
207775,207776,1945204N17118,WP,MM,PEGGY,20.31,116.5,35,0,1945,7,23,1945/07/23 04:00:00+00
207776,207777,1945204N17118,WP,MM,PEGGY,20.9,116.25,32,0,1945,7,23,1945/07/23 04:00:00+00
457924,457925,1986179N11175,WP,MM,PEGGY,11.3,174.7,0,0,1986,6,28,1986/06/28 04:00:00+00
457925,457926,1986179N11175,WP,MM,PEGGY,11.49,174.15,0,0,1986,6,28,1986/06/28 04:00:00+00
457926,457927,1986179N11175,WP,MM,PEGGY,11.67,173.62,0,0,1986,6,28,1986/06/28 04:00:00+00
457927,457928,1986179N11175,WP,MM,PEGGY,11.84,173.09,0,0,1986,6,28,1986/06/28 04:00:00+00
457928,457929,1986179N11175,WP,MM,PEGGY,12.0,172.6,0,0,1986,6,28,1986/06/28 04:00:00+00
457929,457930,1986179N11175,WP,MM,PEGGY,12.15,172.13,0,0,1986,6,28,1986/06/28 04:00:00+00
457930,457931,1986179N11175,WP,MM,PEGGY,12.28,171.67,0,0,1986,6,28,1986/06/28 04:00:00+00
457931,457932,1986179N11175,WP,MM,PEGGY,12.4,171.17,0,0,1986,6,28,1986/06/28 04:00:00+00
457932,457933,1986179N11175,WP,MM,PEGGY,12.5,170.6,0,0,1986,6,29,1986/06/29 04:00:00+00
457933,457934,1986179N11175,WP,MM,PEGGY,12.58,169.96,0,0,1986,6,29,1986/06/29 04:00:00+00
457934,457935,1986179N11175,WP,MM,PEGGY,12.64,169.24,0,0,1986,6,29,1986/06/29 04:00:00+00
457935,457936,1986179N11175,WP,MM,PEGGY,12.71,168.45,0,0,1986,6,29,1986/06/29 04:00:00+00
457936,457937,1986179N11175,WP,MM,PEGGY,12.8,167.6,0,0,1986,6,29,1986/06/29 04:00:00+00
457937,457938,1986179N11175,WP,MM,PEGGY,12.96,166.59,0,0,1986,6,29,1986/06/29 04:00:00+00
457938,457939,1986179N11175,WP,MM,PEGGY,13.13,165.52,0,0,1986,6,29,1986/06/29 04:00:00+00
457939,457940,1986179N11175,WP,MM,PEGGY,13.29,164.53,0,0,1986,6,29,1986/06/29 04:00:00+00
457940,457941,1986179N11175,WP,MM,PEGGY,13.32,163.76,0,0,1986,6,30,1986/06/30 04:00:00+00
457941,457942,1986179N11175,WP,MM,PEGGY,13.28,163.31,0,0,1986,6,30,1986/06/30 04:00:00+00
457942,457943,1986179N11175,WP,MM,PEGGY,13.2,162.82,0,0,1986,6,30,1986/06/30 04:00:00+00
457943,457944,1986179N11175,WP,MM,PEGGY,13.16,162.36,0,0,1986,6,30,1986/06/30 04:00:00+00
457944,457945,1986179N11175,WP,MM,PEGGY,13.16,161.87,0,0,1986,6,30,1986/06/30 04:00:00+00
457945,457946,1986179N11175,WP,MM,PEGGY,13.21,161.35,0,0,1986,6,30,1986/06/30 04:00:00+00
457946,457947,1986179N11175,WP,MM,PEGGY,13.24,160.89,0,0,1986,6,30,1986/06/30 04:00:00+00
