Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
605174,605175,2007306N18133,WP,MM,PEIPAH,17.97,132.63,15,1010,2007,11,1,2007/11/01 04:00:00+00
605175,605176,2007306N18133,WP,MM,PEIPAH,18.06,132.48,15,1010,2007,11,1,2007/11/01 04:00:00+00
605176,605177,2007306N18133,WP,MM,PEIPAH,18.13,132.33,15,1010,2007,11,2,2007/11/02 04:00:00+00
605177,605178,2007306N18133,WP,MM,PEIPAH,18.19,132.18,17,1008,2007,11,2,2007/11/02 04:00:00+00
605178,605179,2007306N18133,WP,MM,PEIPAH,18.23,131.93,20,1007,2007,11,2,2007/11/02 04:00:00+00
605179,605180,2007306N18133,WP,MM,PEIPAH,18.3,131.5,17,1006,2007,11,2,2007/11/02 04:00:00+00
605180,605181,2007306N18133,WP,MM,PEIPAH,18.37,131.0,15,1006,2007,11,2,2007/11/02 04:00:00+00
605181,605182,2007306N18133,WP,MM,PEIPAH,18.44,130.54,17,1006,2007,11,2,2007/11/02 04:00:00+00
605182,605183,2007306N18133,WP,MM,PEIPAH,18.47,130.1,20,1007,2007,11,2,2007/11/02 04:00:00+00
605183,605184,2007306N18133,WP,MM,PEIPAH,18.38,129.66,20,1005,2007,11,2,2007/11/02 04:00:00+00
605184,605185,2007306N18133,WP,MM,PEIPAH,18.27,129.23,20,1003,2007,11,3,2007/11/03 04:00:00+00
605185,605186,2007306N18133,WP,MM,PEIPAH,18.2,128.86,22,1003,2007,11,3,2007/11/03 04:00:00+00
605186,605187,2007306N18133,WP,MM,PEIPAH,18.12,128.44,25,1004,2007,11,3,2007/11/03 04:00:00+00
605187,605188,2007306N18133,WP,MM,PEIPAH,18.04,127.89,30,1002,2007,11,3,2007/11/03 04:00:00+00
605188,605189,2007306N18133,WP,MM,PEIPAH,17.91,127.27,35,1000,2007,11,3,2007/11/03 04:00:00+00
605189,605190,2007306N18133,WP,MM,PEIPAH,17.69,126.61,40,999,2007,11,3,2007/11/03 04:00:00+00
605190,605191,2007306N18133,WP,MM,PEIPAH,17.45,125.95,45,998,2007,11,3,2007/11/03 04:00:00+00
605191,605192,2007306N18133,WP,MM,PEIPAH,17.23,125.39,47,991,2007,11,3,2007/11/03 04:00:00+00
605192,605193,2007306N18133,WP,MM,PEIPAH,17.05,124.85,50,985,2007,11,4,2007/11/04 04:00:00+00
605193,605194,2007306N18133,WP,MM,PEIPAH,16.91,124.24,55,981,2007,11,4,2007/11/04 04:00:00+00
605194,605195,2007306N18133,WP,MM,PEIPAH,16.82,123.62,60,978,2007,11,4,2007/11/04 04:00:00+00
