Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
550892,550893,1999021S15149,SP,EA,PETE,-15.0,149.0,0,0,1999,1,21,1999/01/21 05:00:00+00
550893,550894,1999021S15149,SP,EA,PETE,-15.0,149.04,0,0,1999,1,21,1999/01/21 05:00:00+00
550894,550895,1999021S15149,SP,EA,PETE,-15.0,149.5,0,0,1999,1,21,1999/01/21 05:00:00+00
550895,550896,1999021S15149,SP,EA,PETE,-15.0,150.57,0,0,1999,1,21,1999/01/21 05:00:00+00
550896,550897,1999021S15149,SP,EA,PETE,-14.93,151.4,30,0,1999,1,21,1999/01/21 05:00:00+00
550897,550898,1999021S15149,SP,EA,PETE,-14.9,151.54,30,0,1999,1,21,1999/01/21 05:00:00+00
550898,550899,1999021S15149,SP,EA,PETE,-14.97,151.6,30,0,1999,1,21,1999/01/21 05:00:00+00
550899,550900,1999021S15149,SP,EA,PETE,-15.17,151.86,30,0,1999,1,21,1999/01/21 05:00:00+00
550900,550901,1999021S15149,SP,EA,PETE,-15.44,152.18,30,0,1999,1,22,1999/01/22 05:00:00+00
550901,550902,1999021S15149,SP,EA,PETE,-15.7,152.51,32,0,1999,1,22,1999/01/22 05:00:00+00
550902,550903,1999021S15149,SP,EA,PETE,-16.04,152.86,35,0,1999,1,22,1999/01/22 05:00:00+00
550903,550904,1999021S15149,SP,EA,PETE,-16.49,153.18,35,0,1999,1,22,1999/01/22 05:00:00+00
550904,550905,1999021S15149,SP,EA,PETE,-17.06,153.58,35,0,1999,1,22,1999/01/22 05:00:00+00
550905,550906,1999021S15149,SP,EA,PETE,-17.75,154.14,37,0,1999,1,22,1999/01/22 05:00:00+00
550906,550907,1999021S15149,SP,EA,PETE,-18.48,154.78,40,0,1999,1,22,1999/01/22 05:00:00+00
550907,550908,1999021S15149,SP,EA,PETE,-19.15,155.38,42,0,1999,1,22,1999/01/22 05:00:00+00
550908,550909,1999021S15149,SP,EA,PETE,-19.78,156.0,45,0,1999,1,23,1999/01/23 05:00:00+00
