Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
571549,571550,2002222N09163,WP,MM,PHANFONE,9.1,162.7,20,1004,2002,8,10,2002/08/10 04:00:00+00
571550,571551,2002222N09163,WP,MM,PHANFONE,9.11,162.32,20,1004,2002,8,10,2002/08/10 04:00:00+00
571551,571552,2002222N09163,WP,MM,PHANFONE,9.2,161.9,20,1004,2002,8,10,2002/08/10 04:00:00+00
571552,571553,2002222N09163,WP,MM,PHANFONE,9.42,161.41,20,1004,2002,8,10,2002/08/10 04:00:00+00
571553,571554,2002222N09163,WP,MM,PHANFONE,9.7,160.9,20,1004,2002,8,10,2002/08/10 04:00:00+00
571554,571555,2002222N09163,WP,MM,PHANFONE,9.98,160.44,22,1003,2002,8,10,2002/08/10 04:00:00+00
571555,571556,2002222N09163,WP,MM,PHANFONE,9.77,160.17,25,1002,2002,8,11,2002/08/11 04:00:00+00
571556,571557,2002222N09163,WP,MM,PHANFONE,9.81,159.73,25,1002,2002,8,11,2002/08/11 04:00:00+00
571557,571558,2002222N09163,WP,MM,PHANFONE,9.94,159.26,25,1002,2002,8,11,2002/08/11 04:00:00+00
571558,571559,2002222N09163,WP,MM,PHANFONE,10.07,158.82,27,1001,2002,8,11,2002/08/11 04:00:00+00
571559,571560,2002222N09163,WP,MM,PHANFONE,10.17,158.51,30,1000,2002,8,11,2002/08/11 04:00:00+00
571560,571561,2002222N09163,WP,MM,PHANFONE,10.22,158.4,35,997,2002,8,11,2002/08/11 04:00:00+00
571561,571562,2002222N09163,WP,MM,PHANFONE,10.29,158.35,40,994,2002,8,11,2002/08/11 04:00:00+00
571562,571563,2002222N09163,WP,MM,PHANFONE,10.47,158.22,40,994,2002,8,11,2002/08/11 04:00:00+00
571563,571564,2002222N09163,WP,MM,PHANFONE,10.7,158.07,40,994,2002,8,12,2002/08/12 04:00:00+00
571564,571565,2002222N09163,WP,MM,PHANFONE,10.97,157.94,42,992,2002,8,12,2002/08/12 04:00:00+00
571565,571566,2002222N09163,WP,MM,PHANFONE,11.28,157.8,45,991,2002,8,12,2002/08/12 04:00:00+00
571566,571567,2002222N09163,WP,MM,PHANFONE,11.59,157.64,50,987,2002,8,12,2002/08/12 04:00:00+00
571567,571568,2002222N09163,WP,MM,PHANFONE,11.93,157.5,55,984,2002,8,12,2002/08/12 04:00:00+00
571568,571569,2002222N09163,WP,MM,PHANFONE,12.22,157.41,55,984,2002,8,12,2002/08/12 04:00:00+00
571569,571570,2002222N09163,WP,MM,PHANFONE,12.62,157.3,55,984,2002,8,12,2002/08/12 04:00:00+00
571570,571571,2002222N09163,WP,MM,PHANFONE,13.26,157.16,57,982,2002,8,12,2002/08/12 04:00:00+00
571571,571572,2002222N09163,WP,MM,PHANFONE,14.0,156.93,60,980,2002,8,13,2002/08/13 04:00:00+00
571572,571573,2002222N09163,WP,MM,PHANFONE,14.75,156.58,62,978,2002,8,13,2002/08/13 04:00:00+00
571573,571574,2002222N09163,WP,MM,PHANFONE,15.45,156.1,65,976,2002,8,13,2002/08/13 04:00:00+00
571574,571575,2002222N09163,WP,MM,PHANFONE,16.04,155.46,67,974,2002,8,13,2002/08/13 04:00:00+00
571575,571576,2002222N09163,WP,MM,PHANFONE,16.52,154.78,70,972,2002,8,13,2002/08/13 04:00:00+00
571576,571577,2002222N09163,WP,MM,PHANFONE,16.93,154.23,72,969,2002,8,13,2002/08/13 04:00:00+00
571577,571578,2002222N09163,WP,MM,PHANFONE,17.32,153.68,75,967,2002,8,13,2002/08/13 04:00:00+00
571578,571579,2002222N09163,WP,MM,PHANFONE,17.83,153.0,75,967,2002,8,13,2002/08/13 04:00:00+00
571579,571580,2002222N09163,WP,MM,PHANFONE,18.32,152.25,75,967,2002,8,14,2002/08/14 04:00:00+00
571580,571581,2002222N09163,WP,MM,PHANFONE,18.7,151.45,77,965,2002,8,14,2002/08/14 04:00:00+00
571581,571582,2002222N09163,WP,MM,PHANFONE,19.0,150.65,80,963,2002,8,14,2002/08/14 04:00:00+00
571582,571583,2002222N09163,WP,MM,PHANFONE,19.22,149.92,82,960,2002,8,14,2002/08/14 04:00:00+00
571583,571584,2002222N09163,WP,MM,PHANFONE,19.45,149.28,85,958,2002,8,14,2002/08/14 04:00:00+00
571584,571585,2002222N09163,WP,MM,PHANFONE,19.76,148.72,87,956,2002,8,14,2002/08/14 04:00:00+00
571585,571586,2002222N09163,WP,MM,PHANFONE,20.15,148.18,90,954,2002,8,14,2002/08/14 04:00:00+00
571586,571587,2002222N09163,WP,MM,PHANFONE,20.62,147.55,95,949,2002,8,14,2002/08/14 04:00:00+00
571587,571588,2002222N09163,WP,MM,PHANFONE,21.12,146.9,100,944,2002,8,15,2002/08/15 04:00:00+00
571588,571589,2002222N09163,WP,MM,PHANFONE,21.57,146.28,107,935,2002,8,15,2002/08/15 04:00:00+00
571589,571590,2002222N09163,WP,MM,PHANFONE,22.0,145.68,115,927,2002,8,15,2002/08/15 04:00:00+00
571590,571591,2002222N09163,WP,MM,PHANFONE,22.43,145.12,122,918,2002,8,15,2002/08/15 04:00:00+00
571591,571592,2002222N09163,WP,MM,PHANFONE,22.88,144.55,130,910,2002,8,15,2002/08/15 04:00:00+00
571592,571593,2002222N09163,WP,MM,PHANFONE,23.38,143.92,132,907,2002,8,15,2002/08/15 04:00:00+00
571593,571594,2002222N09163,WP,MM,PHANFONE,23.88,143.28,135,904,2002,8,15,2002/08/15 04:00:00+00
571594,571595,2002222N09163,WP,MM,PHANFONE,24.31,142.65,132,907,2002,8,15,2002/08/15 04:00:00+00
571595,571596,2002222N09163,WP,MM,PHANFONE,24.7,142.05,130,910,2002,8,16,2002/08/16 04:00:00+00
571596,571597,2002222N09163,WP,MM,PHANFONE,25.08,141.49,130,910,2002,8,16,2002/08/16 04:00:00+00
571597,571598,2002222N09163,WP,MM,PHANFONE,25.4,141.0,130,910,2002,8,16,2002/08/16 04:00:00+00
571598,571599,2002222N09163,WP,MM,PHANFONE,25.68,140.53,130,910,2002,8,16,2002/08/16 04:00:00+00
