Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
449067,449068,1985049S12143,SP,EA,PIERRE,-11.5,143.35,0,0,1985,2,18,1985/02/18 05:00:00+00
449068,449069,1985049S12143,SP,EA,PIERRE,-11.51,143.73,0,0,1985,2,18,1985/02/18 05:00:00+00
449069,449070,1985049S12143,SP,EA,PIERRE,-11.55,144.1,0,0,1985,2,18,1985/02/18 05:00:00+00
449070,449071,1985049S12143,SP,EA,PIERRE,-11.62,144.44,0,0,1985,2,18,1985/02/18 05:00:00+00
449071,449072,1985049S12143,SP,EA,PIERRE,-11.73,144.73,0,0,1985,2,18,1985/02/18 05:00:00+00
449072,449073,1985049S12143,SP,EA,PIERRE,-11.84,144.98,0,0,1985,2,18,1985/02/18 05:00:00+00
449073,449074,1985049S12143,SP,EA,PIERRE,-12.0,145.2,0,0,1985,2,19,1985/02/19 05:00:00+00
449074,449075,1985049S12143,SP,EA,PIERRE,-12.21,145.44,0,0,1985,2,19,1985/02/19 05:00:00+00
449075,449076,1985049S12143,SP,EA,PIERRE,-12.47,145.54,25,0,1985,2,19,1985/02/19 05:00:00+00
449076,449077,1985049S12143,SP,EA,PIERRE,-12.72,145.62,25,0,1985,2,19,1985/02/19 05:00:00+00
449077,449078,1985049S12143,SP,EA,PIERRE,-13.01,145.74,25,0,1985,2,19,1985/02/19 05:00:00+00
449078,449079,1985049S12143,SP,EA,PIERRE,-13.39,145.91,25,0,1985,2,19,1985/02/19 05:00:00+00
449079,449080,1985049S12143,SP,EA,PIERRE,-13.78,146.09,25,0,1985,2,19,1985/02/19 05:00:00+00
449080,449081,1985049S12143,SP,EA,PIERRE,-14.15,146.24,27,0,1985,2,19,1985/02/19 05:00:00+00
449081,449082,1985049S12143,SP,EA,PIERRE,-14.53,146.38,30,0,1985,2,20,1985/02/20 05:00:00+00
449082,449083,1985049S12143,SP,EA,PIERRE,-14.91,146.53,32,0,1985,2,20,1985/02/20 05:00:00+00
449083,449084,1985049S12143,SP,EA,PIERRE,-15.35,146.72,35,0,1985,2,20,1985/02/20 05:00:00+00
449084,449085,1985049S12143,SP,EA,PIERRE,-15.84,146.97,37,0,1985,2,20,1985/02/20 05:00:00+00
449085,449086,1985049S12143,SP,EA,PIERRE,-16.38,147.28,40,0,1985,2,20,1985/02/20 05:00:00+00
449086,449087,1985049S12143,SP,EA,PIERRE,-16.87,147.59,42,0,1985,2,20,1985/02/20 05:00:00+00
449087,449088,1985049S12143,SP,EA,PIERRE,-17.4,147.94,45,0,1985,2,20,1985/02/20 05:00:00+00
449088,449089,1985049S12143,SP,EA,PIERRE,-17.99,148.34,45,0,1985,2,20,1985/02/20 05:00:00+00
449089,449090,1985049S12143,SP,EA,PIERRE,-18.65,148.75,45,0,1985,2,21,1985/02/21 05:00:00+00
449090,449091,1985049S12143,SP,EA,PIERRE,-19.46,149.17,42,0,1985,2,21,1985/02/21 05:00:00+00
449091,449092,1985049S12143,SP,EA,PIERRE,-20.28,149.58,40,0,1985,2,21,1985/02/21 05:00:00+00
449092,449093,1985049S12143,SP,EA,PIERRE,-21.02,149.97,40,0,1985,2,21,1985/02/21 05:00:00+00
449093,449094,1985049S12143,SP,EA,PIERRE,-21.62,150.3,40,0,1985,2,21,1985/02/21 05:00:00+00
449094,449095,1985049S12143,SP,EA,PIERRE,-22.07,150.51,37,0,1985,2,21,1985/02/21 05:00:00+00
449095,449096,1985049S12143,SP,EA,PIERRE,-22.41,150.7,35,0,1985,2,21,1985/02/21 05:00:00+00
449096,449097,1985049S12143,SP,EA,PIERRE,-22.71,150.94,35,0,1985,2,21,1985/02/21 05:00:00+00
449097,449098,1985049S12143,SP,EA,PIERRE,-22.93,151.22,35,0,1985,2,22,1985/02/22 05:00:00+00
449098,449099,1985049S12143,SP,EA,PIERRE,-23.14,151.59,32,0,1985,2,22,1985/02/22 05:00:00+00
449099,449100,1985049S12143,SP,EA,PIERRE,-23.32,152.01,30,0,1985,2,22,1985/02/22 05:00:00+00
449100,449101,1985049S12143,SP,EA,PIERRE,-23.48,152.49,30,0,1985,2,22,1985/02/22 05:00:00+00
449101,449102,1985049S12143,SP,EA,PIERRE,-23.6,153.0,30,0,1985,2,22,1985/02/22 05:00:00+00
449102,449103,1985049S12143,SP,EA,PIERRE,-23.68,153.52,27,0,1985,2,22,1985/02/22 05:00:00+00
449103,449104,1985049S12143,SP,EA,PIERRE,-23.72,154.04,25,0,1985,2,22,1985/02/22 05:00:00+00
449104,449105,1985049S12143,SP,EA,PIERRE,-23.73,154.53,25,0,1985,2,22,1985/02/22 05:00:00+00
449105,449106,1985049S12143,SP,EA,PIERRE,-23.7,155.03,25,0,1985,2,23,1985/02/23 05:00:00+00
