Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
303041,303042,1964202N12248,EP,MM,PRUDENCE,12.3,-112.1,45,0,1964,7,20,1964/07/20 04:00:00+00
303042,303043,1964202N12248,EP,MM,PRUDENCE,12.38,-112.75,45,0,1964,7,20,1964/07/20 04:00:00+00
303043,303044,1964202N12248,EP,MM,PRUDENCE,12.51,-113.41,45,0,1964,7,20,1964/07/20 04:00:00+00
303044,303045,1964202N12248,EP,MM,PRUDENCE,12.72,-114.07,45,0,1964,7,20,1964/07/20 04:00:00+00
303045,303046,1964202N12248,EP,MM,PRUDENCE,13.0,-114.7,45,0,1964,7,20,1964/07/20 04:00:00+00
303046,303047,1964202N12248,EP,MM,PRUDENCE,13.33,-115.27,45,0,1964,7,20,1964/07/20 04:00:00+00
303047,303048,1964202N12248,EP,MM,PRUDENCE,13.7,-115.81,45,0,1964,7,20,1964/07/20 04:00:00+00
303048,303049,1964202N12248,EP,MM,PRUDENCE,14.07,-116.36,45,0,1964,7,20,1964/07/20 04:00:00+00
303049,303050,1964202N12248,EP,MM,PRUDENCE,14.4,-116.9,45,0,1964,7,21,1964/07/21 04:00:00+00
303050,303051,1964202N12248,EP,MM,PRUDENCE,14.63,-117.41,45,0,1964,7,21,1964/07/21 04:00:00+00
303051,303052,1964202N12248,EP,MM,PRUDENCE,14.81,-117.9,45,0,1964,7,21,1964/07/21 04:00:00+00
303052,303053,1964202N12248,EP,MM,PRUDENCE,14.97,-118.4,45,0,1964,7,21,1964/07/21 04:00:00+00
303053,303054,1964202N12248,EP,MM,PRUDENCE,15.1,-118.9,45,0,1964,7,21,1964/07/21 04:00:00+00
303054,303055,1964202N12248,EP,MM,PRUDENCE,15.16,-119.4,45,0,1964,7,21,1964/07/21 04:00:00+00
303055,303056,1964202N12248,EP,MM,PRUDENCE,15.21,-119.91,45,0,1964,7,21,1964/07/21 04:00:00+00
303056,303057,1964202N12248,EP,MM,PRUDENCE,15.3,-120.46,45,0,1964,7,21,1964/07/21 04:00:00+00
303057,303058,1964202N12248,EP,MM,PRUDENCE,15.4,-121.0,45,0,1964,7,22,1964/07/22 04:00:00+00
303058,303059,1964202N12248,EP,MM,PRUDENCE,15.5,-121.51,45,0,1964,7,22,1964/07/22 04:00:00+00
303059,303060,1964202N12248,EP,MM,PRUDENCE,15.61,-122.0,45,0,1964,7,22,1964/07/22 04:00:00+00
303060,303061,1964202N12248,EP,MM,PRUDENCE,15.75,-122.47,45,0,1964,7,22,1964/07/22 04:00:00+00
303061,303062,1964202N12248,EP,MM,PRUDENCE,15.9,-122.9,45,0,1964,7,22,1964/07/22 04:00:00+00
303062,303063,1964202N12248,EP,MM,PRUDENCE,16.04,-123.27,45,0,1964,7,22,1964/07/22 04:00:00+00
303063,303064,1964202N12248,EP,MM,PRUDENCE,16.19,-123.61,45,0,1964,7,22,1964/07/22 04:00:00+00
303064,303065,1964202N12248,EP,MM,PRUDENCE,16.33,-123.95,45,0,1964,7,22,1964/07/22 04:00:00+00
303065,303066,1964202N12248,EP,MM,PRUDENCE,16.5,-124.3,45,0,1964,7,23,1964/07/23 04:00:00+00
303066,303067,1964202N12248,EP,MM,PRUDENCE,16.72,-124.64,45,0,1964,7,23,1964/07/23 04:00:00+00
303067,303068,1964202N12248,EP,MM,PRUDENCE,17.0,-125.0,45,0,1964,7,23,1964/07/23 04:00:00+00
303068,303069,1964202N12248,EP,MM,PRUDENCE,17.33,-125.39,45,0,1964,7,23,1964/07/23 04:00:00+00
303069,303070,1964202N12248,EP,MM,PRUDENCE,17.7,-125.8,45,0,1964,7,23,1964/07/23 04:00:00+00
303070,303071,1964202N12248,EP,MM,PRUDENCE,18.1,-126.23,45,0,1964,7,23,1964/07/23 04:00:00+00
303071,303072,1964202N12248,EP,MM,PRUDENCE,18.51,-126.7,45,0,1964,7,23,1964/07/23 04:00:00+00
303072,303073,1964202N12248,EP,MM,PRUDENCE,18.94,-127.19,45,0,1964,7,23,1964/07/23 04:00:00+00
303073,303074,1964202N12248,EP,MM,PRUDENCE,19.3,-127.7,45,0,1964,7,24,1964/07/24 04:00:00+00
303074,303075,1964202N12248,EP,MM,PRUDENCE,19.55,-128.24,45,0,1964,7,24,1964/07/24 04:00:00+00
303075,303076,1964202N12248,EP,MM,PRUDENCE,19.68,-128.8,45,0,1964,7,24,1964/07/24 04:00:00+00
303076,303077,1964202N12248,EP,MM,PRUDENCE,19.68,-129.35,45,0,1964,7,24,1964/07/24 04:00:00+00
