Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
207939,207940,1945218N16124,WP,MM,QUEENIE,15.5,123.5,40,0,1945,8,5,1945/08/05 04:00:00+00
207940,207941,1945218N16124,WP,MM,QUEENIE,15.75,122.95,42,0,1945,8,5,1945/08/05 04:00:00+00
207941,207942,1945218N16124,WP,MM,QUEENIE,16.0,122.41,45,0,1945,8,5,1945/08/05 04:00:00+00
207942,207943,1945218N16124,WP,MM,QUEENIE,16.25,121.9,45,0,1945,8,5,1945/08/05 04:00:00+00
207943,207944,1945218N16124,WP,MM,QUEENIE,16.5,121.4,45,0,1945,8,6,1945/08/06 04:00:00+00
207944,207945,1945218N16124,WP,MM,QUEENIE,16.76,120.89,47,0,1945,8,6,1945/08/06 04:00:00+00
207945,207946,1945218N16124,WP,MM,QUEENIE,17.01,120.4,50,0,1945,8,6,1945/08/06 04:00:00+00
207946,207947,1945218N16124,WP,MM,QUEENIE,17.28,119.92,50,0,1945,8,6,1945/08/06 04:00:00+00
207947,207948,1945218N16124,WP,MM,QUEENIE,17.5,119.5,50,0,1945,8,6,1945/08/06 04:00:00+00
207948,207949,1945218N16124,WP,MM,QUEENIE,17.63,119.17,50,0,1945,8,6,1945/08/06 04:00:00+00
207949,207950,1945218N16124,WP,MM,QUEENIE,17.7,118.87,50,0,1945,8,6,1945/08/06 04:00:00+00
207950,207951,1945218N16124,WP,MM,QUEENIE,17.76,118.5,55,0,1945,8,6,1945/08/06 04:00:00+00
207951,207952,1945218N16124,WP,MM,QUEENIE,17.8,118.1,60,0,1945,8,7,1945/08/07 04:00:00+00
207952,207953,1945218N16124,WP,MM,QUEENIE,17.85,117.7,60,0,1945,8,7,1945/08/07 04:00:00+00
207953,207954,1945218N16124,WP,MM,QUEENIE,17.89,117.3,60,0,1945,8,7,1945/08/07 04:00:00+00
207954,207955,1945218N16124,WP,MM,QUEENIE,17.93,116.9,65,0,1945,8,7,1945/08/07 04:00:00+00
207955,207956,1945218N16124,WP,MM,QUEENIE,18.0,116.5,70,0,1945,8,7,1945/08/07 04:00:00+00
207956,207957,1945218N16124,WP,MM,QUEENIE,18.17,116.06,75,0,1945,8,7,1945/08/07 04:00:00+00
207957,207958,1945218N16124,WP,MM,QUEENIE,18.38,115.65,80,0,1945,8,7,1945/08/07 04:00:00+00
207958,207959,1945218N16124,WP,MM,QUEENIE,18.54,115.38,75,0,1945,8,7,1945/08/07 04:00:00+00
207959,207960,1945218N16124,WP,MM,QUEENIE,18.7,115.1,70,0,1945,8,8,1945/08/08 04:00:00+00
207960,207961,1945218N16124,WP,MM,QUEENIE,18.85,114.67,65,0,1945,8,8,1945/08/08 04:00:00+00
207961,207962,1945218N16124,WP,MM,QUEENIE,19.03,114.22,60,0,1945,8,8,1945/08/08 04:00:00+00
207962,207963,1945218N16124,WP,MM,QUEENIE,19.26,113.83,60,0,1945,8,8,1945/08/08 04:00:00+00
207963,207964,1945218N16124,WP,MM,QUEENIE,19.5,113.5,60,0,1945,8,8,1945/08/08 04:00:00+00
207964,207965,1945218N16124,WP,MM,QUEENIE,19.66,113.23,60,0,1945,8,8,1945/08/08 04:00:00+00
207965,207966,1945218N16124,WP,MM,QUEENIE,19.81,112.99,60,0,1945,8,8,1945/08/08 04:00:00+00
207966,207967,1945218N16124,WP,MM,QUEENIE,19.99,112.74,60,0,1945,8,8,1945/08/08 04:00:00+00
207967,207968,1945218N16124,WP,MM,QUEENIE,20.2,112.5,60,0,1945,8,9,1945/08/09 04:00:00+00
207968,207969,1945218N16124,WP,MM,QUEENIE,20.44,112.25,55,0,1945,8,9,1945/08/09 04:00:00+00
207969,207970,1945218N16124,WP,MM,QUEENIE,20.67,112.0,50,0,1945,8,9,1945/08/09 04:00:00+00
207970,207971,1945218N16124,WP,MM,QUEENIE,20.85,111.75,45,0,1945,8,9,1945/08/09 04:00:00+00
