Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
445827,445828,1984282N11263,EP,MM,RACHEL,11.2,-97.0,25,0,1984,10,7,1984/10/07 04:00:00+00
445828,445829,1984282N11263,EP,MM,RACHEL,11.25,-97.5,25,0,1984,10,7,1984/10/07 04:00:00+00
445829,445830,1984282N11263,EP,MM,RACHEL,11.3,-98.0,25,0,1984,10,8,1984/10/08 04:00:00+00
445830,445831,1984282N11263,EP,MM,RACHEL,11.35,-98.5,25,0,1984,10,8,1984/10/08 04:00:00+00
445831,445832,1984282N11263,EP,MM,RACHEL,11.39,-99.0,25,0,1984,10,8,1984/10/08 04:00:00+00
445832,445833,1984282N11263,EP,MM,RACHEL,11.39,-99.5,25,0,1984,10,8,1984/10/08 04:00:00+00
445833,445834,1984282N11263,EP,MM,RACHEL,11.4,-100.0,25,0,1984,10,8,1984/10/08 04:00:00+00
445834,445835,1984282N11263,EP,MM,RACHEL,11.44,-100.5,25,0,1984,10,8,1984/10/08 04:00:00+00
445835,445836,1984282N11263,EP,MM,RACHEL,11.5,-101.02,25,0,1984,10,8,1984/10/08 04:00:00+00
445836,445837,1984282N11263,EP,MM,RACHEL,11.54,-101.57,27,0,1984,10,8,1984/10/08 04:00:00+00
445837,445838,1984282N11263,EP,MM,RACHEL,11.6,-102.1,30,0,1984,10,9,1984/10/09 04:00:00+00
445838,445839,1984282N11263,EP,MM,RACHEL,11.69,-102.57,32,0,1984,10,9,1984/10/09 04:00:00+00
445839,445840,1984282N11263,EP,MM,RACHEL,11.78,-103.0,35,0,1984,10,9,1984/10/09 04:00:00+00
445840,445841,1984282N11263,EP,MM,RACHEL,11.84,-103.42,40,0,1984,10,9,1984/10/09 04:00:00+00
445841,445842,1984282N11263,EP,MM,RACHEL,11.9,-103.8,45,0,1984,10,9,1984/10/09 04:00:00+00
445842,445843,1984282N11263,EP,MM,RACHEL,11.99,-104.16,47,0,1984,10,9,1984/10/09 04:00:00+00
445843,445844,1984282N11263,EP,MM,RACHEL,12.09,-104.5,50,0,1984,10,9,1984/10/09 04:00:00+00
445844,445845,1984282N11263,EP,MM,RACHEL,12.19,-104.85,50,0,1984,10,9,1984/10/09 04:00:00+00
445845,445846,1984282N11263,EP,MM,RACHEL,12.3,-105.2,50,0,1984,10,10,1984/10/10 04:00:00+00
445846,445847,1984282N11263,EP,MM,RACHEL,12.44,-105.55,52,0,1984,10,10,1984/10/10 04:00:00+00
445847,445848,1984282N11263,EP,MM,RACHEL,12.6,-105.91,55,0,1984,10,10,1984/10/10 04:00:00+00
445848,445849,1984282N11263,EP,MM,RACHEL,12.75,-106.31,55,0,1984,10,10,1984/10/10 04:00:00+00
445849,445850,1984282N11263,EP,MM,RACHEL,12.9,-106.7,55,0,1984,10,10,1984/10/10 04:00:00+00
445850,445851,1984282N11263,EP,MM,RACHEL,13.05,-107.01,55,0,1984,10,10,1984/10/10 04:00:00+00
445851,445852,1984282N11263,EP,MM,RACHEL,13.19,-107.33,55,0,1984,10,10,1984/10/10 04:00:00+00
445852,445853,1984282N11263,EP,MM,RACHEL,13.31,-107.75,55,0,1984,10,10,1984/10/10 04:00:00+00
445853,445854,1984282N11263,EP,MM,RACHEL,13.4,-108.2,55,0,1984,10,11,1984/10/11 04:00:00+00
445854,445855,1984282N11263,EP,MM,RACHEL,13.46,-108.64,55,0,1984,10,11,1984/10/11 04:00:00+00
445855,445856,1984282N11263,EP,MM,RACHEL,13.5,-109.08,55,0,1984,10,11,1984/10/11 04:00:00+00
445856,445857,1984282N11263,EP,MM,RACHEL,13.54,-109.48,52,0,1984,10,11,1984/10/11 04:00:00+00
