Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
386840,386841,1975321S07102,SI,WA,RAY,-7.0,102.2,0,0,1975,11,17,1975/11/17 05:00:00+00
386841,386842,1975321S07102,SI,WA,RAY,-7.1,101.84,0,0,1975,11,17,1975/11/17 05:00:00+00
386842,386843,1975321S07102,SI,WA,RAY,-7.19,101.54,0,0,1975,11,17,1975/11/17 05:00:00+00
386843,386844,1975321S07102,SI,WA,RAY,-7.34,101.1,0,0,1975,11,17,1975/11/17 05:00:00+00
386844,386845,1975321S07102,SI,WA,RAY,-7.37,100.9,0,0,1975,11,17,1975/11/17 05:00:00+00
386845,386846,1975321S07102,SI,WA,RAY,-7.48,100.76,0,0,1975,11,17,1975/11/17 05:00:00+00
386846,386847,1975321S07102,SI,WA,RAY,-7.63,100.54,0,0,1975,11,17,1975/11/17 05:00:00+00
386847,386848,1975321S07102,SI,WA,RAY,-7.77,100.16,0,0,1975,11,17,1975/11/17 05:00:00+00
386848,386849,1975321S07102,SI,WA,RAY,-7.92,99.75,0,0,1975,11,18,1975/11/18 05:00:00+00
386849,386850,1975321S07102,SI,WA,RAY,-8.03,99.54,0,0,1975,11,18,1975/11/18 05:00:00+00
386850,386851,1975321S07102,SI,WA,RAY,-8.14,99.34,0,0,1975,11,18,1975/11/18 05:00:00+00
386851,386852,1975321S07102,SI,WA,RAY,-8.26,99.2,0,0,1975,11,18,1975/11/18 05:00:00+00
386852,386853,1975321S07102,SI,WA,RAY,-8.38,99.03,0,0,1975,11,18,1975/11/18 05:00:00+00
386853,386854,1975321S07102,SI,WA,RAY,-8.5,98.81,0,0,1975,11,18,1975/11/18 05:00:00+00
386854,386855,1975321S07102,SI,WA,RAY,-8.63,98.59,0,0,1975,11,18,1975/11/18 05:00:00+00
386855,386856,1975321S07102,SI,WA,RAY,-8.79,98.37,0,0,1975,11,18,1975/11/18 05:00:00+00
386856,386857,1975321S07102,SI,WA,RAY,-8.97,98.17,0,0,1975,11,19,1975/11/19 05:00:00+00
386857,386858,1975321S07102,SI,WA,RAY,-9.13,97.96,0,0,1975,11,19,1975/11/19 05:00:00+00
386858,386859,1975321S07102,SI,WA,RAY,-9.3,97.59,0,0,1975,11,19,1975/11/19 05:00:00+00
386859,386860,1975321S07102,SI,WA,RAY,-9.49,97.25,0,0,1975,11,19,1975/11/19 05:00:00+00
386860,386861,1975321S07102,SI,WA,RAY,-9.68,96.98,0,0,1975,11,19,1975/11/19 05:00:00+00
386861,386862,1975321S07102,SI,WA,RAY,-9.86,96.95,0,0,1975,11,19,1975/11/19 05:00:00+00
386862,386863,1975321S07102,SI,WA,RAY,-10.03,96.99,0,0,1975,11,19,1975/11/19 05:00:00+00
386863,386864,1975321S07102,SI,WA,RAY,-10.11,97.04,0,0,1975,11,19,1975/11/19 05:00:00+00
386864,386865,1975321S07102,SI,WA,RAY,-10.11,97.01,0,0,1975,11,20,1975/11/20 05:00:00+00
386865,386866,1975321S07102,SI,WA,RAY,-10.02,96.92,0,0,1975,11,20,1975/11/20 05:00:00+00
386866,386867,1975321S07102,SI,WA,RAY,-9.9,96.57,0,0,1975,11,20,1975/11/20 05:00:00+00
386867,386868,1975321S07102,SI,WA,RAY,-9.98,96.38,0,0,1975,11,20,1975/11/20 05:00:00+00
386868,386869,1975321S07102,SI,WA,RAY,-10.07,96.13,0,0,1975,11,20,1975/11/20 05:00:00+00
386869,386870,1975321S07102,SI,WA,RAY,-10.15,95.87,0,0,1975,11,20,1975/11/20 05:00:00+00
386870,386871,1975321S07102,SI,WA,RAY,-10.2,95.57,0,0,1975,11,20,1975/11/20 05:00:00+00
386871,386872,1975321S07102,SI,WA,RAY,-10.23,95.31,0,0,1975,11,20,1975/11/20 05:00:00+00
386872,386873,1975321S07102,SI,WA,RAY,-10.27,95.07,0,0,1975,11,21,1975/11/21 05:00:00+00
386873,386874,1975321S07102,SI,WA,RAY,-10.39,94.91,0,0,1975,11,21,1975/11/21 05:00:00+00
386874,386875,1975321S07102,SI,WA,RAY,-10.57,94.7,0,0,1975,11,21,1975/11/21 05:00:00+00
386875,386876,1975321S07102,SI,WA,RAY,-10.75,94.52,0,0,1975,11,21,1975/11/21 05:00:00+00
386876,386877,1975321S07102,SI,WA,RAY,-10.93,94.37,0,0,1975,11,21,1975/11/21 05:00:00+00
