Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
219663,219664,1948307N13147,WP,MM,RITA,12.5,146.5,0,0,1948,11,1,1948/11/01 04:00:00+00
219664,219665,1948307N13147,WP,MM,RITA,12.5,145.87,0,0,1948,11,1,1948/11/01 04:00:00+00
219665,219666,1948307N13147,WP,MM,RITA,12.5,145.27,0,0,1948,11,1,1948/11/01 04:00:00+00
219666,219667,1948307N13147,WP,MM,RITA,12.5,144.7,0,0,1948,11,1,1948/11/01 04:00:00+00
219667,219668,1948307N13147,WP,MM,RITA,12.5,144.2,0,0,1948,11,2,1948/11/02 04:00:00+00
219668,219669,1948307N13147,WP,MM,RITA,12.5,143.77,0,0,1948,11,2,1948/11/02 04:00:00+00
219669,219670,1948307N13147,WP,MM,RITA,12.5,143.38,0,0,1948,11,2,1948/11/02 04:00:00+00
219670,219671,1948307N13147,WP,MM,RITA,12.53,143.01,0,0,1948,11,2,1948/11/02 04:00:00+00
219671,219672,1948307N13147,WP,MM,RITA,12.6,142.6,0,0,1948,11,2,1948/11/02 04:00:00+00
219672,219673,1948307N13147,WP,MM,RITA,12.71,142.1,0,0,1948,11,2,1948/11/02 04:00:00+00
219673,219674,1948307N13147,WP,MM,RITA,12.86,141.56,0,0,1948,11,2,1948/11/02 04:00:00+00
219674,219675,1948307N13147,WP,MM,RITA,13.02,141.02,0,0,1948,11,2,1948/11/02 04:00:00+00
219675,219676,1948307N13147,WP,MM,RITA,13.2,140.5,0,0,1948,11,3,1948/11/03 04:00:00+00
219676,219677,1948307N13147,WP,MM,RITA,13.36,140.02,0,0,1948,11,3,1948/11/03 04:00:00+00
219677,219678,1948307N13147,WP,MM,RITA,13.52,139.56,0,0,1948,11,3,1948/11/03 04:00:00+00
219678,219679,1948307N13147,WP,MM,RITA,13.7,139.12,0,0,1948,11,3,1948/11/03 04:00:00+00
219679,219680,1948307N13147,WP,MM,RITA,13.9,138.7,0,0,1948,11,3,1948/11/03 04:00:00+00
219680,219681,1948307N13147,WP,MM,RITA,14.12,138.29,0,0,1948,11,3,1948/11/03 04:00:00+00
219681,219682,1948307N13147,WP,MM,RITA,14.37,137.89,0,0,1948,11,3,1948/11/03 04:00:00+00
219682,219683,1948307N13147,WP,MM,RITA,14.63,137.5,0,0,1948,11,3,1948/11/03 04:00:00+00
219683,219684,1948307N13147,WP,MM,RITA,14.9,137.1,0,0,1948,11,4,1948/11/04 04:00:00+00
219684,219685,1948307N13147,WP,MM,RITA,15.18,136.69,0,0,1948,11,4,1948/11/04 04:00:00+00
219685,219686,1948307N13147,WP,MM,RITA,15.61,136.46,40,0,1948,11,4,1948/11/04 04:00:00+00
219686,219687,1948307N13147,WP,MM,RITA,15.9,135.78,42,0,1948,11,4,1948/11/04 04:00:00+00
219687,219688,1948307N13147,WP,MM,RITA,16.14,134.99,45,0,1948,11,4,1948/11/04 04:00:00+00
219688,219689,1948307N13147,WP,MM,RITA,16.37,134.17,47,0,1948,11,4,1948/11/04 04:00:00+00
219689,219690,1948307N13147,WP,MM,RITA,16.62,133.43,50,0,1948,11,4,1948/11/04 04:00:00+00
219690,219691,1948307N13147,WP,MM,RITA,16.93,132.67,50,0,1948,11,4,1948/11/04 04:00:00+00
219691,219692,1948307N13147,WP,MM,RITA,17.23,132.05,50,0,1948,11,5,1948/11/05 04:00:00+00
219692,219693,1948307N13147,WP,MM,RITA,17.44,131.71,52,0,1948,11,5,1948/11/05 04:00:00+00
219693,219694,1948307N13147,WP,MM,RITA,17.6,131.5,55,0,1948,11,5,1948/11/05 04:00:00+00
219694,219695,1948307N13147,WP,MM,RITA,17.71,131.21,55,0,1948,11,5,1948/11/05 04:00:00+00
219695,219696,1948307N13147,WP,MM,RITA,17.82,130.95,55,0,1948,11,5,1948/11/05 04:00:00+00
219696,219697,1948307N13147,WP,MM,RITA,18.0,130.75,55,0,1948,11,5,1948/11/05 04:00:00+00
219697,219698,1948307N13147,WP,MM,RITA,18.17,130.56,55,0,1948,11,5,1948/11/05 04:00:00+00
219698,219699,1948307N13147,WP,MM,RITA,18.27,130.36,55,0,1948,11,5,1948/11/05 04:00:00+00
219699,219700,1948307N13147,WP,MM,RITA,18.35,130.12,55,0,1948,11,6,1948/11/06 04:00:00+00
219700,219701,1948307N13147,WP,MM,RITA,18.45,129.85,55,0,1948,11,6,1948/11/06 04:00:00+00
219701,219702,1948307N13147,WP,MM,RITA,18.55,129.54,55,0,1948,11,6,1948/11/06 04:00:00+00
219702,219703,1948307N13147,WP,MM,RITA,18.64,129.23,55,0,1948,11,6,1948/11/06 04:00:00+00
219703,219704,1948307N13147,WP,MM,RITA,18.73,128.9,55,0,1948,11,6,1948/11/06 04:00:00+00
219704,219705,1948307N13147,WP,MM,RITA,18.78,128.53,57,0,1948,11,6,1948/11/06 04:00:00+00
219705,219706,1948307N13147,WP,MM,RITA,18.83,128.17,60,0,1948,11,6,1948/11/06 04:00:00+00
219706,219707,1948307N13147,WP,MM,RITA,18.88,127.83,70,0,1948,11,6,1948/11/06 04:00:00+00
219707,219708,1948307N13147,WP,MM,RITA,18.93,127.5,80,0,1948,11,7,1948/11/07 05:00:00+00
219708,219709,1948307N13147,WP,MM,RITA,18.94,127.18,90,0,1948,11,7,1948/11/07 05:00:00+00
219709,219710,1948307N13147,WP,MM,RITA,18.95,126.83,100,0,1948,11,7,1948/11/07 05:00:00+00
219710,219711,1948307N13147,WP,MM,RITA,18.96,126.42,100,0,1948,11,7,1948/11/07 05:00:00+00
219711,219712,1948307N13147,WP,MM,RITA,18.98,126.0,100,0,1948,11,7,1948/11/07 05:00:00+00
219712,219713,1948307N13147,WP,MM,RITA,19.0,125.67,95,0,1948,11,7,1948/11/07 05:00:00+00
219713,219714,1948307N13147,WP,MM,RITA,19.03,125.36,90,0,1948,11,7,1948/11/07 05:00:00+00
219714,219715,1948307N13147,WP,MM,RITA,19.05,125.0,87,0,1948,11,7,1948/11/07 05:00:00+00
219715,219716,1948307N13147,WP,MM,RITA,19.07,124.62,85,0,1948,11,8,1948/11/08 05:00:00+00
219716,219717,1948307N13147,WP,MM,RITA,19.08,124.33,82,0,1948,11,8,1948/11/08 05:00:00+00
219717,219718,1948307N13147,WP,MM,RITA,19.09,123.95,80,0,1948,11,8,1948/11/08 05:00:00+00
219718,219719,1948307N13147,WP,MM,RITA,19.12,123.38,72,0,1948,11,8,1948/11/08 05:00:00+00
219719,219720,1948307N13147,WP,MM,RITA,19.18,122.75,65,0,1948,11,8,1948/11/08 05:00:00+00
219720,219721,1948307N13147,WP,MM,RITA,19.26,122.22,62,0,1948,11,8,1948/11/08 05:00:00+00
219721,219722,1948307N13147,WP,MM,RITA,19.36,121.69,60,0,1948,11,8,1948/11/08 05:00:00+00
219722,219723,1948307N13147,WP,MM,RITA,19.45,121.13,57,0,1948,11,8,1948/11/08 05:00:00+00
219723,219724,1948307N13147,WP,MM,RITA,19.55,120.5,55,0,1948,11,9,1948/11/09 05:00:00+00
219724,219725,1948307N13147,WP,MM,RITA,19.69,119.72,50,0,1948,11,9,1948/11/09 05:00:00+00
219725,219726,1948307N13147,WP,MM,RITA,19.82,118.99,45,0,1948,11,9,1948/11/09 05:00:00+00
219726,219727,1948307N13147,WP,MM,RITA,19.93,118.49,45,0,1948,11,9,1948/11/09 05:00:00+00
219727,219728,1948307N13147,WP,MM,RITA,20.02,118.1,45,0,1948,11,9,1948/11/09 05:00:00+00
219728,219729,1948307N13147,WP,MM,RITA,20.17,117.71,47,0,1948,11,9,1948/11/09 05:00:00+00
219729,219730,1948307N13147,WP,MM,RITA,20.31,117.34,50,0,1948,11,9,1948/11/09 05:00:00+00
219730,219731,1948307N13147,WP,MM,RITA,20.41,116.96,50,0,1948,11,9,1948/11/09 05:00:00+00
219731,219732,1948307N13147,WP,MM,RITA,20.47,116.59,50,0,1948,11,10,1948/11/10 05:00:00+00
219732,219733,1948307N13147,WP,MM,RITA,20.52,116.19,47,0,1948,11,10,1948/11/10 05:00:00+00
219733,219734,1948307N13147,WP,MM,RITA,20.5,115.77,45,0,1948,11,10,1948/11/10 05:00:00+00
219734,219735,1948307N13147,WP,MM,RITA,20.38,115.37,42,0,1948,11,10,1948/11/10 05:00:00+00
219735,219736,1948307N13147,WP,MM,RITA,20.23,114.8,40,0,1948,11,10,1948/11/10 05:00:00+00
219736,219737,1948307N13147,WP,MM,RITA,20.13,114.01,35,0,1948,11,10,1948/11/10 05:00:00+00
219737,219738,1948307N13147,WP,MM,RITA,19.97,113.12,30,0,1948,11,10,1948/11/10 05:00:00+00
219738,219739,1948307N13147,WP,MM,RITA,19.67,112.28,25,0,1948,11,10,1948/11/10 05:00:00+00
242048,242049,1953235N10162,WP,MM,RITA,10.4,162.0,0,0,1953,8,23,1953/08/23 04:00:00+00
242049,242050,1953235N10162,WP,MM,RITA,10.43,161.23,0,0,1953,8,23,1953/08/23 04:00:00+00
242050,242051,1953235N10162,WP,MM,RITA,10.07,160.79,35,0,1953,8,23,1953/08/23 04:00:00+00
242051,242052,1953235N10162,WP,MM,RITA,10.11,160.17,35,0,1953,8,23,1953/08/23 04:00:00+00
242052,242053,1953235N10162,WP,MM,RITA,10.21,159.58,35,0,1953,8,23,1953/08/23 04:00:00+00
242053,242054,1953235N10162,WP,MM,RITA,10.41,158.97,35,0,1953,8,23,1953/08/23 04:00:00+00
242054,242055,1953235N10162,WP,MM,RITA,10.63,158.33,35,0,1953,8,24,1953/08/24 04:00:00+00
242055,242056,1953235N10162,WP,MM,RITA,10.8,157.74,40,0,1953,8,24,1953/08/24 04:00:00+00
242056,242057,1953235N10162,WP,MM,RITA,10.94,157.21,45,0,1953,8,24,1953/08/24 04:00:00+00
242057,242058,1953235N10162,WP,MM,RITA,11.11,156.75,45,0,1953,8,24,1953/08/24 04:00:00+00
242058,242059,1953235N10162,WP,MM,RITA,11.3,156.32,45,0,1953,8,24,1953/08/24 04:00:00+00
242059,242060,1953235N10162,WP,MM,RITA,11.52,155.82,55,0,1953,8,24,1953/08/24 04:00:00+00
242060,242061,1953235N10162,WP,MM,RITA,11.73,155.37,65,0,1953,8,24,1953/08/24 04:00:00+00
242061,242062,1953235N10162,WP,MM,RITA,11.92,155.06,72,0,1953,8,24,1953/08/24 04:00:00+00
242062,242063,1953235N10162,WP,MM,RITA,12.12,154.8,80,0,1953,8,25,1953/08/25 04:00:00+00
242063,242064,1953235N10162,WP,MM,RITA,12.37,154.5,80,0,1953,8,25,1953/08/25 04:00:00+00
242064,242065,1953235N10162,WP,MM,RITA,12.67,154.13,80,0,1953,8,25,1953/08/25 04:00:00+00
242065,242066,1953235N10162,WP,MM,RITA,12.98,153.67,80,0,1953,8,25,1953/08/25 04:00:00+00
242066,242067,1953235N10162,WP,MM,RITA,13.32,153.17,80,0,1953,8,25,1953/08/25 04:00:00+00
242067,242068,1953235N10162,WP,MM,RITA,13.71,152.7,90,0,1953,8,25,1953/08/25 04:00:00+00
242068,242069,1953235N10162,WP,MM,RITA,14.13,152.2,100,0,1953,8,25,1953/08/25 04:00:00+00
242069,242070,1953235N10162,WP,MM,RITA,14.55,151.59,100,0,1953,8,25,1953/08/25 04:00:00+00
242070,242071,1953235N10162,WP,MM,RITA,14.9,151.03,100,0,1953,8,26,1953/08/26 04:00:00+00
242071,242072,1953235N10162,WP,MM,RITA,15.12,150.66,100,0,1953,8,26,1953/08/26 04:00:00+00
242072,242073,1953235N10162,WP,MM,RITA,15.31,150.38,100,0,1953,8,26,1953/08/26 04:00:00+00
242073,242074,1953235N10162,WP,MM,RITA,15.54,150.07,100,0,1953,8,26,1953/08/26 04:00:00+00
242074,242075,1953235N10162,WP,MM,RITA,15.79,149.79,100,0,1953,8,26,1953/08/26 04:00:00+00
242075,242076,1953235N10162,WP,MM,RITA,16.01,149.57,100,0,1953,8,26,1953/08/26 04:00:00+00
242076,242077,1953235N10162,WP,MM,RITA,16.27,149.3,100,0,1953,8,26,1953/08/26 04:00:00+00
242077,242078,1953235N10162,WP,MM,RITA,16.62,148.9,100,0,1953,8,26,1953/08/26 04:00:00+00
242078,242079,1953235N10162,WP,MM,RITA,17.01,148.31,100,0,1953,8,27,1953/08/27 04:00:00+00
242079,242080,1953235N10162,WP,MM,RITA,17.39,147.55,90,0,1953,8,27,1953/08/27 04:00:00+00
242080,242081,1953235N10162,WP,MM,RITA,17.77,146.69,80,0,1953,8,27,1953/08/27 04:00:00+00
242081,242082,1953235N10162,WP,MM,RITA,18.17,145.85,80,0,1953,8,27,1953/08/27 04:00:00+00
242082,242083,1953235N10162,WP,MM,RITA,18.54,145.0,80,0,1953,8,27,1953/08/27 04:00:00+00
242083,242084,1953235N10162,WP,MM,RITA,18.87,144.13,82,0,1953,8,27,1953/08/27 04:00:00+00
242084,242085,1953235N10162,WP,MM,RITA,19.14,143.21,85,0,1953,8,27,1953/08/27 04:00:00+00
242085,242086,1953235N10162,WP,MM,RITA,19.35,142.24,87,0,1953,8,27,1953/08/27 04:00:00+00
242086,242087,1953235N10162,WP,MM,RITA,19.53,141.23,90,0,1953,8,28,1953/08/28 04:00:00+00
242087,242088,1953235N10162,WP,MM,RITA,19.71,140.2,95,0,1953,8,28,1953/08/28 04:00:00+00
242088,242089,1953235N10162,WP,MM,RITA,19.85,139.15,100,0,1953,8,28,1953/08/28 04:00:00+00
242089,242090,1953235N10162,WP,MM,RITA,19.93,138.1,100,0,1953,8,28,1953/08/28 04:00:00+00
242090,242091,1953235N10162,WP,MM,RITA,20.0,137.06,100,0,1953,8,28,1953/08/28 04:00:00+00
242091,242092,1953235N10162,WP,MM,RITA,20.09,136.01,112,0,1953,8,28,1953/08/28 04:00:00+00
