Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
655264,655265,2016138N10081,NI,BB,ROANU,10.0,80.8,25,1001,2016,5,17,2016/05/17 04:00:00+00
655265,655266,2016138N10081,NI,BB,ROANU,10.48,81.0,25,1000,2016,5,17,2016/05/17 04:00:00+00
655266,655267,2016138N10081,NI,BB,ROANU,10.82,81.08,25,1000,2016,5,17,2016/05/17 04:00:00+00
655267,655268,2016138N10081,NI,BB,ROANU,11.2,81.12,27,1000,2016,5,17,2016/05/17 04:00:00+00
655268,655269,2016138N10081,NI,BB,ROANU,11.65,81.1,30,1000,2016,5,17,2016/05/17 04:00:00+00
655269,655270,2016138N10081,NI,BB,ROANU,12.06,81.12,32,998,2016,5,17,2016/05/17 04:00:00+00
655270,655271,2016138N10081,NI,BB,ROANU,12.45,81.15,35,996,2016,5,17,2016/05/17 04:00:00+00
655271,655272,2016138N10081,NI,BB,ROANU,12.78,81.16,37,994,2016,5,17,2016/05/17 04:00:00+00
655272,655273,2016138N10081,NI,BB,ROANU,13.1,81.2,40,993,2016,5,18,2016/05/18 04:00:00+00
655273,655274,2016138N10081,NI,BB,ROANU,13.44,81.3,42,991,2016,5,18,2016/05/18 04:00:00+00
655274,655275,2016138N10081,NI,BB,ROANU,13.85,81.3,45,989,2016,5,18,2016/05/18 04:00:00+00
655275,655276,2016138N10081,NI,BB,ROANU,14.17,81.3,45,989,2016,5,18,2016/05/18 04:00:00+00
655276,655277,2016138N10081,NI,BB,ROANU,14.4,81.3,45,989,2016,5,18,2016/05/18 04:00:00+00
655277,655278,2016138N10081,NI,BB,ROANU,14.53,81.28,45,989,2016,5,18,2016/05/18 04:00:00+00
655278,655279,2016138N10081,NI,BB,ROANU,14.65,81.3,45,989,2016,5,18,2016/05/18 04:00:00+00
655279,655280,2016138N10081,NI,BB,ROANU,14.85,81.41,45,989,2016,5,18,2016/05/18 04:00:00+00
655280,655281,2016138N10081,NI,BB,ROANU,15.1,81.6,45,989,2016,5,19,2016/05/19 04:00:00+00
655281,655282,2016138N10081,NI,BB,ROANU,15.37,81.83,47,987,2016,5,19,2016/05/19 04:00:00+00
655282,655283,2016138N10081,NI,BB,ROANU,15.4,82.0,50,985,2016,5,19,2016/05/19 04:00:00+00
655283,655284,2016138N10081,NI,BB,ROANU,15.55,82.22,50,985,2016,5,19,2016/05/19 04:00:00+00
655284,655285,2016138N10081,NI,BB,ROANU,15.8,82.5,50,985,2016,5,19,2016/05/19 04:00:00+00
655285,655286,2016138N10081,NI,BB,ROANU,16.13,82.79,47,987,2016,5,19,2016/05/19 04:00:00+00
655286,655287,2016138N10081,NI,BB,ROANU,16.5,83.15,45,989,2016,5,19,2016/05/19 04:00:00+00
655287,655288,2016138N10081,NI,BB,ROANU,16.95,83.46,45,989,2016,5,19,2016/05/19 04:00:00+00
655288,655289,2016138N10081,NI,BB,ROANU,17.4,83.95,45,989,2016,5,20,2016/05/20 04:00:00+00
655289,655290,2016138N10081,NI,BB,ROANU,18.1,84.66,47,987,2016,5,20,2016/05/20 04:00:00+00
655290,655291,2016138N10081,NI,BB,ROANU,18.55,85.15,50,985,2016,5,20,2016/05/20 04:00:00+00
655291,655292,2016138N10081,NI,BB,ROANU,18.86,85.64,52,983,2016,5,20,2016/05/20 04:00:00+00
655292,655293,2016138N10081,NI,BB,ROANU,19.4,86.7,55,982,2016,5,20,2016/05/20 04:00:00+00
655293,655294,2016138N10081,NI,BB,ROANU,19.81,87.31,55,982,2016,5,20,2016/05/20 04:00:00+00
655294,655295,2016138N10081,NI,BB,ROANU,20.2,87.95,55,982,2016,5,20,2016/05/20 04:00:00+00
655295,655296,2016138N10081,NI,BB,ROANU,20.51,88.7,57,980,2016,5,20,2016/05/20 04:00:00+00
655296,655297,2016138N10081,NI,BB,ROANU,20.85,89.4,60,978,2016,5,21,2016/05/21 04:00:00+00
655297,655298,2016138N10081,NI,BB,ROANU,21.38,90.37,57,980,2016,5,21,2016/05/21 04:00:00+00
655298,655299,2016138N10081,NI,BB,ROANU,21.94,91.0,55,982,2016,5,21,2016/05/21 04:00:00+00
655299,655300,2016138N10081,NI,BB,ROANU,22.62,91.5,47,987,2016,5,21,2016/05/21 04:00:00+00
655300,655301,2016138N10081,NI,BB,ROANU,23.0,92.0,40,993,2016,5,21,2016/05/21 04:00:00+00
655301,655302,2016138N10081,NI,BB,ROANU,23.5,93.0,0,0,2016,5,21,2016/05/21 04:00:00+00
655302,655303,2016138N10081,NI,BB,ROANU,24.0,94.0,0,0,2016,5,21,2016/05/21 04:00:00+00
655303,655304,2016138N10081,NI,BB,ROANU,24.3,94.52,0,0,2016,5,21,2016/05/21 04:00:00+00
