Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
397135,397136,1977106S12202,SP,MM,ROBERT,-12.0,-158.0,25,0,1977,4,16,1977/04/16 04:00:00+00
397136,397137,1977106S12202,SP,MM,ROBERT,-11.94,-157.32,27,0,1977,4,16,1977/04/16 04:00:00+00
397137,397138,1977106S12202,SP,MM,ROBERT,-11.91,-156.68,30,0,1977,4,16,1977/04/16 04:00:00+00
397138,397139,1977106S12202,SP,MM,ROBERT,-11.93,-156.13,32,0,1977,4,16,1977/04/16 04:00:00+00
397139,397140,1977106S12202,SP,MM,ROBERT,-12.06,-155.66,35,0,1977,4,16,1977/04/16 04:00:00+00
397140,397141,1977106S12202,SP,MM,ROBERT,-12.19,-155.38,35,0,1977,4,16,1977/04/16 04:00:00+00
397141,397142,1977106S12202,SP,MM,ROBERT,-12.33,-155.26,35,0,1977,4,16,1977/04/16 04:00:00+00
397142,397143,1977106S12202,SP,MM,ROBERT,-12.48,-155.22,35,0,1977,4,16,1977/04/16 04:00:00+00
397143,397144,1977106S12202,SP,MM,ROBERT,-12.6,-155.2,35,0,1977,4,17,1977/04/17 04:00:00+00
397144,397145,1977106S12202,SP,MM,ROBERT,-12.69,-155.2,35,0,1977,4,17,1977/04/17 04:00:00+00
397145,397146,1977106S12202,SP,MM,ROBERT,-12.78,-155.22,35,0,1977,4,17,1977/04/17 04:00:00+00
397146,397147,1977106S12202,SP,MM,ROBERT,-12.89,-155.27,35,0,1977,4,17,1977/04/17 04:00:00+00
397147,397148,1977106S12202,SP,MM,ROBERT,-13.0,-155.36,35,0,1977,4,17,1977/04/17 04:00:00+00
397148,397149,1977106S12202,SP,MM,ROBERT,-13.11,-155.52,35,0,1977,4,17,1977/04/17 04:00:00+00
397149,397150,1977106S12202,SP,MM,ROBERT,-13.23,-155.71,35,0,1977,4,17,1977/04/17 04:00:00+00
397150,397151,1977106S12202,SP,MM,ROBERT,-13.37,-155.9,37,0,1977,4,17,1977/04/17 04:00:00+00
397151,397152,1977106S12202,SP,MM,ROBERT,-13.54,-156.1,40,0,1977,4,18,1977/04/18 04:00:00+00
397152,397153,1977106S12202,SP,MM,ROBERT,-13.75,-156.33,40,0,1977,4,18,1977/04/18 04:00:00+00
