Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
349524,349525,1970364S15165,SP,MM,ROSIE,-14.76,164.96,0,0,1970,12,30,1970/12/30 05:00:00+00
349525,349526,1970364S15165,SP,MM,ROSIE,-14.92,165.12,0,0,1970,12,30,1970/12/30 05:00:00+00
349526,349527,1970364S15165,SP,MM,ROSIE,-15.09,165.27,0,0,1970,12,30,1970/12/30 05:00:00+00
349527,349528,1970364S15165,SP,MM,ROSIE,-15.26,165.4,0,0,1970,12,30,1970/12/30 05:00:00+00
349528,349529,1970364S15165,SP,MM,ROSIE,-15.42,165.44,0,0,1970,12,30,1970/12/30 05:00:00+00
349529,349530,1970364S15165,SP,MM,ROSIE,-15.58,165.36,0,0,1970,12,30,1970/12/30 05:00:00+00
349530,349531,1970364S15165,SP,MM,ROSIE,-15.74,165.22,0,0,1970,12,30,1970/12/30 05:00:00+00
349531,349532,1970364S15165,SP,MM,ROSIE,-15.92,165.04,0,0,1970,12,30,1970/12/30 05:00:00+00
349532,349533,1970364S15165,SP,MM,ROSIE,-16.12,164.94,0,0,1970,12,31,1970/12/31 05:00:00+00
349533,349534,1970364S15165,SP,MM,ROSIE,-16.36,165.08,0,0,1970,12,31,1970/12/31 05:00:00+00
349534,349535,1970364S15165,SP,MM,ROSIE,-16.63,165.31,0,0,1970,12,31,1970/12/31 05:00:00+00
349535,349536,1970364S15165,SP,MM,ROSIE,-16.88,165.49,0,0,1970,12,31,1970/12/31 05:00:00+00
349536,349537,1970364S15165,SP,MM,ROSIE,-17.12,165.6,0,0,1970,12,31,1970/12/31 05:00:00+00
349537,349538,1970364S15165,SP,MM,ROSIE,-17.32,165.54,0,0,1970,12,31,1970/12/31 05:00:00+00
349538,349539,1970364S15165,SP,MM,ROSIE,-17.51,165.41,0,0,1970,12,31,1970/12/31 05:00:00+00
349539,349540,1970364S15165,SP,MM,ROSIE,-17.72,165.28,0,0,1970,12,31,1970/12/31 05:00:00+00
349540,349541,1970364S15165,SP,MM,ROSIE,-17.98,165.16,0,0,1971,1,1,1971/01/01 05:00:00+00
349541,349542,1970364S15165,SP,MM,ROSIE,-18.32,165.1,0,0,1971,1,1,1971/01/01 05:00:00+00
349542,349543,1970364S15165,SP,MM,ROSIE,-18.7,165.06,0,0,1971,1,1,1971/01/01 05:00:00+00
349543,349544,1970364S15165,SP,MM,ROSIE,-19.1,165.02,0,0,1971,1,1,1971/01/01 05:00:00+00
349544,349545,1970364S15165,SP,MM,ROSIE,-19.48,165.0,0,0,1971,1,1,1971/01/01 05:00:00+00
349545,349546,1970364S15165,SP,MM,ROSIE,-19.77,164.99,0,0,1971,1,1,1971/01/01 05:00:00+00
349546,349547,1970364S15165,SP,MM,ROSIE,-20.06,165.0,0,0,1971,1,1,1971/01/01 05:00:00+00
349547,349548,1970364S15165,SP,MM,ROSIE,-20.36,165.05,0,0,1971,1,1,1971/01/01 05:00:00+00
349548,349549,1970364S15165,SP,MM,ROSIE,-20.78,165.12,0,0,1971,1,2,1971/01/02 05:00:00+00
349549,349550,1970364S15165,SP,MM,ROSIE,-21.38,165.19,0,0,1971,1,2,1971/01/02 05:00:00+00
349550,349551,1970364S15165,SP,MM,ROSIE,-22.11,165.28,0,0,1971,1,2,1971/01/02 05:00:00+00
