Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
460756,460757,1986289N10267,EP,MM,ROSLYN,10.2,-92.7,25,0,1986,10,15,1986/10/15 04:00:00+00
460757,460758,1986289N10267,EP,MM,ROSLYN,10.24,-93.42,27,0,1986,10,15,1986/10/15 04:00:00+00
460758,460759,1986289N10267,EP,MM,ROSLYN,10.3,-94.1,30,0,1986,10,16,1986/10/16 04:00:00+00
460759,460760,1986289N10267,EP,MM,ROSLYN,10.39,-94.71,32,0,1986,10,16,1986/10/16 04:00:00+00
460760,460761,1986289N10267,EP,MM,ROSLYN,10.5,-95.34,35,0,1986,10,16,1986/10/16 04:00:00+00
460761,460762,1986289N10267,EP,MM,ROSLYN,10.6,-96.07,37,0,1986,10,16,1986/10/16 04:00:00+00
460762,460763,1986289N10267,EP,MM,ROSLYN,10.7,-96.8,40,0,1986,10,16,1986/10/16 04:00:00+00
460763,460764,1986289N10267,EP,MM,ROSLYN,10.75,-97.42,42,0,1986,10,16,1986/10/16 04:00:00+00
460764,460765,1986289N10267,EP,MM,ROSLYN,10.81,-98.05,45,0,1986,10,16,1986/10/16 04:00:00+00
460765,460766,1986289N10267,EP,MM,ROSLYN,10.89,-98.81,47,0,1986,10,16,1986/10/16 04:00:00+00
460766,460767,1986289N10267,EP,MM,ROSLYN,11.0,-99.6,50,0,1986,10,17,1986/10/17 04:00:00+00
460767,460768,1986289N10267,EP,MM,ROSLYN,11.15,-100.3,57,0,1986,10,17,1986/10/17 04:00:00+00
460768,460769,1986289N10267,EP,MM,ROSLYN,11.3,-101.0,65,0,1986,10,17,1986/10/17 04:00:00+00
460769,460770,1986289N10267,EP,MM,ROSLYN,11.41,-101.79,70,0,1986,10,17,1986/10/17 04:00:00+00
460770,460771,1986289N10267,EP,MM,ROSLYN,11.5,-102.6,75,0,1986,10,17,1986/10/17 04:00:00+00
460771,460772,1986289N10267,EP,MM,ROSLYN,11.6,-103.37,80,0,1986,10,17,1986/10/17 04:00:00+00
