Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
635593,635594,2013052S13126,SI,WA,RUSTY,-13.03,125.89,0,0,2013,2,21,2013/02/21 05:00:00+00
635594,635595,2013052S13126,SI,WA,RUSTY,-13.19,125.24,0,0,2013,2,21,2013/02/21 05:00:00+00
635595,635596,2013052S13126,SI,WA,RUSTY,-13.35,124.59,0,0,2013,2,21,2013/02/21 05:00:00+00
635596,635597,2013052S13126,SI,WA,RUSTY,-13.51,123.94,0,0,2013,2,21,2013/02/21 05:00:00+00
635597,635598,2013052S13126,SI,WA,RUSTY,-13.68,123.3,0,0,2013,2,21,2013/02/21 05:00:00+00
635598,635599,2013052S13126,SI,WA,RUSTY,-14.02,122.46,0,0,2013,2,21,2013/02/21 05:00:00+00
635599,635600,2013052S13126,SI,WA,RUSTY,-14.0,122.0,0,0,2013,2,22,2013/02/22 05:00:00+00
635600,635601,2013052S13126,SI,WA,RUSTY,-13.3,122.3,0,0,2013,2,22,2013/02/22 05:00:00+00
635601,635602,2013052S13126,SI,WA,RUSTY,-14.4,121.12,0,0,2013,2,22,2013/02/22 05:00:00+00
635602,635603,2013052S13126,SI,WA,RUSTY,-13.7,121.1,0,0,2013,2,22,2013/02/22 05:00:00+00
635603,635604,2013052S13126,SI,WA,RUSTY,-14.8,120.24,0,0,2013,2,22,2013/02/22 05:00:00+00
635604,635605,2013052S13126,SI,WA,RUSTY,-15.19,119.71,0,0,2013,2,22,2013/02/22 05:00:00+00
635605,635606,2013052S13126,SI,WA,RUSTY,-15.21,119.36,0,0,2013,2,22,2013/02/22 05:00:00+00
635606,635607,2013052S13126,SI,WA,RUSTY,-15.42,118.88,0,0,2013,2,22,2013/02/22 05:00:00+00
635607,635608,2013052S13126,SI,WA,RUSTY,-15.51,118.48,25,1004,2013,2,23,2013/02/23 05:00:00+00
635608,635609,2013052S13126,SI,WA,RUSTY,-15.63,118.35,25,1004,2013,2,23,2013/02/23 05:00:00+00
635609,635610,2013052S13126,SI,WA,RUSTY,-15.75,118.29,25,1004,2013,2,23,2013/02/23 05:00:00+00
635610,635611,2013052S13126,SI,WA,RUSTY,-15.87,118.21,25,1004,2013,2,23,2013/02/23 05:00:00+00
635611,635612,2013052S13126,SI,WA,RUSTY,-16.04,118.16,25,1004,2013,2,23,2013/02/23 05:00:00+00
635612,635613,2013052S13126,SI,WA,RUSTY,-16.25,118.11,27,999,2013,2,23,2013/02/23 05:00:00+00
635613,635614,2013052S13126,SI,WA,RUSTY,-16.47,118.1,30,995,2013,2,23,2013/02/23 05:00:00+00
635614,635615,2013052S13126,SI,WA,RUSTY,-16.68,118.12,30,997,2013,2,23,2013/02/23 05:00:00+00
635615,635616,2013052S13126,SI,WA,RUSTY,-16.74,118.13,30,998,2013,2,23,2013/02/23 05:00:00+00
