Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
248006,248007,1954314N11152,WP,MM,SALLY,10.8,151.8,25,0,1954,11,10,1954/11/10 05:00:00+00
248007,248008,1954314N11152,WP,MM,SALLY,10.85,151.05,25,0,1954,11,10,1954/11/10 05:00:00+00
248008,248009,1954314N11152,WP,MM,SALLY,10.91,150.32,25,0,1954,11,10,1954/11/10 05:00:00+00
248009,248010,1954314N11152,WP,MM,SALLY,11.0,149.62,25,0,1954,11,10,1954/11/10 05:00:00+00
248010,248011,1954314N11152,WP,MM,SALLY,11.1,148.9,25,0,1954,11,10,1954/11/10 05:00:00+00
248011,248012,1954314N11152,WP,MM,SALLY,11.2,148.11,25,0,1954,11,10,1954/11/10 05:00:00+00
248012,248013,1954314N11152,WP,MM,SALLY,11.3,147.31,25,0,1954,11,10,1954/11/10 05:00:00+00
248013,248014,1954314N11152,WP,MM,SALLY,11.4,146.54,25,0,1954,11,10,1954/11/10 05:00:00+00
248014,248015,1954314N11152,WP,MM,SALLY,11.5,145.8,25,0,1954,11,11,1954/11/11 05:00:00+00
248015,248016,1954314N11152,WP,MM,SALLY,11.6,145.09,25,0,1954,11,11,1954/11/11 05:00:00+00
248016,248017,1954314N11152,WP,MM,SALLY,11.69,144.38,25,0,1954,11,11,1954/11/11 05:00:00+00
248017,248018,1954314N11152,WP,MM,SALLY,11.74,143.6,37,0,1954,11,11,1954/11/11 05:00:00+00
248018,248019,1954314N11152,WP,MM,SALLY,11.8,142.8,50,0,1954,11,11,1954/11/11 05:00:00+00
248019,248020,1954314N11152,WP,MM,SALLY,11.89,142.0,50,0,1954,11,11,1954/11/11 05:00:00+00
248020,248021,1954314N11152,WP,MM,SALLY,11.99,141.21,50,0,1954,11,11,1954/11/11 05:00:00+00
248021,248022,1954314N11152,WP,MM,SALLY,12.05,140.45,50,0,1954,11,11,1954/11/11 05:00:00+00
248022,248023,1954314N11152,WP,MM,SALLY,12.1,139.7,50,0,1954,11,12,1954/11/12 05:00:00+00
248023,248024,1954314N11152,WP,MM,SALLY,12.15,138.95,62,0,1954,11,12,1954/11/12 05:00:00+00
248024,248025,1954314N11152,WP,MM,SALLY,12.2,138.21,75,0,1954,11,12,1954/11/12 05:00:00+00
248025,248026,1954314N11152,WP,MM,SALLY,12.25,137.51,75,0,1954,11,12,1954/11/12 05:00:00+00
248026,248027,1954314N11152,WP,MM,SALLY,12.3,136.8,75,0,1954,11,12,1954/11/12 05:00:00+00
248027,248028,1954314N11152,WP,MM,SALLY,12.35,136.01,80,0,1954,11,12,1954/11/12 05:00:00+00
248028,248029,1954314N11152,WP,MM,SALLY,12.47,135.27,85,0,1954,11,12,1954/11/12 05:00:00+00
248029,248030,1954314N11152,WP,MM,SALLY,12.57,134.47,92,0,1954,11,12,1954/11/12 05:00:00+00
248030,248031,1954314N11152,WP,MM,SALLY,12.61,133.63,100,0,1954,11,13,1954/11/13 05:00:00+00
248031,248032,1954314N11152,WP,MM,SALLY,12.61,132.79,112,0,1954,11,13,1954/11/13 05:00:00+00
248032,248033,1954314N11152,WP,MM,SALLY,12.59,132.07,125,0,1954,11,13,1954/11/13 05:00:00+00
248033,248034,1954314N11152,WP,MM,SALLY,12.52,131.51,125,0,1954,11,13,1954/11/13 05:00:00+00
248034,248035,1954314N11152,WP,MM,SALLY,12.47,131.03,125,0,1954,11,13,1954/11/13 05:00:00+00
248035,248036,1954314N11152,WP,MM,SALLY,12.45,130.53,125,0,1954,11,13,1954/11/13 05:00:00+00
248036,248037,1954314N11152,WP,MM,SALLY,12.46,130.09,125,0,1954,11,13,1954/11/13 05:00:00+00
248037,248038,1954314N11152,WP,MM,SALLY,12.44,129.68,137,0,1954,11,13,1954/11/13 05:00:00+00
248038,248039,1954314N11152,WP,MM,SALLY,12.47,129.38,150,0,1954,11,14,1954/11/14 05:00:00+00
248039,248040,1954314N11152,WP,MM,SALLY,12.58,129.24,150,0,1954,11,14,1954/11/14 05:00:00+00
248040,248041,1954314N11152,WP,MM,SALLY,12.74,129.21,150,0,1954,11,14,1954/11/14 05:00:00+00
248041,248042,1954314N11152,WP,MM,SALLY,12.93,129.21,150,0,1954,11,14,1954/11/14 05:00:00+00
248042,248043,1954314N11152,WP,MM,SALLY,13.07,129.2,150,0,1954,11,14,1954/11/14 05:00:00+00
248043,248044,1954314N11152,WP,MM,SALLY,13.05,129.1,150,0,1954,11,14,1954/11/14 05:00:00+00
