Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
591407,591408,2005222N14131,WP,MM,SANVU,13.8,130.87,15,1006,2005,8,9,2005/08/09 04:00:00+00
591408,591409,2005222N14131,WP,MM,SANVU,14.01,130.57,17,1005,2005,8,9,2005/08/09 04:00:00+00
591409,591410,2005222N14131,WP,MM,SANVU,14.2,130.27,20,1004,2005,8,10,2005/08/10 04:00:00+00
591410,591411,2005222N14131,WP,MM,SANVU,14.38,129.94,20,1004,2005,8,10,2005/08/10 04:00:00+00
591411,591412,2005222N14131,WP,MM,SANVU,14.58,129.62,20,1004,2005,8,10,2005/08/10 04:00:00+00
591412,591413,2005222N14131,WP,MM,SANVU,14.81,129.2,22,1003,2005,8,10,2005/08/10 04:00:00+00
591413,591414,2005222N14131,WP,MM,SANVU,15.03,128.76,25,1002,2005,8,10,2005/08/10 04:00:00+00
591414,591415,2005222N14131,WP,MM,SANVU,15.24,128.43,30,999,2005,8,10,2005/08/10 04:00:00+00
591415,591416,2005222N14131,WP,MM,SANVU,15.5,128.0,35,997,2005,8,10,2005/08/10 04:00:00+00
591416,591417,2005222N14131,WP,MM,SANVU,15.82,127.35,35,997,2005,8,10,2005/08/10 04:00:00+00
591417,591418,2005222N14131,WP,MM,SANVU,16.23,126.55,35,997,2005,8,11,2005/08/11 04:00:00+00
591418,591419,2005222N14131,WP,MM,SANVU,16.72,125.69,37,995,2005,8,11,2005/08/11 04:00:00+00
591419,591420,2005222N14131,WP,MM,SANVU,17.2,124.83,40,994,2005,8,11,2005/08/11 04:00:00+00
591420,591421,2005222N14131,WP,MM,SANVU,17.56,124.07,42,992,2005,8,11,2005/08/11 04:00:00+00
591421,591422,2005222N14131,WP,MM,SANVU,17.85,123.38,45,991,2005,8,11,2005/08/11 04:00:00+00
591422,591423,2005222N14131,WP,MM,SANVU,18.13,122.66,45,991,2005,8,11,2005/08/11 04:00:00+00
