Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
585926,585927,2004248N14156,WP,MM,SARIKA,14.0,155.6,0,0,2004,9,3,2004/09/03 04:00:00+00
585927,585928,2004248N14156,WP,MM,SARIKA,14.51,154.69,0,0,2004,9,3,2004/09/03 04:00:00+00
585928,585929,2004248N14156,WP,MM,SARIKA,14.99,153.84,20,1004,2004,9,4,2004/09/04 04:00:00+00
585929,585930,2004248N14156,WP,MM,SARIKA,15.44,153.27,22,1003,2004,9,4,2004/09/04 04:00:00+00
585930,585931,2004248N14156,WP,MM,SARIKA,15.84,152.77,25,1002,2004,9,4,2004/09/04 04:00:00+00
585931,585932,2004248N14156,WP,MM,SARIKA,16.17,152.22,27,1001,2004,9,4,2004/09/04 04:00:00+00
585932,585933,2004248N14156,WP,MM,SARIKA,16.45,151.61,30,1000,2004,9,4,2004/09/04 04:00:00+00
585933,585934,2004248N14156,WP,MM,SARIKA,16.61,150.93,32,998,2004,9,4,2004/09/04 04:00:00+00
585934,585935,2004248N14156,WP,MM,SARIKA,16.78,150.19,35,997,2004,9,4,2004/09/04 04:00:00+00
585935,585936,2004248N14156,WP,MM,SARIKA,17.04,149.42,40,994,2004,9,4,2004/09/04 04:00:00+00
585936,585937,2004248N14156,WP,MM,SARIKA,17.38,148.65,45,991,2004,9,5,2004/09/05 04:00:00+00
585937,585938,2004248N14156,WP,MM,SARIKA,17.76,147.96,50,987,2004,9,5,2004/09/05 04:00:00+00
585938,585939,2004248N14156,WP,MM,SARIKA,18.12,147.28,55,984,2004,9,5,2004/09/05 04:00:00+00
585939,585940,2004248N14156,WP,MM,SARIKA,18.35,146.54,55,984,2004,9,5,2004/09/05 04:00:00+00
585940,585941,2004248N14156,WP,MM,SARIKA,18.52,145.78,55,984,2004,9,5,2004/09/05 04:00:00+00
