Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
687748,687749,2021093S11123,SI,WA,SEROJA,-11.1,122.5,0,0,2021,4,2,2021/04/02 04:00:00+00
687749,687750,2021093S11123,SI,WA,SEROJA,-11.1,122.48,0,0,2021,4,2,2021/04/02 04:00:00+00
687750,687751,2021093S11123,SI,WA,SEROJA,-11.07,122.5,0,0,2021,4,2,2021/04/02 04:00:00+00
687751,687752,2021093S11123,SI,WA,SEROJA,-10.99,122.6,0,0,2021,4,2,2021/04/02 04:00:00+00
687752,687753,2021093S11123,SI,WA,SEROJA,-10.92,122.74,0,0,2021,4,3,2021/04/03 04:00:00+00
687753,687754,2021093S11123,SI,WA,SEROJA,-10.94,122.88,0,0,2021,4,3,2021/04/03 04:00:00+00
687754,687755,2021093S11123,SI,WA,SEROJA,-10.92,123.12,25,1004,2021,4,3,2021/04/03 04:00:00+00
687755,687756,2021093S11123,SI,WA,SEROJA,-10.83,123.36,27,1001,2021,4,3,2021/04/03 04:00:00+00
687756,687757,2021093S11123,SI,WA,SEROJA,-10.76,123.53,30,999,2021,4,3,2021/04/03 04:00:00+00
687757,687758,2021093S11123,SI,WA,SEROJA,-10.73,123.61,30,999,2021,4,3,2021/04/03 04:00:00+00
687758,687759,2021093S11123,SI,WA,SEROJA,-10.7,123.65,30,999,2021,4,3,2021/04/03 04:00:00+00
687759,687760,2021093S11123,SI,WA,SEROJA,-10.63,123.72,30,999,2021,4,3,2021/04/03 04:00:00+00
687760,687761,2021093S11123,SI,WA,SEROJA,-10.55,123.75,30,999,2021,4,4,2021/04/04 04:00:00+00
687761,687762,2021093S11123,SI,WA,SEROJA,-10.47,123.72,32,997,2021,4,4,2021/04/04 04:00:00+00
687762,687763,2021093S11123,SI,WA,SEROJA,-10.4,123.6,35,996,2021,4,4,2021/04/04 04:00:00+00
687763,687764,2021093S11123,SI,WA,SEROJA,-10.35,123.35,37,996,2021,4,4,2021/04/04 04:00:00+00
687764,687765,2021093S11123,SI,WA,SEROJA,-10.35,123.1,40,997,2021,4,4,2021/04/04 04:00:00+00
687765,687766,2021093S11123,SI,WA,SEROJA,-10.41,123.0,42,995,2021,4,4,2021/04/04 04:00:00+00
687766,687767,2021093S11123,SI,WA,SEROJA,-10.5,122.9,45,993,2021,4,4,2021/04/04 04:00:00+00
687767,687768,2021093S11123,SI,WA,SEROJA,-10.6,122.67,45,992,2021,4,4,2021/04/04 04:00:00+00
687768,687769,2021093S11123,SI,WA,SEROJA,-10.7,122.4,45,992,2021,4,5,2021/04/05 04:00:00+00
687769,687770,2021093S11123,SI,WA,SEROJA,-10.8,122.17,45,992,2021,4,5,2021/04/05 04:00:00+00
687770,687771,2021093S11123,SI,WA,SEROJA,-10.9,121.95,45,993,2021,4,5,2021/04/05 04:00:00+00
687771,687772,2021093S11123,SI,WA,SEROJA,-10.98,121.75,47,993,2021,4,5,2021/04/05 04:00:00+00
