Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
501387,501388,1992262N17252,EP,MM,SEYMORE:SEYMOUR,16.9,-107.7,30,1009,1992,9,17,1992/09/17 04:00:00+00
501388,501389,1992262N17252,EP,MM,SEYMORE:SEYMOUR,17.35,-107.98,30,1008,1992,9,17,1992/09/17 04:00:00+00
501389,501390,1992262N17252,EP,MM,SEYMORE:SEYMOUR,17.8,-108.3,30,1008,1992,9,17,1992/09/17 04:00:00+00
501390,501391,1992262N17252,EP,MM,SEYMORE:SEYMOUR,18.23,-108.67,32,1006,1992,9,17,1992/09/17 04:00:00+00
501391,501392,1992262N17252,EP,MM,SEYMORE:SEYMOUR,18.6,-109.1,35,1005,1992,9,18,1992/09/18 04:00:00+00
501392,501393,1992262N17252,EP,MM,SEYMORE:SEYMOUR,18.89,-109.6,37,1003,1992,9,18,1992/09/18 04:00:00+00
501393,501394,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.1,-110.1,40,1002,1992,9,18,1992/09/18 04:00:00+00
501394,501395,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.27,-110.51,42,999,1992,9,18,1992/09/18 04:00:00+00
501395,501396,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.4,-110.9,45,997,1992,9,18,1992/09/18 04:00:00+00
501396,501397,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.5,-111.36,47,996,1992,9,18,1992/09/18 04:00:00+00
501397,501398,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.6,-111.8,50,995,1992,9,18,1992/09/18 04:00:00+00
501398,501399,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.74,-112.14,52,993,1992,9,18,1992/09/18 04:00:00+00
501399,501400,1992262N17252,EP,MM,SEYMORE:SEYMOUR,19.9,-112.4,55,992,1992,9,19,1992/09/19 04:00:00+00
501400,501401,1992262N17252,EP,MM,SEYMORE:SEYMOUR,20.05,-112.63,57,991,1992,9,19,1992/09/19 04:00:00+00
501401,501402,1992262N17252,EP,MM,SEYMORE:SEYMOUR,20.2,-112.8,60,990,1992,9,19,1992/09/19 04:00:00+00
501402,501403,1992262N17252,EP,MM,SEYMORE:SEYMOUR,20.33,-112.91,62,988,1992,9,19,1992/09/19 04:00:00+00
501403,501404,1992262N17252,EP,MM,SEYMORE:SEYMOUR,20.5,-113.0,65,987,1992,9,19,1992/09/19 04:00:00+00
501404,501405,1992262N17252,EP,MM,SEYMORE:SEYMOUR,20.74,-113.15,65,985,1992,9,19,1992/09/19 04:00:00+00
501405,501406,1992262N17252,EP,MM,SEYMORE:SEYMOUR,21.0,-113.3,65,984,1992,9,19,1992/09/19 04:00:00+00
501406,501407,1992262N17252,EP,MM,SEYMORE:SEYMOUR,21.2,-113.39,65,983,1992,9,19,1992/09/19 04:00:00+00
501407,501408,1992262N17252,EP,MM,SEYMORE:SEYMOUR,21.4,-113.5,65,982,1992,9,20,1992/09/20 04:00:00+00
501408,501409,1992262N17252,EP,MM,SEYMORE:SEYMOUR,21.65,-113.69,67,981,1992,9,20,1992/09/20 04:00:00+00
501409,501410,1992262N17252,EP,MM,SEYMORE:SEYMOUR,21.9,-113.9,70,981,1992,9,20,1992/09/20 04:00:00+00
501410,501411,1992262N17252,EP,MM,SEYMORE:SEYMOUR,22.11,-114.1,72,980,1992,9,20,1992/09/20 04:00:00+00
501411,501412,1992262N17252,EP,MM,SEYMORE:SEYMOUR,22.3,-114.3,75,980,1992,9,20,1992/09/20 04:00:00+00
501412,501413,1992262N17252,EP,MM,SEYMORE:SEYMOUR,22.5,-114.51,72,981,1992,9,20,1992/09/20 04:00:00+00
501413,501414,1992262N17252,EP,MM,SEYMORE:SEYMOUR,22.7,-114.7,70,983,1992,9,20,1992/09/20 04:00:00+00
501414,501415,1992262N17252,EP,MM,SEYMORE:SEYMOUR,22.91,-114.84,67,985,1992,9,20,1992/09/20 04:00:00+00
501415,501416,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.1,-115.0,65,987,1992,9,21,1992/09/21 04:00:00+00
501416,501417,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.27,-115.23,62,988,1992,9,21,1992/09/21 04:00:00+00
501417,501418,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.4,-115.5,60,990,1992,9,21,1992/09/21 04:00:00+00
501418,501419,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.46,-115.8,57,992,1992,9,21,1992/09/21 04:00:00+00
501419,501420,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.5,-116.1,55,994,1992,9,21,1992/09/21 04:00:00+00
501420,501421,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.55,-116.33,52,995,1992,9,21,1992/09/21 04:00:00+00
501421,501422,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.6,-116.6,50,996,1992,9,21,1992/09/21 04:00:00+00
501422,501423,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.65,-116.98,50,997,1992,9,21,1992/09/21 04:00:00+00
501423,501424,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.7,-117.4,50,999,1992,9,22,1992/09/22 04:00:00+00
501424,501425,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.76,-117.77,47,999,1992,9,22,1992/09/22 04:00:00+00
501425,501426,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.8,-118.1,45,1000,1992,9,22,1992/09/22 04:00:00+00
501426,501427,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.79,-118.41,50,997,1992,9,22,1992/09/22 04:00:00+00
501427,501428,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.8,-118.7,55,995,1992,9,22,1992/09/22 04:00:00+00
501428,501429,1992262N17252,EP,MM,SEYMORE:SEYMOUR,23.88,-119.0,60,992,1992,9,22,1992/09/22 04:00:00+00
501429,501430,1992262N17252,EP,MM,SEYMORE:SEYMOUR,24.0,-119.3,65,990,1992,9,22,1992/09/22 04:00:00+00
501430,501431,1992262N17252,EP,MM,SEYMORE:SEYMOUR,24.16,-119.61,65,986,1992,9,22,1992/09/22 04:00:00+00
501431,501432,1992262N17252,EP,MM,SEYMORE:SEYMOUR,24.3,-119.9,65,983,1992,9,23,1992/09/23 04:00:00+00
501432,501433,1992262N17252,EP,MM,SEYMORE:SEYMOUR,24.36,-120.16,67,982,1992,9,23,1992/09/23 04:00:00+00
501433,501434,1992262N17252,EP,MM,SEYMORE:SEYMOUR,24.4,-120.4,70,982,1992,9,23,1992/09/23 04:00:00+00
