Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
622364,622365,2010302N26299,,,SHARY,25.6,-61.2,30,1006,2010,10,28,2010/10/28 04:00:00+00
622365,622366,2010302N26299,,,SHARY,26.19,-62.11,32,1005,2010,10,28,2010/10/28 04:00:00+00
622366,622367,2010302N26299,,,SHARY,26.8,-63.0,35,1004,2010,10,29,2010/10/29 04:00:00+00
622367,622368,2010302N26299,,,SHARY,27.45,-63.84,37,1003,2010,10,29,2010/10/29 04:00:00+00
622368,622369,2010302N26299,,,SHARY,28.1,-64.6,40,1002,2010,10,29,2010/10/29 04:00:00+00
622369,622370,2010302N26299,,,SHARY,28.73,-65.38,45,1000,2010,10,29,2010/10/29 04:00:00+00
622370,622371,2010302N26299,,,SHARY,29.3,-65.9,50,998,2010,10,29,2010/10/29 04:00:00+00
622371,622372,2010302N26299,,,SHARY,29.76,-66.08,52,995,2010,10,29,2010/10/29 04:00:00+00
622372,622373,2010302N26299,,,SHARY,30.2,-65.8,55,993,2010,10,29,2010/10/29 04:00:00+00
622373,622374,2010302N26299,,,SHARY,30.7,-65.12,60,991,2010,10,29,2010/10/29 04:00:00+00
622374,622375,2010302N26299,,,SHARY,31.3,-64.0,65,990,2010,10,30,2010/10/30 04:00:00+00
622375,622376,2010302N26299,,,SHARY,32.02,-62.59,65,989,2010,10,30,2010/10/30 04:00:00+00
622376,622377,2010302N26299,,,SHARY,32.9,-60.9,65,989,2010,10,30,2010/10/30 04:00:00+00
622377,622378,2010302N26299,,,SHARY,33.98,-59.1,65,990,2010,10,30,2010/10/30 04:00:00+00
622378,622379,2010302N26299,,,SHARY,35.1,-57.2,65,991,2010,10,30,2010/10/30 04:00:00+00
622379,622380,2010302N26299,,,SHARY,36.1,-55.34,60,992,2010,10,30,2010/10/30 04:00:00+00
