Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
590010,590011,2005110S17180,SP,MM,SHEILA,-17.0,179.5,0,0,2005,4,20,2005/04/20 04:00:00+00
590011,590012,2005110S17180,SP,MM,SHEILA,-16.4,179.78,0,0,2005,4,20,2005/04/20 04:00:00+00
590012,590013,2005110S17180,SP,MM,SHEILA,-15.9,180.1,0,0,2005,4,20,2005/04/20 04:00:00+00
590013,590014,2005110S17180,SP,MM,SHEILA,-15.58,180.51,0,0,2005,4,20,2005/04/20 04:00:00+00
590014,590015,2005110S17180,SP,MM,SHEILA,-15.4,181.0,0,0,2005,4,20,2005/04/20 04:00:00+00
590015,590016,2005110S17180,SP,MM,SHEILA,-15.25,181.5,0,0,2005,4,20,2005/04/20 04:00:00+00
590016,590017,2005110S17180,SP,MM,SHEILA,-15.2,182.1,0,0,2005,4,21,2005/04/21 04:00:00+00
590017,590018,2005110S17180,SP,MM,SHEILA,-15.26,182.85,0,0,2005,4,21,2005/04/21 04:00:00+00
590018,590019,2005110S17180,SP,MM,SHEILA,-15.4,183.7,0,0,2005,4,21,2005/04/21 04:00:00+00
590019,590020,2005110S17180,SP,MM,SHEILA,-15.56,184.52,0,0,2005,4,21,2005/04/21 04:00:00+00
590020,590021,2005110S17180,SP,MM,SHEILA,-15.8,185.4,0,0,2005,4,21,2005/04/21 04:00:00+00
590021,590022,2005110S17180,SP,MM,SHEILA,-16.11,186.38,0,0,2005,4,21,2005/04/21 04:00:00+00
590022,590023,2005110S17180,SP,MM,SHEILA,-16.46,187.22,0,0,2005,4,21,2005/04/21 04:00:00+00
590023,590024,2005110S17180,SP,MM,SHEILA,-16.91,188.3,0,0,2005,4,21,2005/04/21 04:00:00+00
590024,590025,2005110S17180,SP,MM,SHEILA,-17.4,189.4,0,0,2005,4,22,2005/04/22 04:00:00+00
590025,590026,2005110S17180,SP,MM,SHEILA,-17.87,190.34,0,0,2005,4,22,2005/04/22 04:00:00+00
590026,590027,2005110S17180,SP,MM,SHEILA,-18.35,191.25,0,0,2005,4,22,2005/04/22 04:00:00+00
590027,590028,2005110S17180,SP,MM,SHEILA,-18.83,192.41,0,0,2005,4,22,2005/04/22 04:00:00+00
590028,590029,2005110S17180,SP,MM,SHEILA,-19.35,193.5,0,0,2005,4,22,2005/04/22 04:00:00+00
590029,590030,2005110S17180,SP,MM,SHEILA,-19.94,194.23,0,0,2005,4,22,2005/04/22 04:00:00+00
590030,590031,2005110S17180,SP,MM,SHEILA,-20.55,194.9,0,0,2005,4,22,2005/04/22 04:00:00+00
590031,590032,2005110S17180,SP,MM,SHEILA,-21.04,195.56,0,0,2005,4,22,2005/04/22 04:00:00+00
590032,590033,2005110S17180,SP,MM,SHEILA,-21.7,196.75,0,0,2005,4,23,2005/04/23 04:00:00+00
590033,590034,2005110S17180,SP,MM,SHEILA,-22.8,199.28,0,0,2005,4,23,2005/04/23 04:00:00+00
590034,590035,2005110S17180,SP,MM,SHEILA,-24.0,201.75,0,0,2005,4,23,2005/04/23 04:00:00+00
590035,590036,2005110S17180,SP,MM,SHEILA,-25.05,202.84,0,0,2005,4,23,2005/04/23 04:00:00+00
