Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
238785,238786,1952288N10118,WP,MM,SHIRLEY,9.7,118.2,0,0,1952,10,14,1952/10/14 04:00:00+00
238786,238787,1952288N10118,WP,MM,SHIRLEY,9.84,117.63,0,0,1952,10,14,1952/10/14 04:00:00+00
238787,238788,1952288N10118,WP,MM,SHIRLEY,12.06,117.09,25,0,1952,10,14,1952/10/14 04:00:00+00
238788,238789,1952288N10118,WP,MM,SHIRLEY,12.45,116.4,27,0,1952,10,14,1952/10/14 04:00:00+00
238789,238790,1952288N10118,WP,MM,SHIRLEY,12.91,115.68,30,0,1952,10,14,1952/10/14 04:00:00+00
238790,238791,1952288N10118,WP,MM,SHIRLEY,13.2,114.9,35,0,1952,10,14,1952/10/14 04:00:00+00
238791,238792,1952288N10118,WP,MM,SHIRLEY,13.36,114.13,40,0,1952,10,14,1952/10/14 04:00:00+00
238792,238793,1952288N10118,WP,MM,SHIRLEY,13.5,113.47,37,0,1952,10,14,1952/10/14 04:00:00+00
238793,238794,1952288N10118,WP,MM,SHIRLEY,13.6,112.83,35,0,1952,10,15,1952/10/15 04:00:00+00
238794,238795,1952288N10118,WP,MM,SHIRLEY,13.72,112.19,32,0,1952,10,15,1952/10/15 04:00:00+00
238795,238796,1952288N10118,WP,MM,SHIRLEY,13.79,111.49,30,0,1952,10,15,1952/10/15 04:00:00+00
238796,238797,1952288N10118,WP,MM,SHIRLEY,13.74,110.66,30,0,1952,10,15,1952/10/15 04:00:00+00
238797,238798,1952288N10118,WP,MM,SHIRLEY,13.67,109.72,30,0,1952,10,15,1952/10/15 04:00:00+00
238798,238799,1952288N10118,WP,MM,SHIRLEY,13.64,108.71,27,0,1952,10,15,1952/10/15 04:00:00+00
238799,238800,1952288N10118,WP,MM,SHIRLEY,13.55,107.66,25,0,1952,10,15,1952/10/15 04:00:00+00
238800,238801,1952288N10118,WP,MM,SHIRLEY,13.25,106.54,0,0,1952,10,15,1952/10/15 04:00:00+00
238801,238802,1952288N10118,WP,MM,SHIRLEY,13.2,105.75,0,0,1952,10,16,1952/10/16 04:00:00+00
238802,238803,1952288N10118,WP,MM,SHIRLEY,13.13,105.09,0,0,1952,10,16,1952/10/16 04:00:00+00
238803,238804,1952288N10118,WP,MM,SHIRLEY,13.04,104.46,0,0,1952,10,16,1952/10/16 04:00:00+00
238804,238805,1952288N10118,WP,MM,SHIRLEY,12.97,103.76,0,0,1952,10,16,1952/10/16 04:00:00+00
238805,238806,1952288N10118,WP,MM,SHIRLEY,12.9,103.18,0,0,1952,10,16,1952/10/16 04:00:00+00
238806,238807,1952288N10118,WP,MM,SHIRLEY,12.85,102.96,0,0,1952,10,16,1952/10/16 04:00:00+00
238807,238808,1952288N10118,WP,MM,SHIRLEY,12.8,102.6,0,0,1952,10,16,1952/10/16 04:00:00+00
238808,238809,1952288N10118,WP,MM,SHIRLEY,12.75,102.29,0,0,1952,10,16,1952/10/16 04:00:00+00
260483,260484,1957101N05136,WP,MM,SHIRLEY,4.5,135.7,20,0,1957,4,11,1957/04/11 04:00:00+00
260484,260485,1957101N05136,WP,MM,SHIRLEY,4.91,135.55,20,0,1957,4,11,1957/04/11 04:00:00+00
260485,260486,1957101N05136,WP,MM,SHIRLEY,5.49,135.47,20,0,1957,4,11,1957/04/11 04:00:00+00
260486,260487,1957101N05136,WP,MM,SHIRLEY,5.84,135.3,20,0,1957,4,11,1957/04/11 04:00:00+00
260487,260488,1957101N05136,WP,MM,SHIRLEY,6.13,135.11,20,0,1957,4,11,1957/04/11 04:00:00+00
260488,260489,1957101N05136,WP,MM,SHIRLEY,6.36,134.89,20,0,1957,4,11,1957/04/11 04:00:00+00
260489,260490,1957101N05136,WP,MM,SHIRLEY,6.53,134.65,20,0,1957,4,11,1957/04/11 04:00:00+00
260490,260491,1957101N05136,WP,MM,SHIRLEY,6.7,134.45,27,0,1957,4,11,1957/04/11 04:00:00+00
260491,260492,1957101N05136,WP,MM,SHIRLEY,6.88,134.2,35,0,1957,4,12,1957/04/12 04:00:00+00
260492,260493,1957101N05136,WP,MM,SHIRLEY,7.1,133.84,35,0,1957,4,12,1957/04/12 04:00:00+00
