Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
400146,400147,1977328S06177,SP,MM,STEVE,-6.02,176.72,25,0,1977,11,24,1977/11/24 05:00:00+00
400147,400148,1977328S06177,SP,MM,STEVE,-6.23,176.52,25,0,1977,11,24,1977/11/24 05:00:00+00
400148,400149,1977328S06177,SP,MM,STEVE,-6.44,176.32,25,0,1977,11,24,1977/11/24 05:00:00+00
400149,400150,1977328S06177,SP,MM,STEVE,-6.65,176.14,25,0,1977,11,24,1977/11/24 05:00:00+00
400150,400151,1977328S06177,SP,MM,STEVE,-6.86,176.0,25,0,1977,11,24,1977/11/24 05:00:00+00
400151,400152,1977328S06177,SP,MM,STEVE,-7.07,175.9,27,0,1977,11,24,1977/11/24 05:00:00+00
400152,400153,1977328S06177,SP,MM,STEVE,-7.27,175.84,30,0,1977,11,24,1977/11/24 05:00:00+00
400153,400154,1977328S06177,SP,MM,STEVE,-7.49,175.82,30,0,1977,11,24,1977/11/24 05:00:00+00
400154,400155,1977328S06177,SP,MM,STEVE,-7.72,175.84,30,0,1977,11,25,1977/11/25 05:00:00+00
400155,400156,1977328S06177,SP,MM,STEVE,-7.97,175.88,30,0,1977,11,25,1977/11/25 05:00:00+00
400156,400157,1977328S06177,SP,MM,STEVE,-8.25,175.95,30,0,1977,11,25,1977/11/25 05:00:00+00
400157,400158,1977328S06177,SP,MM,STEVE,-8.53,176.01,32,0,1977,11,25,1977/11/25 05:00:00+00
400158,400159,1977328S06177,SP,MM,STEVE,-8.84,176.06,35,0,1977,11,25,1977/11/25 05:00:00+00
400159,400160,1977328S06177,SP,MM,STEVE,-9.19,176.05,35,0,1977,11,25,1977/11/25 05:00:00+00
400160,400161,1977328S06177,SP,MM,STEVE,-9.56,176.02,35,0,1977,11,25,1977/11/25 05:00:00+00
400161,400162,1977328S06177,SP,MM,STEVE,-9.94,175.99,37,0,1977,11,25,1977/11/25 05:00:00+00
400162,400163,1977328S06177,SP,MM,STEVE,-10.3,175.94,40,0,1977,11,26,1977/11/26 05:00:00+00
400163,400164,1977328S06177,SP,MM,STEVE,-10.58,175.89,42,0,1977,11,26,1977/11/26 05:00:00+00
400164,400165,1977328S06177,SP,MM,STEVE,-10.84,175.82,45,0,1977,11,26,1977/11/26 05:00:00+00
400165,400166,1977328S06177,SP,MM,STEVE,-11.1,175.72,47,0,1977,11,26,1977/11/26 05:00:00+00
400166,400167,1977328S06177,SP,MM,STEVE,-11.4,175.6,50,0,1977,11,26,1977/11/26 05:00:00+00
400167,400168,1977328S06177,SP,MM,STEVE,-11.79,175.44,55,0,1977,11,26,1977/11/26 05:00:00+00
400168,400169,1977328S06177,SP,MM,STEVE,-12.21,175.26,60,0,1977,11,26,1977/11/26 05:00:00+00
400169,400170,1977328S06177,SP,MM,STEVE,-12.63,175.12,62,0,1977,11,26,1977/11/26 05:00:00+00
400170,400171,1977328S06177,SP,MM,STEVE,-13.0,175.0,65,0,1977,11,27,1977/11/27 05:00:00+00
400171,400172,1977328S06177,SP,MM,STEVE,-13.27,174.93,65,0,1977,11,27,1977/11/27 05:00:00+00
400172,400173,1977328S06177,SP,MM,STEVE,-13.5,174.88,65,0,1977,11,27,1977/11/27 05:00:00+00
400173,400174,1977328S06177,SP,MM,STEVE,-13.72,174.84,65,0,1977,11,27,1977/11/27 05:00:00+00
400174,400175,1977328S06177,SP,MM,STEVE,-13.94,174.8,65,0,1977,11,27,1977/11/27 05:00:00+00
400175,400176,1977328S06177,SP,MM,STEVE,-14.16,174.72,60,0,1977,11,27,1977/11/27 05:00:00+00
400176,400177,1977328S06177,SP,MM,STEVE,-14.4,174.63,55,0,1977,11,27,1977/11/27 05:00:00+00
400177,400178,1977328S06177,SP,MM,STEVE,-14.67,174.57,50,0,1977,11,27,1977/11/27 05:00:00+00
400178,400179,1977328S06177,SP,MM,STEVE,-15.0,174.54,45,0,1977,11,28,1977/11/28 05:00:00+00
400179,400180,1977328S06177,SP,MM,STEVE,-15.45,174.55,42,0,1977,11,28,1977/11/28 05:00:00+00
400180,400181,1977328S06177,SP,MM,STEVE,-15.97,174.59,40,0,1977,11,28,1977/11/28 05:00:00+00
400181,400182,1977328S06177,SP,MM,STEVE,-16.48,174.64,40,0,1977,11,28,1977/11/28 05:00:00+00
400182,400183,1977328S06177,SP,MM,STEVE,-17.0,174.7,40,0,1977,11,28,1977/11/28 05:00:00+00
400183,400184,1977328S06177,SP,MM,STEVE,-17.51,174.75,37,0,1977,11,28,1977/11/28 05:00:00+00
400184,400185,1977328S06177,SP,MM,STEVE,-18.01,174.82,35,0,1977,11,28,1977/11/28 05:00:00+00
400185,400186,1977328S06177,SP,MM,STEVE,-18.52,174.91,35,0,1977,11,28,1977/11/28 05:00:00+00
400186,400187,1977328S06177,SP,MM,STEVE,-19.0,175.0,35,0,1977,11,29,1977/11/29 05:00:00+00
400187,400188,1977328S06177,SP,MM,STEVE,-19.44,175.06,35,0,1977,11,29,1977/11/29 05:00:00+00
