Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
582690,582691,2004093N07154,WP,MM,SUDAL,6.9,153.6,25,1002,2004,4,2,2004/04/02 04:00:00+00
582691,582692,2004093N07154,WP,MM,SUDAL,6.8,153.39,25,1002,2004,4,2,2004/04/02 04:00:00+00
582692,582693,2004093N07154,WP,MM,SUDAL,6.7,153.2,25,1002,2004,4,2,2004/04/02 04:00:00+00
582693,582694,2004093N07154,WP,MM,SUDAL,6.6,153.04,25,1002,2004,4,2,2004/04/02 04:00:00+00
582694,582695,2004093N07154,WP,MM,SUDAL,6.5,152.9,25,1002,2004,4,2,2004/04/02 04:00:00+00
582695,582696,2004093N07154,WP,MM,SUDAL,6.4,152.76,25,1002,2004,4,2,2004/04/02 04:00:00+00
582696,582697,2004093N07154,WP,MM,SUDAL,6.35,152.67,25,1002,2004,4,2,2004/04/02 04:00:00+00
582697,582698,2004093N07154,WP,MM,SUDAL,6.28,152.48,25,1002,2004,4,2,2004/04/02 04:00:00+00
582698,582699,2004093N07154,WP,MM,SUDAL,6.25,152.26,25,1002,2004,4,3,2004/04/03 04:00:00+00
582699,582700,2004093N07154,WP,MM,SUDAL,6.28,152.05,25,1002,2004,4,3,2004/04/03 04:00:00+00
582700,582701,2004093N07154,WP,MM,SUDAL,6.33,151.83,25,1002,2004,4,3,2004/04/03 04:00:00+00
582701,582702,2004093N07154,WP,MM,SUDAL,6.42,151.58,25,1002,2004,4,3,2004/04/03 04:00:00+00
582702,582703,2004093N07154,WP,MM,SUDAL,6.5,151.33,25,1002,2004,4,3,2004/04/03 04:00:00+00
582703,582704,2004093N07154,WP,MM,SUDAL,6.5,151.11,25,1002,2004,4,3,2004/04/03 04:00:00+00
582704,582705,2004093N07154,WP,MM,SUDAL,6.47,150.9,25,1002,2004,4,3,2004/04/03 04:00:00+00
582705,582706,2004093N07154,WP,MM,SUDAL,6.45,150.71,27,1001,2004,4,3,2004/04/03 04:00:00+00
582706,582707,2004093N07154,WP,MM,SUDAL,6.47,150.5,30,1000,2004,4,4,2004/04/04 04:00:00+00
582707,582708,2004093N07154,WP,MM,SUDAL,6.52,150.25,30,1000,2004,4,4,2004/04/04 04:00:00+00
582708,582709,2004093N07154,WP,MM,SUDAL,6.63,150.0,30,1000,2004,4,4,2004/04/04 04:00:00+00
582709,582710,2004093N07154,WP,MM,SUDAL,6.8,149.77,32,998,2004,4,4,2004/04/04 04:00:00+00
582710,582711,2004093N07154,WP,MM,SUDAL,7.02,149.57,35,997,2004,4,4,2004/04/04 04:00:00+00
582711,582712,2004093N07154,WP,MM,SUDAL,7.29,149.36,35,997,2004,4,4,2004/04/04 04:00:00+00
582712,582713,2004093N07154,WP,MM,SUDAL,7.59,149.19,35,997,2004,4,4,2004/04/04 04:00:00+00
582713,582714,2004093N07154,WP,MM,SUDAL,7.94,149.11,37,997,2004,4,4,2004/04/04 04:00:00+00
582714,582715,2004093N07154,WP,MM,SUDAL,8.3,149.07,40,997,2004,4,5,2004/04/05 04:00:00+00
582715,582716,2004093N07154,WP,MM,SUDAL,8.58,148.98,45,992,2004,4,5,2004/04/05 04:00:00+00
582716,582717,2004093N07154,WP,MM,SUDAL,8.82,148.85,50,987,2004,4,5,2004/04/05 04:00:00+00
582717,582718,2004093N07154,WP,MM,SUDAL,9.08,148.73,52,985,2004,4,5,2004/04/05 04:00:00+00
582718,582719,2004093N07154,WP,MM,SUDAL,9.3,148.53,55,984,2004,4,5,2004/04/05 04:00:00+00
582719,582720,2004093N07154,WP,MM,SUDAL,9.47,148.13,55,984,2004,4,5,2004/04/05 04:00:00+00
582720,582721,2004093N07154,WP,MM,SUDAL,9.53,147.68,55,984,2004,4,5,2004/04/05 04:00:00+00
582721,582722,2004093N07154,WP,MM,SUDAL,9.41,147.32,60,980,2004,4,5,2004/04/05 04:00:00+00
582722,582723,2004093N07154,WP,MM,SUDAL,9.25,146.97,65,976,2004,4,6,2004/04/06 04:00:00+00
582723,582724,2004093N07154,WP,MM,SUDAL,9.15,146.57,65,976,2004,4,6,2004/04/06 04:00:00+00
582724,582725,2004093N07154,WP,MM,SUDAL,9.15,146.15,65,976,2004,4,6,2004/04/06 04:00:00+00
582725,582726,2004093N07154,WP,MM,SUDAL,9.27,145.75,70,971,2004,4,6,2004/04/06 04:00:00+00
582726,582727,2004093N07154,WP,MM,SUDAL,9.47,145.4,75,967,2004,4,6,2004/04/06 04:00:00+00
582727,582728,2004093N07154,WP,MM,SUDAL,9.7,145.16,75,967,2004,4,6,2004/04/06 04:00:00+00
582728,582729,2004093N07154,WP,MM,SUDAL,9.9,144.93,75,967,2004,4,6,2004/04/06 04:00:00+00
582729,582730,2004093N07154,WP,MM,SUDAL,10.01,144.58,77,965,2004,4,6,2004/04/06 04:00:00+00
582730,582731,2004093N07154,WP,MM,SUDAL,10.05,144.15,80,963,2004,4,7,2004/04/07 04:00:00+00
582731,582732,2004093N07154,WP,MM,SUDAL,10.06,143.63,85,958,2004,4,7,2004/04/07 04:00:00+00
582732,582733,2004093N07154,WP,MM,SUDAL,10.0,143.1,90,954,2004,4,7,2004/04/07 04:00:00+00
582733,582734,2004093N07154,WP,MM,SUDAL,9.87,142.64,90,954,2004,4,7,2004/04/07 04:00:00+00
582734,582735,2004093N07154,WP,MM,SUDAL,9.7,142.22,90,954,2004,4,7,2004/04/07 04:00:00+00
582735,582736,2004093N07154,WP,MM,SUDAL,9.53,141.82,92,951,2004,4,7,2004/04/07 04:00:00+00
582736,582737,2004093N07154,WP,MM,SUDAL,9.38,141.43,95,949,2004,4,7,2004/04/07 04:00:00+00
582737,582738,2004093N07154,WP,MM,SUDAL,9.25,141.0,97,946,2004,4,7,2004/04/07 04:00:00+00
582738,582739,2004093N07154,WP,MM,SUDAL,9.12,140.6,100,944,2004,4,8,2004/04/08 04:00:00+00
582739,582740,2004093N07154,WP,MM,SUDAL,8.97,140.25,107,935,2004,4,8,2004/04/08 04:00:00+00
582740,582741,2004093N07154,WP,MM,SUDAL,8.85,139.9,115,927,2004,4,8,2004/04/08 04:00:00+00
582741,582742,2004093N07154,WP,MM,SUDAL,8.79,139.49,115,927,2004,4,8,2004/04/08 04:00:00+00
582742,582743,2004093N07154,WP,MM,SUDAL,8.8,139.1,115,927,2004,4,8,2004/04/08 04:00:00+00
582743,582744,2004093N07154,WP,MM,SUDAL,8.86,138.76,112,930,2004,4,8,2004/04/08 04:00:00+00
582744,582745,2004093N07154,WP,MM,SUDAL,8.95,138.47,110,933,2004,4,8,2004/04/08 04:00:00+00
582745,582746,2004093N07154,WP,MM,SUDAL,9.03,138.26,110,933,2004,4,8,2004/04/08 04:00:00+00
582746,582747,2004093N07154,WP,MM,SUDAL,9.15,138.03,110,933,2004,4,9,2004/04/09 04:00:00+00
582747,582748,2004093N07154,WP,MM,SUDAL,9.32,137.65,110,933,2004,4,9,2004/04/09 04:00:00+00
582748,582749,2004093N07154,WP,MM,SUDAL,9.53,137.22,110,933,2004,4,9,2004/04/09 04:00:00+00
582749,582750,2004093N07154,WP,MM,SUDAL,9.72,136.85,112,930,2004,4,9,2004/04/09 04:00:00+00
582750,582751,2004093N07154,WP,MM,SUDAL,9.93,136.5,115,927,2004,4,9,2004/04/09 04:00:00+00
582751,582752,2004093N07154,WP,MM,SUDAL,10.12,136.14,120,921,2004,4,9,2004/04/09 04:00:00+00
582752,582753,2004093N07154,WP,MM,SUDAL,10.32,135.8,125,916,2004,4,9,2004/04/09 04:00:00+00
582753,582754,2004093N07154,WP,MM,SUDAL,10.57,135.48,127,913,2004,4,9,2004/04/09 04:00:00+00
582754,582755,2004093N07154,WP,MM,SUDAL,10.82,135.15,130,910,2004,4,10,2004/04/10 04:00:00+00
582755,582756,2004093N07154,WP,MM,SUDAL,11.07,134.79,130,910,2004,4,10,2004/04/10 04:00:00+00
582756,582757,2004093N07154,WP,MM,SUDAL,11.32,134.4,130,910,2004,4,10,2004/04/10 04:00:00+00
582757,582758,2004093N07154,WP,MM,SUDAL,11.58,133.96,125,916,2004,4,10,2004/04/10 04:00:00+00
582758,582759,2004093N07154,WP,MM,SUDAL,11.85,133.53,120,922,2004,4,10,2004/04/10 04:00:00+00
582759,582760,2004093N07154,WP,MM,SUDAL,12.11,133.13,117,924,2004,4,10,2004/04/10 04:00:00+00
582760,582761,2004093N07154,WP,MM,SUDAL,12.4,132.78,115,927,2004,4,10,2004/04/10 04:00:00+00
582761,582762,2004093N07154,WP,MM,SUDAL,12.75,132.45,115,927,2004,4,10,2004/04/10 04:00:00+00
582762,582763,2004093N07154,WP,MM,SUDAL,13.1,132.18,115,927,2004,4,11,2004/04/11 04:00:00+00
582763,582764,2004093N07154,WP,MM,SUDAL,13.38,131.91,115,927,2004,4,11,2004/04/11 04:00:00+00
582764,582765,2004093N07154,WP,MM,SUDAL,13.65,131.7,115,927,2004,4,11,2004/04/11 04:00:00+00
582765,582766,2004093N07154,WP,MM,SUDAL,13.95,131.54,112,930,2004,4,11,2004/04/11 04:00:00+00
582766,582767,2004093N07154,WP,MM,SUDAL,14.25,131.43,110,933,2004,4,11,2004/04/11 04:00:00+00
582767,582768,2004093N07154,WP,MM,SUDAL,14.54,131.31,112,930,2004,4,11,2004/04/11 04:00:00+00
582768,582769,2004093N07154,WP,MM,SUDAL,14.82,131.2,115,927,2004,4,11,2004/04/11 04:00:00+00
582769,582770,2004093N07154,WP,MM,SUDAL,15.12,131.09,115,927,2004,4,11,2004/04/11 04:00:00+00
582770,582771,2004093N07154,WP,MM,SUDAL,15.38,131.0,115,927,2004,4,12,2004/04/12 04:00:00+00
582771,582772,2004093N07154,WP,MM,SUDAL,15.56,130.95,115,927,2004,4,12,2004/04/12 04:00:00+00
582772,582773,2004093N07154,WP,MM,SUDAL,15.72,130.95,115,927,2004,4,12,2004/04/12 04:00:00+00
582773,582774,2004093N07154,WP,MM,SUDAL,15.93,130.99,117,924,2004,4,12,2004/04/12 04:00:00+00
582774,582775,2004093N07154,WP,MM,SUDAL,16.15,131.07,120,922,2004,4,12,2004/04/12 04:00:00+00
582775,582776,2004093N07154,WP,MM,SUDAL,16.39,131.16,120,922,2004,4,12,2004/04/12 04:00:00+00
582776,582777,2004093N07154,WP,MM,SUDAL,16.65,131.28,120,922,2004,4,12,2004/04/12 04:00:00+00
582777,582778,2004093N07154,WP,MM,SUDAL,16.92,131.42,120,922,2004,4,12,2004/04/12 04:00:00+00
582778,582779,2004093N07154,WP,MM,SUDAL,17.2,131.6,120,922,2004,4,13,2004/04/13 04:00:00+00
582779,582780,2004093N07154,WP,MM,SUDAL,17.48,131.78,122,919,2004,4,13,2004/04/13 04:00:00+00
582780,582781,2004093N07154,WP,MM,SUDAL,17.8,132.0,125,916,2004,4,13,2004/04/13 04:00:00+00
582781,582782,2004093N07154,WP,MM,SUDAL,18.19,132.25,120,921,2004,4,13,2004/04/13 04:00:00+00
582782,582783,2004093N07154,WP,MM,SUDAL,18.62,132.53,115,927,2004,4,13,2004/04/13 04:00:00+00
582783,582784,2004093N07154,WP,MM,SUDAL,19.04,132.8,115,927,2004,4,13,2004/04/13 04:00:00+00
582784,582785,2004093N07154,WP,MM,SUDAL,19.48,133.12,115,927,2004,4,13,2004/04/13 04:00:00+00
582785,582786,2004093N07154,WP,MM,SUDAL,19.95,133.5,110,932,2004,4,13,2004/04/13 04:00:00+00
