Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
568936,568937,2002008N07141,WP,MM,TAPAH,6.7,140.5,20,1004,2002,1,8,2002/01/08 05:00:00+00
568937,568938,2002008N07141,WP,MM,TAPAH,6.9,139.96,20,1004,2002,1,8,2002/01/08 05:00:00+00
568938,568939,2002008N07141,WP,MM,TAPAH,7.1,139.5,20,1004,2002,1,8,2002/01/08 05:00:00+00
568939,568940,2002008N07141,WP,MM,TAPAH,7.29,139.2,20,1004,2002,1,8,2002/01/08 05:00:00+00
568940,568941,2002008N07141,WP,MM,TAPAH,7.5,139.0,20,1004,2002,1,8,2002/01/08 05:00:00+00
568941,568942,2002008N07141,WP,MM,TAPAH,7.73,138.88,22,1003,2002,1,8,2002/01/08 05:00:00+00
568942,568943,2002008N07141,WP,MM,TAPAH,8.0,138.7,25,1002,2002,1,9,2002/01/09 05:00:00+00
568943,568944,2002008N07141,WP,MM,TAPAH,8.34,138.31,25,1002,2002,1,9,2002/01/09 05:00:00+00
568944,568945,2002008N07141,WP,MM,TAPAH,8.7,137.8,25,1002,2002,1,9,2002/01/09 05:00:00+00
568945,568946,2002008N07141,WP,MM,TAPAH,9.05,137.25,25,1002,2002,1,9,2002/01/09 05:00:00+00
568946,568947,2002008N07141,WP,MM,TAPAH,9.3,136.7,25,1002,2002,1,9,2002/01/09 05:00:00+00
568947,568948,2002008N07141,WP,MM,TAPAH,9.4,136.23,25,1002,2002,1,9,2002/01/09 05:00:00+00
568948,568949,2002008N07141,WP,MM,TAPAH,9.4,135.8,25,1002,2002,1,9,2002/01/09 05:00:00+00
568949,568950,2002008N07141,WP,MM,TAPAH,9.35,135.4,25,1002,2002,1,9,2002/01/09 05:00:00+00
568950,568951,2002008N07141,WP,MM,TAPAH,9.24,134.9,25,1002,2002,1,10,2002/01/10 05:00:00+00
568951,568952,2002008N07141,WP,MM,TAPAH,9.26,134.44,25,1002,2002,1,10,2002/01/10 05:00:00+00
568952,568953,2002008N07141,WP,MM,TAPAH,9.34,134.01,25,1002,2002,1,10,2002/01/10 05:00:00+00
568953,568954,2002008N07141,WP,MM,TAPAH,9.48,133.63,27,1001,2002,1,10,2002/01/10 05:00:00+00
568954,568955,2002008N07141,WP,MM,TAPAH,9.64,133.25,30,1000,2002,1,10,2002/01/10 05:00:00+00
568955,568956,2002008N07141,WP,MM,TAPAH,9.78,132.84,30,1000,2002,1,10,2002/01/10 05:00:00+00
568956,568957,2002008N07141,WP,MM,TAPAH,9.93,132.4,30,1000,2002,1,10,2002/01/10 05:00:00+00
568957,568958,2002008N07141,WP,MM,TAPAH,10.08,131.99,30,1000,2002,1,10,2002/01/10 05:00:00+00
568958,568959,2002008N07141,WP,MM,TAPAH,10.27,131.6,30,1000,2002,1,11,2002/01/11 05:00:00+00
568959,568960,2002008N07141,WP,MM,TAPAH,10.54,131.28,30,1000,2002,1,11,2002/01/11 05:00:00+00
568960,568961,2002008N07141,WP,MM,TAPAH,10.83,130.93,30,1000,2002,1,11,2002/01/11 05:00:00+00
568961,568962,2002008N07141,WP,MM,TAPAH,11.09,130.47,32,998,2002,1,11,2002/01/11 05:00:00+00
