Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
688158,688159,2021133N10071,NI,AS,TAUKTAE,10.0,70.9,20,1007,2021,5,13,2021/05/13 04:00:00+00
688159,688160,2021133N10071,NI,AS,TAUKTAE,10.09,71.12,22,1005,2021,5,13,2021/05/13 04:00:00+00
688160,688161,2021133N10071,NI,AS,TAUKTAE,10.2,71.3,25,1004,2021,5,13,2021/05/13 04:00:00+00
688161,688162,2021133N10071,NI,AS,TAUKTAE,10.34,71.41,25,1001,2021,5,13,2021/05/13 04:00:00+00
688162,688163,2021133N10071,NI,AS,TAUKTAE,10.5,71.5,25,999,2021,5,13,2021/05/13 04:00:00+00
688163,688164,2021133N10071,NI,AS,TAUKTAE,10.69,71.64,27,998,2021,5,13,2021/05/13 04:00:00+00
688164,688165,2021133N10071,NI,AS,TAUKTAE,10.9,71.8,30,997,2021,5,14,2021/05/14 04:00:00+00
688165,688166,2021133N10071,NI,AS,TAUKTAE,10.97,72.01,32,997,2021,5,14,2021/05/14 04:00:00+00
688166,688167,2021133N10071,NI,AS,TAUKTAE,11.2,72.23,35,998,2021,5,14,2021/05/14 04:00:00+00
688167,688168,2021133N10071,NI,AS,TAUKTAE,11.52,72.38,37,997,2021,5,14,2021/05/14 04:00:00+00
688168,688169,2021133N10071,NI,AS,TAUKTAE,11.7,72.55,40,996,2021,5,14,2021/05/14 04:00:00+00
688169,688170,2021133N10071,NI,AS,TAUKTAE,11.98,72.66,42,992,2021,5,14,2021/05/14 04:00:00+00
688170,688171,2021133N10071,NI,AS,TAUKTAE,12.25,72.75,45,989,2021,5,14,2021/05/14 04:00:00+00
688171,688172,2021133N10071,NI,AS,TAUKTAE,12.4,72.83,47,989,2021,5,14,2021/05/14 04:00:00+00
688172,688173,2021133N10071,NI,AS,TAUKTAE,12.8,72.85,50,989,2021,5,15,2021/05/15 04:00:00+00
688173,688174,2021133N10071,NI,AS,TAUKTAE,12.98,72.92,52,995,2021,5,15,2021/05/15 04:00:00+00
688174,688175,2021133N10071,NI,AS,TAUKTAE,13.3,73.0,55,1002,2021,5,15,2021/05/15 04:00:00+00
688175,688176,2021133N10071,NI,AS,TAUKTAE,13.57,73.02,60,988,2021,5,15,2021/05/15 04:00:00+00
688176,688177,2021133N10071,NI,AS,TAUKTAE,13.85,72.95,65,975,2021,5,15,2021/05/15 04:00:00+00
688177,688178,2021133N10071,NI,AS,TAUKTAE,14.17,72.9,67,975,2021,5,15,2021/05/15 04:00:00+00
688178,688179,2021133N10071,NI,AS,TAUKTAE,14.45,72.8,70,975,2021,5,15,2021/05/15 04:00:00+00
688179,688180,2021133N10071,NI,AS,TAUKTAE,14.69,72.79,75,970,2021,5,15,2021/05/15 04:00:00+00
688180,688181,2021133N10071,NI,AS,TAUKTAE,15.0,72.75,80,965,2021,5,16,2021/05/16 04:00:00+00
688181,688182,2021133N10071,NI,AS,TAUKTAE,15.36,72.78,85,963,2021,5,16,2021/05/16 04:00:00+00
688182,688183,2021133N10071,NI,AS,TAUKTAE,15.8,72.8,90,962,2021,5,16,2021/05/16 04:00:00+00
688183,688184,2021133N10071,NI,AS,TAUKTAE,16.27,72.67,95,957,2021,5,16,2021/05/16 04:00:00+00
688184,688185,2021133N10071,NI,AS,TAUKTAE,16.75,72.5,100,952,2021,5,16,2021/05/16 04:00:00+00
688185,688186,2021133N10071,NI,AS,TAUKTAE,17.27,72.27,107,947,2021,5,16,2021/05/16 04:00:00+00
688186,688187,2021133N10071,NI,AS,TAUKTAE,17.65,72.0,115,942,2021,5,16,2021/05/16 04:00:00+00
688187,688188,2021133N10071,NI,AS,TAUKTAE,18.02,71.79,117,936,2021,5,16,2021/05/16 04:00:00+00
688188,688189,2021133N10071,NI,AS,TAUKTAE,18.4,71.65,120,931,2021,5,17,2021/05/17 04:00:00+00
688189,688190,2021133N10071,NI,AS,TAUKTAE,18.79,71.6,120,932,2021,5,17,2021/05/17 04:00:00+00
688190,688191,2021133N10071,NI,AS,TAUKTAE,19.25,71.5,120,934,2021,5,17,2021/05/17 04:00:00+00
688191,688192,2021133N10071,NI,AS,TAUKTAE,19.62,71.45,110,941,2021,5,17,2021/05/17 04:00:00+00
688192,688193,2021133N10071,NI,AS,TAUKTAE,20.05,71.35,100,949,2021,5,17,2021/05/17 04:00:00+00
688193,688194,2021133N10071,NI,AS,TAUKTAE,20.5,71.25,115,936,2021,5,17,2021/05/17 04:00:00+00
688194,688195,2021133N10071,NI,AS,TAUKTAE,20.9,71.2,110,942,2021,5,17,2021/05/17 04:00:00+00
688195,688196,2021133N10071,NI,AS,TAUKTAE,21.23,71.21,100,950,2021,5,17,2021/05/17 04:00:00+00
688196,688197,2021133N10071,NI,AS,TAUKTAE,21.45,71.2,90,959,2021,5,18,2021/05/18 04:00:00+00
688197,688198,2021133N10071,NI,AS,TAUKTAE,21.65,71.33,80,965,2021,5,18,2021/05/18 04:00:00+00
688198,688199,2021133N10071,NI,AS,TAUKTAE,22.05,71.55,70,972,2021,5,18,2021/05/18 04:00:00+00
688199,688200,2021133N10071,NI,AS,TAUKTAE,22.56,71.74,62,978,2021,5,18,2021/05/18 04:00:00+00
688200,688201,2021133N10071,NI,AS,TAUKTAE,23.15,72.1,55,984,2021,5,18,2021/05/18 04:00:00+00
688201,688202,2021133N10071,NI,AS,TAUKTAE,23.66,72.54,50,986,2021,5,18,2021/05/18 04:00:00+00
688202,688203,2021133N10071,NI,AS,TAUKTAE,24.14,73.09,45,989,2021,5,18,2021/05/18 04:00:00+00
688203,688204,2021133N10071,NI,AS,TAUKTAE,24.42,73.37,37,993,2021,5,18,2021/05/18 04:00:00+00
688204,688205,2021133N10071,NI,AS,TAUKTAE,24.62,73.55,30,998,2021,5,19,2021/05/19 04:00:00+00
688205,688206,2021133N10071,NI,AS,TAUKTAE,24.9,73.7,0,0,2021,5,19,2021/05/19 04:00:00+00
